year,date,debate_topic,original_name,speaker,matched_name,ratio,speech_content,party,role,party_ref,mp_id,file_ref,speech_length,match_method,session_indicator,date_ind,session_start_date,session_ref,obs_ids
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,the hon j w ward,j w ward,j w ward,100,"said he rose, pursuant to notice, to move for such papers as might have a tendency to throw light on a latemeasure adopted in Ireland. Had he understood that the production of these papers would be conceded, he should have felt it his duty to abstain from in anywise entering upon the question but as this was not the case, he conceived it necessary to say a few words, to induce the House to accede to his motion. The House were aware that an act had been performed by the Irish government, calculated to excite in Ireland great anxiety and irritation an act which nothing but absolute necessity could, in his opinion, justify. It was therefore incumbent on his Majesty's ministers, if they wished to preserve the confidence of the country, to shew the existence of that necessity. He certainly was not himself much inclined to repose confidence in the administration of the right hon. gentleman opposite, and more especially as that administration regarded Ireland because he conceived that right hon. gentleman in that respect, to have proceeded on principles of the most mischievous tendency to both countries. But when it was found that his Majesty's servants rummaged the darkest pages of the statute book, in order to inflict pains and penalties on persons who, however erroneous they might be in any particular act, were generally and substantially as meritorious subjects as any in the King's dominions, it became necessary for parliament to interfere, and not to allow the security of a whole people to be endangered, without calling on those to whom the putting it to hazard was imputable for a full explanation of the motives by which they had been influenced. It was as true as it was extraordinary, that the steps lately taken by the Irish government had been preceded by no official statement, either on the part of that or of the British government, of existing disturbances in Ireland on the contrary, the last notice that was taken of the state of Ireland by the right hon. gent. opposite, in that House, was a boast of its tranquillity. With respect to the paper which had been laid before the House, he meant the Circular Letter of the secretary of the Catholic Committee, it contained no justification of the conduct of government it merely ascertained the fact of the existence in Ireland for a considerable time of a Catholic delegation. Now, he apprehended, that the mere fact of the existence of such a delegation, did not justify government in the execution of a law such as that which had been enforced. It was to him evident, that the legitimate object which the Catholics of Ireland had in contemplation, could be accomplished with much greater safety through the medium of a delegation than by a reference to the whole body of Catholics in that country. But admitting the supposition, to the truth of which he could not by any means assent, that the delegation was of an illegal nature, and had improper objects in view, the House ought to be informed whether his Majesty's government had tried mild measures before they resorted to those of severity. It was necessary that the House should know whether any communication had been made to the individuals presumed to have offended against the law, previous to the adoption of a step by which, if it were followed up, a very large number of person, indeed would be deprived of their personal liberty. On the face of the paper which had been laid on the table of the House, there was nothing of an alarming nature on the contrary, it appeared to have been drawn up with a studious attention to mildness of expression, to decorous and respectful language, and with every necessary precaution to guard against any possible violation of the law. The authors of it seemed to have been anxious to do only what was necessary to prosecute, in a legal way, the objects of their petition. They expressly say, that no person, without a gross violation of the law, can be a representative or delegate engaged as we are in a struggle for our legal and constitutional rights, it is our duty, as well as our inclination and decided determination not to violate the spirit, nor even the letter of the law. It was possible, however, that all these professions might be hollow and deceitful but of that, no trace appeared on the proceedings of the Committee. The House was in a state of profound ignorance on the subject, as nothing had been produced to justify the strong measure that had been had recourse to. His Majesty's ministers might, indeed, possess information of a different nature. They might know that this declaration was nothing more than a pretext and that under this seeming regard for the laws, measures of a dangerous tendency were in contemplation. But the House had no information of any such designs, and remained in profound ignorance on the subject. From this measure, however, it appeared that Ireland was in a most perilous state but it was impossible for a moment to conceive that the cause of this measure did not lie deeper than the Letter of the Secretary to the Catholic Committee for this Letter was dated as far back as the 1st of January, and the Circular Letter of the Secretary to the Lord Lieutenant was dated the 12th of this month so that it appeared there were six entire weeks between the two acts. It was hardly possible to conceive that this Letter of the Secretary to the Catholic Committee could be the ground for the proceeding of the Irish government, when it was considered, that so little stress did that government seem to lay on that Letter, that the lord lieutenant did not think it worth his while to transmit a copy of it to his Majesty's ministers. It had even excited no feeling in the government here, for his Majesty's ministers made no mention whatever of it in the late speech from the throne. There was not one syllable in the Speech which had the smallest relation to it, although this paper had been in existence for six weeks. His Majesty's ministers, under such circumstances, ought to be able to make out a good case they ought to be able to shew what powerful motive could induce them to remain quiet for six weeks, and then, all at once, to break out into the precipitate adoption of this harsh and unaccountable measure. But he wished to call the attention of the House to a particular circumstance He had to ask, at what time particularly, this Letter of the Irish Secretary came forth This paper was issued at a time when the accounts of the Installation of the Prince Regent had barely arrived in Ireland. This was a most unlucky coincidence for the Prince was, deservedly, in the highest degree popular in that country, and was considered, on all hands, to be strongly attached to the interests of his Irish subjects. For this measure, however, there was not the smallest ground to suppose that ministers had the countenance of his Royal Highness. Whether ministers were right or wrong in the adoption of this severe measure, in the present state of his information upon that subject, he should be very sorry to take upon him to decide but it was necessary that the House should have means to enable them amply to discuss and to decide upon the subject. If it should turn out that the measure was necessary and justifiable, it might have the effect of turning the minds of the government to relax the system which they had been pursuing in Ireland. It was now four years since the right hon. gent was called to the administration of these kingdoms and what was the result of his administration in Ireland The state of Ireland was every year growing worse and worse under his management it was every year becoming more and more a part not of our strength, but of our weakness. He would ask, whether ministers expected to be able to continue this system Whether they expected to be able, by their Convention bills and similar measures, to govern that country He should be sorry if any thing he might say could have the least tendency to excite a spirit of discontent among the natives of Ireland. He was fully aware of the embarrassing situation in which he stood. On the one hand, it was possible he might be supposed to wish to excite anxiety and alarm in that country and on the other, by maintaining a silence on the subject, it might appear as if he seemed to acquiesce in the justice and propriety of the Irish system of government. The administration of the country seemed now to be placed in the painful alternative of being obliged either to concede something to the demands of the people of Ireland, or to put down the population of that country by the exercise of power. While he said this, however, it was not his object to enter into any discussion at present on the subject for neither he nor the House were possessed of information to enable them with propriety to enter upon the subject. His object was not a wish to embarrass administration and had he conceived that any thing this night spoken by him, could have the least tendency to effect such an embarrassment, it would have been buried in oblivion. He thought, however, it was becoming in the House to show an anxiety for the fate of Ireland, a greater anxiety than they had butherto shewn but while he blamed the spirit of intolerance that had been adopted in regard to Ireland, he did not forget that the Catholics themselves were, by their conduct, not altogether free from blame. It was his most earnest wish that the Catholics should abstain from all measures of a violent tendency for they might rest assured, that such measures, however much others might suffer from them, would return back on themselves in a tenfold degree. While he recommended, therefore, tolerance to the administration, he could not help recommending forbearance to the Catholics. The hon. gent, concluded with moving, That an humble Address be presented to his royal highness the Prince Regent, praying that there may be laid before the House copies or extracts of such dispatches from the Lord Lieutenant of Ireland to the Secretary of State for the home department, as related to the Circular Letter of the right hon. W. W. Pole, Chief Secretary of Ireland, to the chief magistrates and sheriffs of counties in that country. Upon this motion being proposed from the chair.",INDEPENDENT,mp,none,uk.proc.d.1811-02-22.2.1.1,uk.proc.d.1811-02-22,1791,2,1,1,1810-11-01,4.5,1
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr yorke,yorke,c p yorke,100,"rose and observed, that though he could not concur in the whole, he was inclined to agree entirely with the concluding passage of the hon. gents speech, in which he exhorted the House to an anxious consideration of the state of Ireland, and that the utmost degree of toleration and relaxation that could possibly be adopted should be conceded. There was no man in that House that could agree more cordially than he did in that sentiment, but he could not agree with the hon. gent. in that part of his speech where he charged the government of the country with adopting a system of intolerance towards Ireland. He must always deny the proposition, that because the House had not been inclined to agree to Catholic emancipation, they were therefore to call the system intolerant. So far from the system of his Majesty's government towards Ireland having been intolerant, he could venture to say, that the system pursued ever since his Majesty had ascended the throne, had been in the highest degree ameliorating and tolerant. They had, however, to lament, that there were great numbers of persons in Ireland, who appeared not to be satisfied until that point was conceded to them, denominated Catholic emancipation but until he could admit that that point should be granted them, he never could agree that the system had been intolerant. The hon. gent. had himself admitted that this was not the time for the consideration of the Catholic question, or for entering into the discussion of that subject but it were to be wished that the hon. gent. had confined himself to moving for the papers which he might conceive defective, and had avoided all discussion of topics connected with them. Before he proceeded to advert to these topics, he would state to the House the facts which had come to the knowledge of his Majesty's ministers. All that they knew was, that in consequence of a paper issued by a Mr. Hay, who called himself Secretary to the Catholic Committee it was thought advisable to issue the circular letter now before the House. This paper carried on the face of it a violation of the existing laws of Ireland. This was not the time to discuss the merits of these laws it was sufficient to declare what was the law. The Convention Act was declared to be expressly enacted for the purpose of preventing the assembly of delegates for any unlawful assembly, and offenders against the Act were declared guilty of a high misdemeanour. He would ask any person who read the paper now under discussion, whether it was not a decided offence against this Act, and whether the sitting of any such assembly, as the body of delegates from the Irish Catholics, was not to be held an assembly against the Convention Act The hon. gent. had said that there was upon the face of it, an evident intention in drawing up this paper of wishing to avoid offending against the law. He admitted that such intention was professed in certain passages of the paper but such passages did not at all alter the nature of that paper for how was it possible that men were to be sent as desired to join the Catholic Committee, without being appointed by an act of the body of Catholics It might be contended, therefore, that the person who wrote that paper must have intended a violation of the laws, and that he was aware that he was acting in violation of the laws and therefore, without inquiring further, the government of Ireland were prima facie and justifiably in the exercise of their duty, when they resorted to the measure under discussion. It might be true, that that measure was not expedient, and it was upon the expediency of the measure that the conduct of the government most be justified. Looking therefore at the letter of Mr. Hay, he maintained that the government of Ireland could not have acted otherwise than it did, without allowing persons openly to violate the established law of the country. But ministers were not in possession of all the information necessary to enable the House to judge of this measure in all its points and therefore, if all the papers moved for were granted on the present occasion, they would not answer the purpose of the hon. gent. He was therefore averse to the motion, because these papers were insufficient, and because it would be necessary to wait for still further papers, before the House could come properly to a discussion of the subject. Upon that ground he should give his negative to the motion. The hon. gent. had thought fit to criticise the government of Ireland, because the letter of the secretary to the Catholic Committee was dated the 1st of January, and the circular letter of the secretary to the lord lieutenant was dated on the 12th of February so that no notice appeared to have been taken of the former paper for six weeks. But, according to the information which he possessed, the government of Ireland knew nothing of that paper till within a short period of the issuing the proclamation. Although the letter of the Catholic secretary bore date the 1st of January, he believed it was not circulated till a much later period, and therefore the observations on the conduct of the Irish government did not seem to be entitled to much consideration. The hon. gent. had also mentioned, what he conceived an unfortunate coincidence in the appearance of the letter of the Irish secretary, at a time when the news of the Regent's appointment had newly come to Ireland and he took from thence an occasion of paying a welldeserved compliment, as he believed, to his Royal Highness. Every man who wished well to the interests of the United Kingdom, ought to feel warmly for the interests of Ireland and the illustrious person at the head of the government must be supposed to feel for those interests more warmly than other individuals could be supposed to feel. The introduction, however, of every circumstance of this nature, must not only be considered peculiarly unfortunate at this time, but at all times. It was also to be deplored, that gentlemen, who, he believed, had the glory and prosperity of their country sincerely at heart, should so often indulge in a tone and temper calculated to produce the greatest mischief that could possibly happen to Ireland. He did not, however, mean to say, that the hon. gent. who preceded him, was to be included in the description of gentlemen to whom this charge applied.",C,mp,none,uk.proc.d.1811-02-22.2.1.2,uk.proc.d.1811-02-22,1108,3,1,1,1810-11-01,4.5,2
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,general loftus,loftus,w loftus,86,"gave the hon. gent. who moved the question before the House, infinite credit for the manner and moderation with which he had done it and he could have wished that the right hon. gent. had confined himself merely to that question, and had not made the observations he had done respecting the oppressed state of the inhabitants of Ireland, as it tended to mislead that part of the House, not connected with that country. The fact was, that there was not an iota of difference between the situation of the great majority of the inhabitants of Ireland and their Protestant brethren, or between that description of persons and the lower class of people in England that they had the same laws to govern them, the same advantages under those laws that they had their forty shilling freeholds, could sit upon juries and, in fact, there was no difference whatever between the lower class of Protestants and that description of Catholics that there were about thirty two offices of state, which the educated Catholics were not competent to hold but which, if they took the same oaths the Protestants were obliged to take, they might hold that, in fact, the oppression of the Catholics was not any want of Catholic emancipation, but in the state of the country. Lower the rent, and add to the daily labourer's wages, and then they would understand what Catholic emancipation was. In respect to the Convention Act, it was an Act arising from the necessities of the times, and not meant to be acted upon but in cases of necessity. The discontents of Ireland could only be removed by her native gentry, who might do infinitely more good than could be hoped from Catholic emancipation. Let them lower their rents and raise the wages of the labourer, for the high rents and bad wages were the evils most complained of. Of Catholic emancipation the majority of the people knew no more than they did of what he was uttering at that moment. The duke of Richmond had shown every possible attention and kindness to the Catholics, but it was his duty to interfere when the country was in danger, or supposed to be in danger, and not to wait until their plans were completed. Under this impression, he should hope the Chancellor of the Exchequer would at present refuse any further information.",INDEPENDENT,mp,none,uk.proc.d.1811-02-22.2.1.5,uk.proc.d.1811-02-22,398,2,1,1,1810-11-01,4.5,3
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,sir h montgomery,h montgomery,h c montgomery,92,"said, that ever since he had had the honour of a seat in that House, he had given all the support in his power to the claims of the Catholics and it was his ambition to continue to them that support, so long as those claims were brought forward in a peaceable and constitutional manner. It was, however, one thing to support their just claims to a participation in the blessings of the constitution, and another to countenance pretensions not admitted to, or sought for by, any other class of his majesty's subjects pretensions which, if admitted by that House, would shortly go to annihilate the power of parliament itself. There was no difference between the right of claims on the part of the Catholics of Ireland, and that of the English Catholics. He could see no reason why a convention of English Catholics should not assemble in Great Britain, if such assemblies were allowed to meet elsewhere. Would it, however, be tolerated by that House, that such a Parliament should be established here How could they be satisfied that their discussions would be confined to subjects purely relative to their own particular situation The Catholics, although not permitted to sit in that House, had many friends within those walls. Many of their advocates were among those most distinguished for talents and respectability. They were also supported by a large party of noblemen and gentlemen, who heretofore had assisted them in framing their petitions. With these advantages he thought it quite unnecessary to adopt any other mode for the attainment of the object of their wishes. He thought the Irish government were entitled to the thanks of the House and of the country for their conduct in the present instance. Had the measure taken been longer deferred, all efforts to avert the threatened evil would in all probability have proved vain, and a body of men might have assembled, who would have given law to the kingdom.",C,mp,none,uk.proc.d.1811-02-22.2.1.6,uk.proc.d.1811-02-22,328,2,1,1,1810-11-01,4.5,4
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,sir john newport,j newport,s j newport,90,"observed, that the hon. baronet who had just sat down had said, the case was one which admitted of no delay, and that the government of Ireland was entitled to the thanks of the country for the measures which had been pursued. Now, if it was a case which admitted of no delay, how happened it that nothing had been done till the 12th of February The letter had been published in Ireland at about the middle of January, and much discussion had at that time taken place on the question, whether or not it would be best to withdraw that letter, and submit the subject to the aggregate meeting. That letter had been published in the newspapers. How then could it be unknown to the Irish government Was it not known that lord Castleross, son to lord Kenmare, bad come from a distant part of the country to sit as a member of that Committee With such information, how was it that the government of Ireland, having paused from the middle of January to the 12th of February, should at length issue such a circular order on its own responsibility How was it that the information received by government could be such that it ought not to be communicated to The House, while it was of such a nature as to warrant so extraordinary a proceeding as that which had taken place The right hon. gent. had deprecated the tone in which Irish matters were discussed. On this subject he would say, as he had often said before, that those who were aggrieved had a right to complain and when a disposition was manifested, as at present, to oppress the people of Ireland by reviving obsolete laws to deprive them of their rights, it became those who considered themselves as the guardians of those rights to speak with warmth and they were the best friends to this country who earliest called the attention of the House to their grievances, and pointed out the mismanagement of ministers. With respect to the duke of Richmond, he was in some instances entitled to much praise, yet had Ireland many insults to complain of. Was not the making of one learned gentleman Dr. Duigenan a right hon. gent., immediately after he had been denouncing the whole body of the Catholics as traitors the passing of an act to curtail the means of educating their clergy the appointing an hon. gent. to a high ostensible situation, who was particularly obnoxious to the Catholic body, c. Were not these galling insults wantonly offered to the Catholics of Ireland As to what had been said of the system of toleration which was acted upon, and the conciliatory spirit evinced by ministers, he would say that, if seeking to act on such a principle, they must necessarily insult the Catholics, by placing in a high situation a person by whom they had been most insulted and traduced, both in writings and in Parliament why then had this been done if this evinced a spirit of conciliation With respect to what the gallant general had said, that there was not an iota of difference between the situation of the lower classes of the Catholics and their Protestant brethren, he would ask, if every Catholic ought not to be able to hope, as well as every Protestant, however humble his situation, that his son might possibly one day become Lord High Chancellor Why ought not every father to be enabled to entertain such a hope, with as much appearance of reason as it might once have been indulged by the father of the present, and other Lord Chancellors, who, very much to their credit, had risen from humble situations in life Why should a Catholic be denied the hope of raising himself, as another noble lord had done, who originally had been but a woolcomber's son An honourable baronet had expressed himself content that the committee should remain as it was. That, however, was not the wish of the ministers, they denounced it altogether as unlawful, or, what he should wish to know was the meaning of that part of the letter of Mr. Secretary Pole, where he stiles them An unlawful assembly sitting in Dublin, and calling themselves, The Catholic Committee The hon. bart. here detailed the history of those proceedings which had caused the Circular Letter to be issued, which, he contended, were caused merely by a wish to take the general sense of the Catholics on the question, whether or not it would be proper to present their petitions to parliament in the present session. The object was to collect from those in the landed interest,whether or not it was proper the subject should be at present discussed and he should have thought it would have been the interest of government that it should be taken into consideration in such an assembly, rather than referred to an aggregate meeting. The Irish Government had, however, thought it best, in order to preserve the peace, to put an obsolete act in force an act never before acted upon an act passed by a bigotted and intolerant government an act passed, in the time of Mr. Pitt, the result of spleen and of disappointment. That act, he would observe, had led to the abolishing of the Irish parliament, and he warned them, lest, reviving it, they completed the ruin of their country.",LIB,mp,none,uk.proc.d.1811-02-22.2.1.7,uk.proc.d.1811-02-22,896,2,1,1,1810-11-01,4.5,5
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr whitbread,whitbread,s whitbread,90,"then rose and said Sir, The right hon. the Chancellor of the Exchequer has this night, by the speech he has just delivered, proved that there not only may be, but that there are political circumstances and changes, which in their operation can induce men, if not to change at least to modify even the most conscientious convictions. What and does the right hon. gent. admit that Catholic Petitions must come before us with their due authority and respect that to Ireland it ever was and will be the feeling of his government to extend lenity and forbearance The right hon. gent. then, is now almost the friend to a dispassionate consideration of the Catholic claims I am not surprised that after the exertions of a successful ambition, like others of his predecessors, he has kicked down the ladder by which he scrambled up to political importance. We have it now distinctly admitted, by the Chancellor of the Exchequer, raised, by the bye, to his station by far different sentiments that he is willing to concede the loyalty of the great body of the Catholics. We this night hear from that source that the disturbances which agitate Ireland have nothing to do with political questions or with Catholic emancipation. I congratulate the right hon. gent., this country and Ireland, on the revolution that has been effected in his opinions feeling it wholly unnecessary to comment on the causes of his conversion. It is, however, altogether impossible to forget the libel, which the very formation of his administration pronounced upon the Irish people it is impossible to forget that, during that administration, an appointment to the privy council was made an appointment which, even at the time, the right hon. gent. did not dare to justify of an individual Dr. Duigenan, who in conversation, and in print, within these walls, and without them, had arraigned the Catholics as traitors to the Stale. Does the right hon. gent. fancy that his acts will perish Can he suppose that the extorted admissions of this day can compensate for the exacerbated attacks of the former part of his administration A gallant general Loftus on the other side, declares, forsooth, that the Catholics of Ireland labour under no disabilities but that they are in the enjoyment of all those rights with which men ought to be satisfied. He who makes that statement is a general officer. Is he not, as be ought to be, proud of this distinction Are the Catholics to have no credit for the same feelings of generous ambition Are they to exemplify loyalty as sincere heroism as conspicuous genius as commanding as their Protestant fellowsoldiers can display, and then to be supposed dead to all the honourable impulses of life, undeserving of all those encouragements and rewards which a grateful country can bestow The gallant general has opened his mouth this night in this House is he not, as every member of a free State must be, proud of that distinction Can the Catholic enjoy that right How, then, at the very moment when his own act contradicts his statement, can he say that the Catholic of Ireland labours under no disability Sir, the Chancellor of the Exchequer endeavours to justify the Irish government for the course they have pursued. He founds his opinion on the Circular Letter of the Catholics, and the other information which the government here have received. Upon his own shewing then, namely, that the papers in his possession justify the Irish government, he is bound to produce the correspondence. For my part, I know of nothing that could justify any government, to use the words of my hon. and able friend Mr Ward in rummaging into the statutes of the Irish parliament, for an act, conceived in the darkest bigotry an act hatched in the revengeful disposition of those whose intolerance constituted their only pretension to power a pretension such as that which has recommended those persons who now fill the offices of state and government. But then the right hon. gent. assures us that this harsh and restrictive act will be exercised mildly. How, mildly If executed at all, it must he rigorous. The law commands you to apprehend, and therefore if it be at all put in force, you cannot dispense with the apprehension. What, then, is the true meaning of this term mildly Why this affected forbearance, this assumed lenity It arises from this cause, that the ministers of the government have been stopped in their career of violence that the sanction of the Prince Regent has been refused to such a policy. There has been a correspondence between the government here and that of Ireland. Why is it not produced Let his royal highness the Prince Regent appear to the country and the world in his true colours. If the information be not produced now, it never will be in our possession. The measure is altogether hushed it is completely quashed and, therefore, when we shall hereafter inquire, the answer will be, that inquiry is unnecessary, inasmuch as the measure was not acted upon. The gentlemen opposite, on a former day, stated their previous ignorance of the intended measure of the Irish government. I ask the Chancellor of the Exchequer to say, whether he did not see the Circular Letter of the Catholics before the departure of Mr. Secretary Pole from this country What no answer. Is the right hon. gent. as dexterous in his silence as in his eloquence The Chancellor of the Exchequer stated across the table, that he had not seen it. Extraordinary, that such a document, published in the Irish papers early in the month of January papers received regularly by the Irish secretary, should be unknown to the government here. But surely the duke of Richmond must have been acquainted with it. Indeed, Mr. Secretary Pole appears, as I have before stated in his presence, and therefore may now repeat in his absence, to be lordlieutenant in his own capacity. Sir it is now, it seems, stated, that the Catholic Committee, which was before innoxious, has assumed a new and dangerous character, the proof of which is to be found in their late discussions. Are we to trace this recent apprehension which the Chancellor of the Exchequer and Mr. Pole have felt, to the fact of their names having been introduced and animadverted on in the late discussions of that body It is, indeed, a most unhappy combination of circumstances, that the government of the Prince Regent should be ushered into Ireland, with a measure of harshness and coercion. It was most eloquently remarked by an Irish member of a late parliament, that the formation of the ministry, which the right hon. gent. had taken such means to establish, had, for the remainder of his Majesty's reign, entombed the hopes of the Catholics. Are the same instruments industriously at work, to propagate through Ireland the thought, that their hopes are also to be entombed through the reign of his successor The right hon. gent. says, the law has provided against the Catholic meetings. The law does no such thing. Harsh and unconstitutional as that law was, it was directed against the objects of others. The concessions to the Catholics in 1793, admitted the claims of those who were stated to act for themselves and others. But the Convention Bill was directed against the associations for parliamentary reform associations, amongst whom were some most distinguished persons, and a present member of this House not the least conspicuous I mean Mr. Stewart now lord Castlereagh. But the Catholics are this night charged by the Chancellor of the Exchequer, with an attempt to evade whilst professing to observe a law, which it was their determination to violate. One would have thought, after all his affected respect for that body, that no such imputation would be presumed. Would it not be more proper, more correct, and more politic, to infer, even if a violation of law took place, that it did not spring from any predetermined disposition to commit an offence It has been said, Sir, that these discussions in parliament have occasioned the irritation that prevails in Ireland but it has been well and truly answered by my right hon. friend near me, that unless these irritated feelings have the means of evaporation in debate, they will lead to conspiracy that, if the Catholics cannot proclaim their grievances, in open day, they will brood over them in caverns and what will be the consequence Although in imitation of the right hon. gent. opposite, I have already gone beyond the question, I must observe that he the Chancellor of the Exchequer had at his entrance into office given a bond, sealed with his honour, that he never would concede the Catholic claims. Who sanctioned this act of the Irish government It is most important to ascertain this, that the character of the head of the government here may stand clear, if in reality it is clear, and on that ground I shall vote for the production of these papers It is highly desirable that the government of England should stand unconnected with this proceeding, to see whether Mr. Pole has been authorised to carry into execution this civil mode of arrest, or whether he has not been told that he has gone a step too far, and that part of his work must be undone. I apprehend that this is what has actually taken place. Suppose the Committee chose to hold its sittings in England, is there any law to prevent it Then why should there be any such law in Ireland I am anxious to see how the matter really stands, that blame may rest where it is justly due.",LIB,mp,none,uk.proc.d.1811-02-22.2.1.9,uk.proc.d.1811-02-22,1620,2,1,1,1810-11-01,4.5,6
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr whitbread,whitbread,s whitbread,90,". The right hon. gent. deserves an explanation from me, and he shall have it. I did not mean to impute to him any thing which did not pass in this House. When I said he gave a bond not to concede the Catholic claims, I referred to the manner in which he came into power. The former ministry went out of power because they would not give such a bond. He came in, and of course it was to be inferred, that he had entered into that stipulation, for refusing to enter into which his predecessors had gone out.",LIB,mp,none,uk.proc.d.1811-02-22.2.1.11,uk.proc.d.1811-02-22,101,2,1,1,1810-11-01,4.5,7
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr whitbread,whitbread,s whitbread,90,"submitted to the candour of the right hon. gent. the Chancellor of the Exchequer whether, in justice even to him, he might not be permitted to explain. He did not say that the pledge had been given in so many words, or in a writing drawn up for the purpose.",LIB,mp,none,uk.proc.d.1811-02-22.2.1.16,uk.proc.d.1811-02-22,52,2,1,1,1810-11-01,4.5,8
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr whitbread,whitbread,s whitbread,90,"stated, that he considered the pledge as given by accepting office, when it had previously been relinquished on the sole ground of a refusal to consent to any such pledge. Under these circumstances the king had been deceived, unless the gentlemen accepting office understood themselves to be bound.",LIB,mp,none,uk.proc.d.1811-02-22.2.1.20,uk.proc.d.1811-02-22,50,2,1,1,1810-11-01,4.5,9
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr fuller,fuller,j fuller,86,". Perhaps, Sir, I was not a very proper person to rise to order, but no matter for that I confess it. When I do get up, however, I speak to the subject aye, and pretty freely, too. When the hon. gent. opposite Mr. Whitbread talked about his bond and his sealing on honour, and things of that kind, all it came to in the end wassupposing.For that matter, I could suppose any thing myself. But he has no right to talk of other people, for I never saw a set of men sneak out of their offices in the way his own friends did. They shewed a great deal of uneasiness. They sneaked out most contemptibly. Order.Pon my honour, Sir, it is not merely my own remark, I speak on suggestion. But the hon. gent. has no right to say or suppose that my right hon. friend would enter into a bond No, he would disdain such a thing. He shewed them that in late affairs he shewed them a spirit, I think, which they felt, aye, and heartily too. Hear, hear As to these Irish affairs that they talked so much of now, why, I remember very well myself, about 30 years ago, a set of people coming down to this House, just like the hon. gentlemen, sweating and fuming, all in a fame like a steam engine. A laugh. The cry was then, Won't you grant Ireland arms to fight for you Well, we did give them 60,000 stand of arms, and they turned them against us. I have no great faith in Catholic emancipation. I think that there is a radical and rooted antipathy between England and Ireland. Order Well, then, try Catholic emancipation, if you think it will do. I care no more for a Catholic than I do for a Chinese. Give the fellows in their red waistcoats and blue breeches every thing they want. But it won't do. No, let the great men of the country go home, in place of spending their money here let them regulate their own tenantry and their estates, and not hear of them only through those secondary persons whom they employ. Hear, hear That will do more to conciliate Ireland than all the measures there is so much work made about. As to the duke of Richmond, I know him, and he is a brave, generous, nobleminded man and such a man will never descend to oppress those below him. I believe he has tried lenient measures, but they failed and he was compelled to try severity. I will now vote against the motion. I will wait and not give an intemperate opinion, such as ought not to be given in parliament.",C,mp,none,uk.proc.d.1811-02-22.2.1.24,uk.proc.d.1811-02-22,455,2,1,1,1810-11-01,4.5,10
