year,date,debate_topic,original_name,speaker,matched_name,ratio,speech_content,party,role,party_ref,mp_id,file_ref,speech_length,match_method,session_indicator,date_ind,session_start_date,session_ref,obs_ids,procedural_ngrams,procedural_phrases,procedural_phrases_length,procedural_phrases_share
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,the hon j w ward,j w ward,j w ward,100,"said he rose, pursuant to notice, to move for such papers as might have a tendency to throw light on a latemeasure adopted in ireland had he understood that the production of these papers would be conceded, he should have felt it his duty to abstain from in anywise entering upon the question but as this was not the case, he conceived it necessary to say a few words, to induce the house to accede to his motion the house were aware that an act had been performed by the irish government, calculated to excite in ireland great anxiety and irritation an act which nothing but absolute necessity could, in his opinion, justify it was therefore incumbent on his majesty's ministers, if they wished to preserve the confidence of the country, to shew the existence of that necessity he certainly was not himself much inclined to repose confidence in the administration of the right hon gentleman opposite, and more especially as that administration regarded ireland because he conceived that right hon gentleman in that respect, to have proceeded on principles of the most mischievous tendency to both countries but when it was found that his majesty's servants rummaged the darkest pages of the statute book, in order to inflict pains and penalties on persons who, however erroneous they might be in any particular act, were generally and substantially as meritorious subjects as any in the king's dominions, it became necessary for parliament to interfere, and not to allow the security of a whole people to be endangered, without calling on those to whom the putting it to hazard was imputable for a full explanation of the motives by which they had been influenced it was as true as it was extraordinary, that the steps lately taken by the irish government had been preceded by no official statement, either on the part of that or of the british government, of existing disturbances in ireland on the contrary, the last notice that was taken of the state of ireland by the right hon opposite, in that house, was a boast of its tranquillity with respect to the paper which had been laid before the house, he meant the circular letter of the secretary of the catholic committee, it contained no justification of the conduct of government it merely ascertained the fact of the existence in ireland for a considerable time of a catholic delegation now, he apprehended, that the mere fact of the existence of such a delegation, did not justify government in the execution of a law such as that which had been enforced it was to him evident, that the legitimate object which the catholics of ireland had in contemplation, could be accomplished with much greater safety through the medium of a delegation than by a reference to the whole body of catholics in that country but admitting the supposition, to the truth of which he could not by any means assent, that the delegation was of an illegal nature, and had improper objects in view, the house ought to be informed whether his majesty's government had tried mild measures before they resorted to those of severity it was necessary that the house should know whether any communication had been made to the individuals presumed to have offended against the law, previous to the adoption of a step by which, if it were followed up, a very large number of person, indeed would be deprived of their personal liberty on the face of the paper which had been laid on the , there was nothing of an alarming nature on the contrary, it appeared to have been drawn up with a studious attention to mildness of expression, to decorous and respectful language, and with every necessary precaution to guard against any possible violation of the law the authors of it seemed to have been anxious to do only what was necessary to prosecute, in a legal way, the objects of their petition they expressly say, that no person, without a gross violation of the law, can be a representative or delegate engaged as we are in a struggle for our legal and constitutional rights, it is our duty, as well as our inclination and decided determination not to violate the spirit, nor even the letter of the law it was possible, however, that all these professions might be hollow and deceitful but of that, no trace appeared on the proceedings of the committee the house was in a state of profound ignorance on the subject, as nothing had been produced to justify the strong measure that had been had recourse to his majesty's ministers might, indeed, possess information of a different nature they might know that this declaration was nothing more than a pretext and that under this seeming regard for the laws, measures of a dangerous tendency were in contemplation but the house had no information of any such designs, and remained in profound ignorance on the subject from this measure, however, it appeared that ireland was in a most perilous state but it was impossible for a moment to conceive that the cause of this measure did not lie deeper than the letter of the secretary to the catholic committee for this letter was dated as far back as the 1st of january, and the circular letter of the secretary to the lord lieutenant was dated the 12th of this month so that it appeared there were six entire weeks between the two acts it was hardly possible to conceive that this letter of the secretary to the catholic committee could be the ground for the proceeding of the irish government, when it was considered, that so little stress did that government seem to lay on that letter, that the lord lieutenant did not think it worth his while to transmit a copy of it to his majesty's ministers it had even excited no feeling in the government here, for his majesty's ministers made no mention whatever of it in the late speech from the throne there was not one syllable in the speech which had the smallest relation to it, although this paper had been in existence for six weeks his majesty's ministers, under such circumstances, ought to be able to make out a good case they ought to be able to shew what powerful motive could induce them to remain quiet for six weeks, and then, all at once, to break out into the precipitate adoption of this harsh and unaccountable measure but he wished to call the attention of the house to a particular circumstance he had to ask, at what time particularly, this letter of the irish secretary came forth this paper was issued at a time when the accounts of the installation of the prince regent had barely arrived in ireland this was a most unlucky coincidence for the prince was, deservedly, in the highest degree popular in that country, and was considered, on all hands, to be strongly attached to the interests of his irish subjects for this measure, however, there was not the smallest ground to suppose that ministers had the countenance of his royal highness whether ministers were right or wrong in the adoption of this severe measure, in the present state of his information upon that subject, he should be very sorry to take upon him to decide but it was necessary that the house should have means to enable them amply to discuss and to decide upon the subject if it should turn out that the measure was necessary and justifiable, it might have the effect of turning the minds of the government to relax the system which they had been pursuing in ireland it was now four years since the right hon gent was called to the administration of these kingdoms and what was the result of his administration in ireland the state of ireland was every year growing worse and worse under his management it was every year becoming more and more a part not of our strength, but of our weakness he would ask, whether ministers expected to be able to continue this system whether they expected to be able, by their convention bills and similar measures, to govern that country he should be sorry if any thing he might say could have the least tendency to excite a spirit of discontent among the natives of ireland he was fully aware of the embarrassing situation in which he stood on the one hand, it was possible he might be supposed to wish to excite anxiety and alarm in that country and on the other, by maintaining a silence on the subject, it might appear as if he seemed to acquiesce in the justice and propriety of the irish system of government the administration of the country seemed now to be placed in the painful alternative of being obliged either to concede something to the demands of the people of ireland, or to put down the population of that country by the exercise of power while he said this, however, it was not his object to enter into any discussion at present on the subject for neither he nor the house were possessed of information to enable them with propriety to enter upon the subject his object was not a wish to embarrass administration and had he conceived that any thing this night spoken by him, could have the least tendency to effect such an embarrassment, it would have been buried in oblivion he thought, however, it was becoming in the house to show an anxiety for the fate of ireland, a greater anxiety than they had butherto shewn but while he blamed the spirit of intolerance that had been adopted in regard to ireland, he did not forget that the catholics themselves were, by their conduct, not altogether free from blame it was his most earnest wish that the catholics should abstain from all measures of a violent tendency for they might rest assured, that such measures, however much others might suffer from them, would return back on themselves in a tenfold degree while he recommended, therefore, tolerance to the administration, he could not help recommending forbearance to the catholics the hon gent, concluded with moving, that an humble address be presented to his royal highness the prince regent, praying that there may be laid before the house copies or extracts of such dispatches from the lord lieutenant of ireland to the secretary of state for the home department, as related to the circular letter of the right hon pole, chief secretary of ireland, to the chief magistrates and sheriffs of counties in that country upon this motion being proposed from the chair",INDEPENDENT,mp,none,uk.proc.d.1811-02-22.2.1.1,uk.proc.d.1811-02-22,1795,2,1,1,1810-11-01,4.5,1,table of the house,"on the face of the paper which had been laid on the table of the house, there was nothing of an alarming nature on the contrary, it appeared to have been drawn up with a studious attention to mildness of expression, to decorous and respectful language, and with every necessary precaution to guard against any possible violation of the law",60,0.0332963374028857
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr yorke,yorke,c p yorke,100,"rose and observed, that though he could not concur in the whole, he was inclined to agree entirely with the concluding passage of the hon gents speech, in which he exhorted the house to an anxious consideration of the state of ireland, and that the utmost degree of toleration and relaxation that could possibly be adopted should be conceded there was no man in that house that could agree more cordially than he did in that sentiment, but he could not agree with the hon in that part of his speech where he charged the government of the country with adopting a system of intolerance towards ireland he must always deny the proposition, that because the house had not been inclined to agree to catholic emancipation, they were therefore to call the system intolerant so far from the system of his majesty's government towards ireland having been intolerant, he could venture to say, that the system pursued ever since his majesty had ascended the throne, had been in the highest degree ameliorating and tolerant they had, however, to lament, that there were great numbers of persons in ireland, who appeared not to be satisfied until that point was conceded to them, denominated catholic emancipation but until he could admit that that point should be granted them, he never could agree that the system had been intolerant the hon had himself admitted that this was not the time for the consideration of the catholic question, or for entering into the discussion of that subject but it were to be wished that the hon had confined himself to moving for the papers which he might conceive defective, and had avoided all discussion of topics connected with them before he proceeded to advert to these topics, he would state to the house the facts which had come to the knowledge of his majesty's ministers all that they knew was, that in consequence of a paper issued by a mr hay, who called himself secretary to the catholic committee it was thought advisable to issue the circular letter now before the house this paper carried on the face of it a violation of the existing laws of ireland this was not the time to discuss the merits of these laws it was sufficient to declare what was the law the convention act was declared to be expressly enacted for the purpose of preventing the assembly of delegates for any unlawful assembly, and offenders against the act were declared guilty of a high misdemeanour he would ask any person who read the paper now under discussion, whether it was not a decided offence against this act, and whether the sitting of any such assembly, as the body of delegates from the irish catholics, was not to be held an assembly against the convention act the hon had said that there was upon the face of it, an evident intention in drawing up this paper of wishing to avoid offending against the law he admitted that such intention was professed in certain passages of the paper but such passages did not at all alter the nature of that paper for how was it possible that men were to be sent as desired to join the catholic committee, without being appointed by an act of the body of catholics it might be contended, therefore, that the person who wrote that paper must have intended a violation of the laws, and that he was aware that he was acting in violation of the laws and therefore, without inquiring further, the government of ireland were prima facie and justifiably in the exercise of their duty, when they resorted to the measure under discussion it might be true, that that measure was not expedient, and it was upon the expediency of the measure that the conduct of the government most be justified looking therefore at the letter of mr hay, he maintained that the government of ireland could not have acted otherwise than it did, without allowing persons openly to violate the established law of the country but ministers were not in possession of all the information necessary to enable the house to judge of this measure in all its points and therefore, if all the papers moved for were granted on the present occasion, they would not answer the purpose of the hon he was therefore averse to the motion, because these papers were insufficient, and because it would be necessary to wait for still further papers, before the house could come properly to a discussion of the subject upon that ground he should give his negative to the motion the hon had thought fit to criticise the government of ireland, because the letter of the secretary to the catholic committee was dated the 1st of january, and the circular letter of the secretary to the lord lieutenant was dated on the 12th of february so that no notice appeared to have been taken of the former paper for six weeks but, according to the information which he possessed, the government of ireland knew nothing of that paper till within a short period of the issuing the proclamation although the letter of the catholic secretary bore date the 1st of january, he believed it was not circulated till a much later period, and therefore the observations on the conduct of the irish government did not seem to be entitled to much consideration the hon had also mentioned, what he conceived an unfortunate coincidence in the appearance of the letter of the irish secretary, at a time when the news of the regent's appointment had newly come to ireland and he took from thence an occasion of paying a welldeserved compliment, as he believed, to his royal highness every man who wished well to the interests of the united kingdom, ought to feel warmly for the interests of ireland and the illustrious person at the head of the government must be supposed to feel for those interests more warmly than other individuals could be supposed to feel the introduction, however, of every circumstance of this nature, must not only be considered peculiarly unfortunate at this time, but at all times it was also to be deplored, that gentlemen, who, he believed, had the glory and prosperity of their country sincerely at heart, should so often indulge in a tone and temper calculated to produce the greatest mischief that could possibly happen to ireland he did not, however, mean to say, that the hon who preceded him, was to be included in the description of gentlemen to whom this charge applied",C,mp,none,uk.proc.d.1811-02-22.2.1.2,uk.proc.d.1811-02-22,1103,3,1,1,1810-11-01,4.5,2,NA,NA,0,0
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,general loftus,loftus,w loftus,86,"gave the hon who moved the question before the house, infinite credit for the manner and moderation with which he had done it and he could have wished that the right hon had confined himself merely to that question, and had not made the observations he had done respecting the oppressed state of the inhabitants of ireland, as it tended to mislead that part of the house, not connected with that country the fact was, that there was not an iota of difference between the situation of the great majority of the inhabitants of ireland and their protestant brethren, or between that description of persons and the lower class of people in england that they had the same laws to govern them, the same advantages under those laws that they had their forty shilling freeholds, could sit upon juries and, in fact, there was no difference whatever between the lower class of protestants and that description of catholics that there were about thirty two offices of state, which the educated catholics were not competent to hold but which, if they took the same oaths the protestants were obliged to take, they might hold that, in fact, the oppression of the catholics was not any want of catholic emancipation, but in the state of the country lower the rent, and add to the daily labourer's wages, and then they would understand what catholic emancipation was in respect to the convention act, it was an act arising from the necessities of the times, and not meant to be acted upon but in cases of necessity the discontents of ireland could only be removed by her native gentry, who might do infinitely more good than could be hoped from catholic emancipation let them lower their rents and raise the wages of the labourer, for the high rents and bad wages were the evils most complained of of catholic emancipation the majority of the people knew no more than they did of what he was uttering at that moment the duke of richmond had shown every possible attention and kindness to the catholics, but it was his duty to interfere when the country was in danger, or supposed to be in danger, and not to wait until their plans were completed under this impression, he should hope the would at present refuse any further information",INDEPENDENT,mp,none,uk.proc.d.1811-02-22.2.1.5,uk.proc.d.1811-02-22,392,2,1,1,1810-11-01,4.5,3,chancellor of the exchequer,"under this impression, he should hope the chancellor of the exchequer would at present refuse any further information",18,0.0452261306532663
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,sir h montgomery,h montgomery,h c montgomery,92,"said, that ever since he had had the honour of a seat in that house, he had given all the support in his power to the claims of the catholics and it was his ambition to continue to them that support, so long as those claims were brought forward in a peaceable and constitutional manner it was, however, one thing to support their just claims to a participation in the blessings of the constitution, and another to countenance pretensions not admitted to, or sought for by, any other class of his majesty's subjects pretensions which, if admitted by that house, would shortly go to annihilate the power of parliament itself there was no difference between the right of claims on the part of the catholics of ireland, and that of the english catholics he could see no reason why a convention of english catholics should not assemble in great britain, if such assemblies were allowed to meet elsewhere would it, however, be tolerated by that house, that such a parliament should be established here how could they be satisfied that their discussions would be confined to subjects purely relative to their own particular situation the catholics, although not permitted to sit in that house, had many friends within those walls many of their advocates were among those most distinguished for talents and respectability they were also supported by a large party of noblemen and gentlemen, who heretofore had assisted them in framing their petitions with these advantages he thought it quite unnecessary to adopt any other mode for the attainment of the object of their wishes he thought the irish government were entitled to the thanks of the house and of the country for their conduct in the present instance had the measure taken been longer deferred, all efforts to avert the threatened evil would in all probability have proved vain, and a body of men might have assembled, who would have given law to the kingdom",C,mp,none,uk.proc.d.1811-02-22.2.1.6,uk.proc.d.1811-02-22,328,2,1,1,1810-11-01,4.5,4,NA,NA,0,0
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,sir john newport,j newport,s j newport,90,"observed, that the hon baronet who had just sat down had said, the case was one which admitted of no delay, and that the government of ireland was entitled to the thanks of the country for the measures which had been pursued now, if it was a case which admitted of no delay, how happened it that nothing had been done till the 12th of february the letter had been published in ireland at about the middle of january, and much discussion had at that time taken place on the question, whether or not it would be best to withdraw that letter, and submit the subject to the aggregate meeting that letter had been published in the newspapers how then could it be unknown to the irish government was it not known that lord castleross, son to lord kenmare, bad come from a distant part of the country to sit as a member of that committee with such information, how was it that the government of ireland, having paused from the middle of january to the 12th of february, should at length issue such a circular order on its own responsibility how was it that the information received by government could be such that it ought not to be communicated to the house, while it was of such a nature as to warrant so extraordinary a proceeding as that which had taken place the right hon had deprecated the tone in which irish matters were discussed on this subject he would say, as he had often said before, that those who were aggrieved had a right to complain and when a disposition was manifested, as at present, to oppress the people of ireland by reviving obsolete laws to deprive them of their rights, it became those who considered themselves as the guardians of those rights to speak with warmth and they were the best friends to this country who earliest called the attention of the house to their grievances, and pointed out the mismanagement of ministers with respect to the duke of richmond, he was in some instances entitled to much praise, yet had ireland many insults to complain of was not the making of one learned gentleman dr duigenan a right hon , immediately after he had been denouncing the whole body of the catholics as traitors the passing of an act to curtail the means of educating their clergy the appointing an hon to a high ostensible situation, who was particularly obnoxious to the catholic body, c were not these galling insults wantonly offered to the catholics of ireland as to what had been said of the system of toleration which was acted upon, and the conciliatory spirit evinced by ministers, he would say that, if seeking to act on such a principle, they must necessarily insult the catholics, by placing in a high situation a person by whom they had been most insulted and traduced, both in writings and in parliament why then had this been done if this evinced a spirit of conciliation with respect to what the gallant general had said, that there was not an iota of difference between the situation of the lower classes of the catholics and their protestant brethren, he would ask, if every catholic ought not to be able to hope, as well as every protestant, however humble his situation, that his son might possibly one day become lord high chancellor why ought not every father to be enabled to entertain such a hope, with as much appearance of reason as it might once have been indulged by the father of the present, and other lord chancellors, who, very much to their credit, had risen from humble situations in life why should a catholic be denied the hope of raising himself, as another noble lord had done, who originally had been but a woolcomber's son an honourable baronet had expressed himself content that the committee should remain as it was that, however, was not the wish of the ministers, they denounced it altogether as unlawful, or, what he should wish to know was the meaning of that part of the letter of mr secretary pole, where he stiles them an unlawful assembly sitting in dublin, and calling themselves, the catholic committee the hon here detailed the history of those proceedings which had caused the circular letter to be issued, which, he contended, were caused merely by a wish to take the general sense of the catholics on the question, whether or not it would be proper to present their petitions to parliament in the present session the object was to collect from those in the landed interest,whether or not it was proper the subject should be at present discussed and he should have thought it would have been the interest of government that it should be taken into consideration in such an assembly, rather than referred to an aggregate meeting the irish government had, however, thought it best, in order to preserve the peace, to put an obsolete act in force an act never before acted upon an act passed by a bigotted and intolerant government an act passed, in the time of mr pitt, the result of spleen and of disappointment that act, he would observe, had led to the abolishing of the irish parliament, and he warned them, lest, reviving it, they completed the ruin of their country",LIB,mp,none,uk.proc.d.1811-02-22.2.1.7,uk.proc.d.1811-02-22,901,2,1,1,1810-11-01,4.5,5,NA,NA,0,0
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr whitbread,whitbread,s whitbread,90,"then rose and said sir, the right hon , by the speech he has just delivered, proved that there not only may be, but that there are political circumstances and changes, which in their operation can induce men, if not to change at least to modify even the most conscientious convictions what and does the right hon admit that catholic petitions must come before us with their due authority and respect that to ireland it ever was and will be the feeling of his government to extend lenity and forbearance the right hon then, is now almost the friend to a dispassionate consideration of the catholic claims i am not surprised that after the exertions of a successful ambition, like others of his predecessors, he has kicked down the ladder by which he scrambled up to political importance we have it now distinctly admitted, , by the bye, to his station by far different sentiments that he is willing to concede the loyalty of the great body of the catholics we this night hear from that source that the disturbances which agitate ireland have nothing to do with political questions or with catholic emancipation i congratulate the right hon , this country and ireland, on the revolution that has been effected in his opinions feeling it wholly unnecessary to comment on the causes of his conversion it is, however, altogether impossible to forget the libel, which the very formation of his administration pronounced upon the irish people it is impossible to forget that, during that administration, an appointment to the privy council was made an appointment which, even at the time, the right hon did not dare to justify of an individual dr duigenan, who in conversation, and in print, within these walls, and without them, had arraigned the catholics as traitors to the stale does the right hon fancy that his acts will perish can he suppose that the extorted admissions of this day can compensate for the exacerbated attacks of the former part of his administration a gallant general loftus on the other side, declares, forsooth, that the catholics of ireland labour under no disabilities but that they are in the enjoyment of all those rights with which men ought to be satisfied he who makes that statement is a general officer is he not, as be ought to be, proud of this distinction are the catholics to have no credit for the same feelings of generous ambition are they to exemplify loyalty as sincere heroism as conspicuous genius as commanding as their protestant fellowsoldiers can display, and then to be supposed dead to all the honourable impulses of life, undeserving of all those encouragements and rewards which a grateful country can bestow the gallant general has opened his mouth this night in this house is he not, as every member of a free state must be, proud of that distinction can the catholic enjoy that right how, at the very moment when his own act contradicts his statement, can he say that the catholic of ireland labours under no disability sir, the endeavours to justify the irish government for the course they have pursued he founds his opinion on the circular letter of the catholics, and the other information which the government here have received upon his own shewing then, namely, that the papers in his possession justify the irish government, he is bound to produce the correspondence for my part, i know of nothing that could justify any government, to use the words of my hon and able friend mr ward in rummaging into the statutes of the irish parliament, for an act, conceived in the darkest bigotry an act hatched in the revengeful disposition of those whose intolerance constituted their only pretension to power a pretension such as that which has recommended those persons who now fill the offices of state and government but then the right hon assures us that this harsh and restrictive act will be exercised mildly how, mildly if executed at all, it must he rigorous the law commands you to apprehend, and therefore if it be at all put in force, you cannot dispense with the apprehension what, then, is the true meaning of this term mildly why this affected forbearance, this assumed lenity it arises from this cause, that the ministers of the government have been stopped in their career of violence that the sanction of the prince regent has been refused to such a policy there has been a correspondence between the government here and that of ireland why is it not produced let his royal highness the prince regent appear to the country and the world in his true colours if the information be not produced now, it never will be in our possession the measure is altogether hushed it is completely quashed and, therefore, when we shall hereafter inquire, the answer will be, that inquiry is unnecessary, inasmuch as the measure was not acted upon the gentlemen opposite, on a former day, stated their previous ignorance of the intended measure of the irish government , whether he did not see the circular letter of the catholics before the departure of mr secretary pole from this country what no answer is the right hon as dexterous in his silence as in his eloquence the stated across the table, that he had not seen it extraordinary, that such a document, published in the irish papers early in the month of january papers received regularly by the irish secretary, should be unknown to the government here but surely the duke of richmond must have been acquainted with it indeed, mr secretary pole appears, as i have before stated in his presence, and therefore may now repeat in his absence, to be lordlieutenant in his own capacity sir it is now, it seems, stated, that the catholic committee, which was before innoxious, has assumed a new and dangerous character, the proof of which is to be found in their late discussions are we to trace this recent apprehension which the and mr pole have felt, to the fact of their names having been introduced and animadverted on in the late discussions of that body it is, indeed, a most unhappy combination of circumstances, that the government of the prince regent should be ushered into ireland, with a measure of harshness and coercion it was most eloquently remarked by an irish member of a late parliament, that the formation of the ministry, which the right hon had taken such means to establish, had, for the remainder of his majesty's reign, entombed the hopes of the catholics are the same instruments industriously at work, to propagate through ireland the thought, that their hopes are also to be entombed through the reign of his successor the right hon says, the law has provided against the catholic meetings the law does no such thing harsh and unconstitutional as that law was, it was directed against the objects of others the concessions to the catholics in 1793, admitted the claims of those who were stated to act for themselves and others but the convention bill was directed against the associations for parliamentary reform associations, amongst whom were some most distinguished persons, and a present member of this house not the least conspicuous i mean mr stewart now lord castlereagh , with an attempt to evade whilst professing to observe a law, which it was their determination to violate one would have thought, after all his affected respect for that body, that no such imputation would be presumed would it not be more proper, more correct, and more politic, to infer, even if a violation of law took place, that it did not spring from any predetermined disposition to commit an offence it has been said, sir, that these discussions in parliament have occasioned the irritation that prevails in ireland but it has been well and truly answered by my right hon friend near me, that unless these irritated feelings have the means of evaporation in debate, they will lead to conspiracy that, if the catholics cannot proclaim their grievances, in open day, they will brood over them in caverns and what will be the consequence although in imitation of the right hon i have already gone beyond the question, i must observe that he the had at his entrance into office given a bond, sealed with his honour, that he never would concede the catholic claims who sanctioned this act of the irish government it is most important to ascertain this, that the character of the head of the government here may stand clear, if in reality it is clear, and on that ground i shall vote for the production of these papers it is highly desirable that the government of england should stand unconnected with this proceeding, to see whether mr pole has been authorised to carry into execution this civil mode of arrest, or whether he has not been told that he has gone a step too far, and that part of his work must be undone i apprehend that this is what has actually taken place suppose the committee chose to hold its sittings in england, is there any law to prevent it then why should there be any such law in ireland i am anxious to see how the matter really stands, that blame may rest where it is justly due",LIB,mp,none,uk.proc.d.1811-02-22.2.1.9,uk.proc.d.1811-02-22,1565,2,1,1,1810-11-01,4.5,6,chancellor of the exchequer; chancellor of the exchequer; chancellor of the exchequer; chancellor of the exchequer; chancellor of the exchequer; chancellor of the exchequer; chancellor of the exchequer; chancellor of the exchequer,"the chancellor of the exchequer has this night, by the speech he has just delivered, proved that there not only may be, but that there are political circumstances and changes, which in their operation can induce men, if not to change at least to modify even the most conscientious convictions;  we have it now distinctly admitted, by the chancellor of the exchequer, raised, by the bye, to his station by far different sentiments that he is willing to concede the loyalty of the great body of the catholics;  is he not, as be ought to be, proud of this distinction are the catholics to have no credit for the same feelings of generous ambition are they to exemplify loyalty as sincere heroism as conspicuous genius as commanding as their protestant fellowsoldiers can display, and then to be supposed dead to all the honourable impulses of life, undeserving of all those encouragements and rewards which a grateful country can bestow the gallant general has opened his mouth this night in this house is he not, as every member of a free state must be, proud of that distinction can the catholic enjoy that right how, then, at the very moment when his own act contradicts his statement, can he say that the catholic of ireland labours under no disability sir, the chancellor of the exchequer endeavours to justify the irish government for the course they have pursued;  i ask the chancellor of the exchequer to say, whether he did not see the circular letter of the catholics before the departure of mr;  as dexterous in his silence as in his eloquence the chancellor of the exchequer stated across the table, that he had not seen it;  are we to trace this recent apprehension which the chancellor of the exchequer and mr;  but the catholics are this night charged by the chancellor of the exchequer, with an attempt to evade whilst professing to observe a law, which it was their determination to violate;  opposite, i have already gone beyond the question, i must observe that he the chancellor of the exchequer had at his entrance into office given a bond, sealed with his honour, that he never would concede the catholic claims",370,0.226993865030675
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr whitbread,whitbread,s whitbread,90,"the right hon deserves an explanation from me, and he shall have it i did not mean to impute to him any thing which did not pass in this house when i said he gave a bond not to concede the catholic claims, i referred to the manner in which he came into power the former ministry went out of power because they would not give such a bond he came in, and of course it was to be inferred, that he had entered into that stipulation, for refusing to enter into which his predecessors had gone out",LIB,mp,none,uk.proc.d.1811-02-22.2.1.11,uk.proc.d.1811-02-22,98,2,1,1,1810-11-01,4.5,7,NA,NA,0,0
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr fuller,fuller,j fuller,86,"perhaps, sir, i was not a very proper person to rise to order, but no matter for that i confess it when i do get up, however, i speak to the subject aye, and pretty freely, too when the hon opposite mr whitbread talked about his bond and his sealing on honour, and things of that kind, all it came to in the end wassupposing for that matter, i could suppose any thing myself but he has no right to talk of other people, for i never saw a set of men sneak out of their offices in the way his own friends did they shewed a great deal of uneasiness they sneaked out most contemptibly pon my honour, sir, it is not merely my own remark, i speak on suggestion but the hon has no right to say or suppose that my right hon friend would enter into a bond no, he would disdain such a thing he shewed them that in late affairs he shewed them a spirit, i think, which they felt, aye, and heartily too hear, hear as to these irish affairs that they talked so much of now, why, i remember very well myself, about 30 years ago, a set of people coming down to this house, just like the hon gentlemen, sweating and fuming, all in a fame like a steam engine a laugh the cry was then, won't you grant ireland arms to fight for you well, we did give them 60,000 stand of arms, and they turned them against us i have no great faith in catholic emancipation i think that there is a radical and rooted antipathy between england and ireland order well, then, try catholic emancipation, if you think it will do i care no more for a catholic than i do for a chinese give the fellows in their red waistcoats and blue breeches every thing they want but it won't do no, let the great men of the country go home, in place of spending their money here let them regulate their own tenantry and their estates, and not hear of them only through those secondary persons whom they employ hear, hear that will do more to conciliate ireland than all the measures there is so much work made about as to the duke of richmond, i know him, and he is a brave, generous, nobleminded man and such a man will never descend to oppress those below him i believe he has tried lenient measures, but they failed and he was compelled to try severity i will now vote against the motion i will wait and not give an intemperate opinion, such as ought not to be given in parliament",C,mp,none,uk.proc.d.1811-02-22.2.1.24,uk.proc.d.1811-02-22,453,2,1,1,1810-11-01,4.5,10,NA,NA,0,0
1811,1811-02-22,catholics of ireland mr wellesley poles circular letter,mr c h hutchinson,c h hutchinson,c h hutchinson,100,"said, he should think himself unworthy of a seat in that house, if he allowed a circumstance alluded to by the hon who spoke last, to pass unnoticed but in remarking upon it, he would preserve that good humour for which the hon himself was generally distinguished he had been most unhappy in his allusion to the transactions of 30 years ago he was even inaccurate as to the time, for it was not 30 years since the circumstances which he had so imperfectly described took place the fact was, that the irish, ill treated as they had been by great britain, asked for arms, and used them in your defence that gallant nation, having an account still to settle with you, generously lent its aid when it found you in difficulty such was their conduct then and had they since done nothing for you wherever your thunder has rolled east, west, south, or north have they been absent let that gallant people only stand neuter, and he would ask, where was the power and glory of great britain let them only remain neuter, and the strength and glory of britain was at an end the most glorious of your late triumphs have been not a little owing to the exertions of the gallant people whom the hon had this night traduced he wished to say this with good temper, as far as respected the hon , but at the same time with indignation, at finding within the walls of that house so much ignorance of the capabilities of ireland, either for aggression or defence and he was sorry to say that the hon was not the only one to whom this ignorance extended with regard to the question more immediately under consideration, he was anxious to know whether this act of the irish government had the sanction of the executive authority here for if it should go abroad that this proceeding had been approved by the regent, and his government here no no, he understood the right hon to have said, that he considered this as an act of great prudence on the part of the irish government, and that it was approved by the government here he wished then to know, whether the regent had instructed his ministers a cry of, order, order then proceeded to correct the statement of the right hon opposite, as to the purposes for which the convention act of 1793 had been framed the design then was to put down an armed association of united irishmen acting against the government, and having for its object the complete overthrow of parliament it had been stated by the administration of that day, that the society in question held communications with france, and that its design was to overturn the government the act was brought in upon the spur of the occasion to prevent the meeting of a congress at athlone, having, as had been alledged, these objects in view did the right hon then mean to say that any such object was to be imputed to the catholic committee, the assembly against which the act was now enforced he maintained that the right hon had not dared to state the facts correctly would he say that the object of this assembly was not to petition but to put down the parliament and redress their own grievances did he mean to say that it held any communication with france no he could not lay any such thing to their charge their object was clear they met in order to prepare a petition for the redress of their grievances in this their design was to refute the assertions of those who had maintained that the majority of the catholics did not desire emancipation they wished, as far as possible, to collect the unanimous sense of the catholic body, to shew the fallacy of such improbable statements the law therefore had by this act been violated a law, however, which ought to be repealed as soon as possible, and he intended to give immediate notice of a motion to that effect no, difficulty to petition existed in this country, which comparatively was possessed of every blessing why then should the difficulty exist in ireland, where there were so many grievances, and where the exercise of the right to petition was so much the more necessary but even if the law did apply, he did not think that under the circumstances it ought to have been put in execution if ireland was in a state so disturbed, notice ought to have been given to the government here and if they had notice here, then they were most culpable in not having stated this in the speech from the throne, of which the agitations of ireland ought to have been the most prominent feature if disturbances existed in ireland without the knowledge of ministers, their ignorance was criminal he concluded by deprecating the dangerous tendency of the system pursued by the minister, who came down with the speech to the house at the opening at every session, studiously abstaining from giving any thing like an accurate view of the state of ireland, and represented this conduct as directly opposite to his duty",LIB,mp,none,uk.proc.d.1811-02-22.2.1.25,uk.proc.d.1811-02-22,868,2,1,1,1810-11-01,4.5,11,NA,NA,0,0
