id,text,doc_id,Year,who
20091_M27_referat,"der er meget, meget stor forskel på hr. martin henriksens og dansk folkepartis menneskesyn og det menneskesyn, som vi har i enhedslisten, og som jeg har. jeg mener ikke, at man løser eventuelle sociale problemer ved at bestikke folk med en check på 100.000 kr. det synes jeg er en falliterklæring. jeg synes, at det er pinligt. jeg synes, at det er en katastrofe, at man tror, at det er den måde, man kan løse problemerne i det danske samfund på. men jeg er ikke overrasket over, at det er holdningen i dansk folkeparti. det er klart. tredje næstformand holger k. nielsen : ordføreren. : hvis nu venstre, konservative og dansk folkeparti f.eks. foreslår at afskaffe 24-års-reglen og tilknytningskravet, så vil jeg love for, at vi vil stemme for, også selv om det var de partier, der fremsatte det. så hvis hr. karsten lauritzen kunne få det igennem i sin gruppe, så kan jeg love, at man har enhedslistens stemmer i salen. vi er ikke imod det koncept, der går ud på, at man hjælper mennesker, som frivilligt har lyst til og af forskellige årsager har mulighed for at vende tilbage til et land, som de i sin tid har forladt. men som fru marianne jelved her tidligere på talerstolen før mig sagde, så har jeg altså heller ikke oplevet, at en masse organisationer har henvendt sig til mig og sagt, at beløbet er af en størrelse, så det er muligt rent faktisk at repatriere. og jeg kan konstatere, at den forøgelse, der er af beløbet, ikke bliver givet i den periode, hvor man rent faktisk skal etablere sig i det land, man er vendt tilbage til. nej, den bliver givet, efter at fristen er udløbet. det vil sige, det er en ydelse, som har det formål at få folk til at blive væk så længe, at de ikke længere kan fortryde. tredje næstformand holger k. nielsen : hr. martin henriksen.",430146,2009,Gustav
20091_M31_referat,"tak til socialdemokraterne for opfordringen til, at vi får det her ordentligt belyst og får set på de internationale erfaringer og får, hvad der ellers er af viden på området. det synes jeg er vældig fornuftigt. det gjorde man jo også i canada for nogle år siden, hvor man havde en meget stor og tilbundsgående undersøgelse, og det førte til, at man faktisk har en lempeligere politik i canada, end vi har i danmark. men jeg vil gerne høre, om den beslutning, der er truffet på københavns rådhus, gør indtryk. jeg er med på, at de ikke kan ændre loven. det er derfor, vi fremsætter forslaget om at ændre loven, så man kan give mulighed for en forsøgsordning. men gør den meget alvorlige situation, man står i i københavn, indtryk på socialdemokraterne, og er man enig i, at det her altså er et af de væsentlige elementer i løsningen af den situation, som man peger på fra rådhusets side?",3510,2009,Morten
20091_M12_referat,"nu er jeg jo ikke automekaniker, og jeg bliver det nok heller aldrig, men jeg vil gerne sige, at der mig bekendt aldrig har været behov for at skubbe til en bil, der allerede kører. som regel er motoren altså i fremdrift, siden den kan finde ud af at komme fremad. men det er jo et billede på det her forslag. man fremsætter et forslag, hvormed man vil prøve at give et pålæg til regeringen om at sætte noget i gang, som allerede er sat i gang, og det kan vi simpelt hen ikke opfatte som sund fornuft i dansk folkeparti. vi synes, det er spild af tid. vi synes, man skal kigge på den rapport, der kommer fra de her eksperter, og i forbindelse med hvilken kommunerne selv sidder med ved bordet. det er jo kommunerne, som er aftalepartnere ved den rapport, som kommer til maj måned. det synes jeg selvfølgelig vi skal respektere.",270353,2009,Gustav
20091_M10_referat,"ja tak. det skal blive ganske kort. det radikale venstre støtter forslaget helt ubetinget og synes, at det er meget logisk og ordensmæssigt godt, at ordningen for studerende, der kommer fra udlandet, nu bliver den samme, uanset hvilken uddannelse de vil deltage i. så det støtter vi. vi støtter også, at formanden for tvistighedsnævnet og ankenævnet vedrørende praktikvirksomheder bliver landsdommere, og at den særregel, der allerede er på nuværende tidspunkt i erhvervsuddannelsen for nogle uddannelser, afskaffes, således at alle uddannelser er omfattet af den samme klagemulighed, nemlig tvistighedsnævnet. vi er også enige i, at den ændring, der er sket via finansieringsomlægningen, lovgives der om. det er meget logisk. og vi er enige i, at den forsøgsordning, der gælder for målgruppevurdering af elever på danske skoler i sydslesvig, gøres permanent. så der er ikke noget at komme efter efter vores opfattelse. vi støtter lovforslaget. tredje næstformand holger k. nielsen : tak til ordføreren. hr. frank aaen som ordfører.",188650,2009,Gustav
20091_M24_referat,"jeg står her med det forslag til vedtagelse, som bl.a. fru nanna westerby fra socialistisk folkeparti står bag, i hånden. jeg har bl.a. noteret mig, at regeringen i det her forslag til vedtagelse bl.a. opfordres til, at kommunerne får frihed til at etablere helhedsskoler. jeg kunne godt tænke mig en nærmere forklaring på, hvordan det hænger sammen med, at vi skal ruste de unge mennesker til at kunne gennemføre en ungdomsuddannelse. for hvis man fra socialistisk folkepartis side og fra en lang række partiers side her i folketinget vil indføre helhedsskoler, hvor man altså tvinger børn til at være i skole en hel dag, meget mere end de er i dag, og hvor de ikke kan få lov til at gå hjem, selv om det egentlig er det, de mest trænger til, gå hjem og lege med naboens søn eller gå hjem til bedsteforældrene eller tage hjem til en fritidsaktivitet som fodbold, jamen så er det jo ikke den målsætning, som man vil kunne opfylde, netop 95-pct.-målsætningen. den vil man jo ikke kunne opfylde ved at tvinge eleverne til at blive i skolen en hel dag.",414417,2009,Morten
20091_M15_referat,"ordføreren taler om, at der er sket et økonomisk løft, og at der bruges flere penge på den kommunale velfærd. men kan ordføreren for dansk folkeparti ikke bekræfte, at normeringen ikke er blevet bedre? altså, der bruges ikke flere penge pr. barn i daginstitutionen, der bruges ikke flere penge pr. elev i folkeskolen timetallet er derimod faldet, der er ikke mere undervisning pr. barn. der bruges ikke flere",380379,2009,Gustav
20091_M25_referat,"det kunne være interessant at vide, om spørgeren er enig med danmarks vejlederforening, altså om spørgerens indvending er, at sanktionen rammer forældrene i stedet for den unge. for hvis spørgeren er enig med danmarks vejlederforening, er hun og jeg jo enige om, at økonomiske incitamenter kan have en betydning. når regeringen foretrækker at bevare børnefamilieydelsen som noget, der rettes til forældrene, skyldes det, at vi ikke vil sende det signal, at nu skal forældre ikke længere tage sig af deres 16-17-årige børn. det synes vi ville være et dårligt signal. det er derfor, vi hellere vil rette sanktionen mod forældrene, og vi vil jo kun bringe den i anvendelse, hvis hverken forældrene eller den unge vil samarbejde.",420353,2009,Gustav
20091_M18_referat,"jeg kan forstå, at der var ved at indsnige sig ideologi i meningsudvekslingen mellem venstre og socialdemokraterne. det er jo noget frygteligt noget, så det skal jeg ikke fremme yderligere. jeg skal bare spørge fru sophie løhde, om det ikke er rigtigt, at konklusionen på hendes indlæg om psykologbehandling var: nej, der skal ikke indføres ret til, at læger kan anvise de her mennesker behandling hos en psykolog. jeg vil også spørge: er det ikke rigtigt, at efter ufattelig mange år med den regering, vi har i dag, er ventetiderne på børnepsykiatriområdet ikke blevet reduceret?",391847,2009,Morten
20091_M31_referat,"det her lovforslag har til hensigt at forbedre dyrevelfærden for malkekvæg og deres kalve. en række fagpersoner har i en arbejdsgruppe under justitsministeriet i en længere periode arbejdet på en rapport, hvori de kommer med en række anbefalinger om hold af malkekvæg. anbefalingerne har mundet ud i dette lovforslag, og i dansk folkeparti mener vi, at forslaget helt overordnet er en klar forbedring af dyrevelfærden for kvæg. vi har desuden noteret os, at dette lovforslag stort set er identisk med arbejdsgruppens anbefalinger. lovforslaget betyder bl.a., at bindestalde forbydes. dyrene står bundet her hele dagen, men også kvæg har behov for hvile og for at kunne bevæge sig. jeg må dog sige, at udfasningen på netop det her område ser ud til at være meget lang. jeg er godt klar over, at det er et mindre antal dyr, det drejer sig om, men det er dog stadig væk 15 pct., så det er noget, vi skal kigge på i forbindelse med udvalgsbehandlingen. dyrenes naturlige bevægelser i en lang række forskellige situationer skal understøttes og tilgodeses. der skal være sengebåse nok til, at alle dyr har mulighed for at lægge sig til enhver tid. vi mener, at lovforslaget flugter med denne opfattelse. det er vigtigt, at køerne har de bedst mulige forhold. den foreslåede overgangsperiode for implementeringen af lovforslagets minimumskrav er bl.a. differentieret efter, hvornår de pågældende stalde er taget i brug. de landmænd, som har været i god tro og har indrettet deres stalde efter gældende regler, skal også have en rimelig tid til at kunne indrette deres nye stalde efter de nye regler. årsagen er, at det rent økonomisk ville være en alt for stor byrde at pålægge erhvervet netop nu. vi har et erhverv, som er meget presset netop nu. det foreslås endvidere, at der stilles krav til de fysiske rammer, der er for malkekvæg, herunder totalareal pr. ko, gangarealer, gulve, skridsikkerhed, indretning af sengebåsestalde, sygebokse og meget mere, hvilket vi alt sammen synes er tiltag i den rigtige retning. med de her bemærkninger ser vi frem til udvalgsarbejdet.",1743,2009,Gustav
20091_M26_referat,"forslaget er stort set identisk med det beslutningsforslag, , der blev behandlet og forkastet i foråret. som jeg sagde under førstebehandlingen dengang, kan man jo vanskeligt være uenig med forslagsstillerne i, at det er afgørende at sætte ind med en massiv, målrettet og bredspektret indsats for at dæmme op for bande- og rockerkriminaliteten. man kan også vanskeligt være uenig i intentionerne bag beslutningsforslaget, nemlig at alle relevante aktører skal inddrages, og at indsatsen skal bygges på en bred vifte af tiltag, som skal øge trygheden, og som skal sikre de nødvendige politiressourcer, forebygge rekrutteringen til banderne, støtte vidnerne og mindske mængden af våben. det er jo lige præcis på disse indsatsområder regeringen har sat massivt ind det sidste års tid. når man læser beslutningsforslaget, kan man næsten få det indtryk, at forslagsstillerne sådan har krydset af, hvad regeringen har gjort inden for det sidste år, og så har de sagt, at det skal være den samlede helhedsplan. lige præcis de ting, som der bliver lagt op til, er jo tiltag, som vi har grebet fat i fra regeringens side proaktivt, offensivt, stærkt, meget koncentreret. på den korte bane handler det om at sikre en massiv politiindsats for at få fod på den aktuelle konflikt. og det kan vel ikke vække opsigt, når jeg siger, at det, som politiet er i gang med nu, er en helt ekstraordinær, intensiv politiindsats. det vil jeg vende tilbage til om lidt. på den lange bane handler det om at sikre en så tidlig og effektiv forebyggende indsats som muligt for at bryde fødekæden til banderne. det siger sådan set sig selv, men i virkelighedens verden er det jo en stor, kompleks udfordring. som jeg vil komme tilbage til, har regeringen for øvrigt sammen med dansk folkeparti under finanslovforhandlingerne og i forlængelse af satspuljeaftalen sammen med en bred vifte af folketingets partier jo fået vedtaget et samlet udspil til en markant styrket indsats mod ungdomskriminaliteten. det er et historisk udspil, som vi ikke før har set i dansk politiks historie, hvor vi prøver at stoppe tilgangen til banderne, stoppe rekrutteringen til både bande- og rockermiljøet. der er altså ikke sådan en mirakelkur til at få bugt med problemerne med bande- og rockerkriminaliteten. som vi også har set i andre lande, findes der ikke nogen sådan enkelte snuptagsløsninger, desværre. men jeg har stor tiltro til, at de historisk mange tiltag, som regeringen har vedtaget og gennemført sammen med dansk folkeparti, nok skal virke. jeg vil nu komme nærmere ind på de tiltag, som den foreslåede handlingsplan ifølge forslagsstillerne vil skulle indeholde. det første, der springer i øjnene, er nogle sådan, hvad skal man sige, lidt diffuse formuleringer om, at der skal tilføres de nødvendige politiressourcer. i sagens natur har sikkerheden og trygheden i de områder, der har været berørt af bandekonflikten, været en af vores absolutte topprioriteter det sidste år. jeg havde også lejlighed til i salen her for et par uger siden at fortælle om bandeindsatsen, og at vi allerede sidste efterår aftalte med rigspolitiet og københavns politi, at politiindsatsen skulle intensiveres. hovedelementerne i den intensiverede indsats er massiv polititilstedeværelse i de berørte områder, omfattende visitationer af personer og biler, intensiv og målrettet efterforskning mod bandemedlemmer og rockere og systematiske ransagninger efter ulovlige våben og narko. denne intensivering af politiindsatsen blev så fulgt op af finanslovaftalen for 2009, der sikrer en yderligere styrkelse af indsatsen med 300 ekstra politifolk, etablering af særlige bandeenheder i de berørte kredse, ekstra midler til merarbejde i forbindelse med den intensiverede indsats. i forlængelse heraf fremlagde regeringen i marts i år en samlet bandepakke, som bl.a. indeholder styrket brug af al capone-modellen, markant skærpede straffe for bandekriminalitet og besiddelse af skydevåben, udvidet mulighed for at udvise bandemedlemmer samt torsdag den 3. december 2009 etablering af lokale banderåd. men som vi jo så for et par måneder siden, har der trods den intensive, massive indsats fortsat været adskillige skudepisoder, desværre. derfor holdt jeg i oktober et møde med rigspolitichefen, hvor han præsenterede mig for sin plan for, hvordan politiet kan gøre endnu mere for at få fod på situationen. rigspolitichefens plan indeholder som bekendt oprettelse af en såkaldt tværgående task force, der skal styrke den fremadrettede efterforskning mod bandemedlemmerne og rockerne. taskforcen skal samarbejde tæt med landets politikredse og rigspolitiets nationale efterforskningscenter, og der skal indgå medarbejdere fra søk og skat i taskforcen, som i øvrigt også støttes af pet. den bagudrettede efterforskning af de mange skudepisoder har lagt beslag på så mange af politiets ressourcer, at der ikke har været tilstrækkelige kræfter til den fremadrettede efterforskning, som skal forhindre nye skudepisoder. derfor er jeg meget tilfreds med, at politiet nu har optrappet den intensive indsats for at komme på forkant med bandeopgøret. i den sammenhæng skal det også nævnes, at der i finanslovaftalen for 2010 er afsat 80 mio. kr. til bl.a. udbetaling af overarbejde i forbindelse med politiets intensive bandeindsats. et andet element, der ifølge beslutningsforslaget vil skulle være indeholdt i den foreslåede handlingsplan, er indsatsen for at forebygge, at unge kommer ind i kriminalitet. det siger sig selv, at en intensiv politiindsats naturligvis ikke kan stå alene. fødekæden til banderne skal brydes med en effektiv forebyggende indsats. grundlæggende er problemerne med utilpassede unge jo først og fremmest symptomer på komplekse sociale, psykologiske og integrationsmæssige problemer, og det er ingen hemmelighed, at det er her, den helt store udfordring ligger i de kommende år. det er også baggrunden for, at jeg sammen med social- og indenrigsministeren fremlagde det største samlede initiativ til bekæmpelse af ungdomskriminalitet i nyere tid. med det udspil tager vi et meget vigtigt skridt i bekæmpelsen af bandekriminaliteten, og udspillet ligger således i direkte forlængelse af de mere akutte tiltag på den korte bane. det bærende hensyn i udspillet er, at den kriminalpræventive indsats skal starte så tidligt som muligt og være tværsektoriel. med aftalen om finansloven for 2010 er der afsat over 700 mio. kr. frem til 2013 til denne markant styrkede indsats mod ungdomskriminalitet. den foreslåede nationale handlingsplan skulle ifølge forslagsstillerne også indeholde tiltag for at begrænse efterspørgslen efter de kriminelles varer. forslagsstillerne kommer i den sammenhæng særlig ind på indsatsen for at forebygge narkomisbrug. det er en utrolig vigtig indsats, at vi får forebygget narkotikamisbruget, ikke kun som et redskab imod den organiserede kriminalitet, men også for at forebygge de massive sociale, psykologiske og sundhedsmæssige skadevirkninger, der er af narkomisbrug. jeg synes dog, at det er vigtigt at understrege her, at den aktuelle bande- og rockerkonflikt jo udspringer af mange forskellige konflikter og ikke kun er en narkokonflikt. det er et kompliceret mønster, som indgår i de relationer og de konflikter, der er bander og rockere imellem. samtidig er det politiets vurdering, at de enkelte gruppers æresbegreber, selvforståelse og gruppekultur bidrager til en selvstændig optrapning og fortsættelse af konflikten med nye konfrontationer til følge. for mig er det afgørende, at der gås efter pengene, efter statussymbolerne, og jeg er derfor også meget tilfreds med, at skat s enhed for økonomisk kriminalitet med finanslovaftalen for 2010 tilføres i alt 40 årsværk til arbejdet med den såkaldte al capone-model, ligesom der afsættes 5 mio. kr. til politiets rolle i dette arbejde. det siger også sig selv, at antallet af våben i bande- og rockermiljøet skal begrænses mest muligt, som det anføres i beslutningsforslaget. derfor er politiets systematiske indsats for at få taget våbnene fra bande- og rockermedlemmerne da også et helt integreret element 57 i den massive politiindsats. alene i andet og tredje kvartal i år beslaglagde politiet 650 skydevåben, hvoraf 40 med sikkerhed kom fra personer med tilknytning til bande- og rockermiljøet. der blev i samme periode foretaget over 3.000 visitationer. her skal også nævnes et af de elementer i regeringens bandepakke, som politiet selv har fremhævet, nemlig de markante strafskærpelser på våbenområdet og den udvidede mulighed for varetægtsfængsling i disse sager. det har været et særdeles effektivt redskab i indsatsen for at få bande- og rockermedlemmerne væk fra gaden og i fængsel. det er i den sammenhæng også vigtigt at holde sig for øje, at de personer, der er involveret i bandekonflikten, næppe vil aflevere deres våben frivilligt, og derfor er en konsekvent, kompromisløs politiindsats nu engang det centrale redskab til at få våbnene væk fra gaden. derfor er det nok ikke realistisk, at sådanne frit lejde-aktioner, som foreslås med beslutningsforslaget, i sig selv vil formindske antallet af våben i bande- og rockermiljøet. noget andet er, at frit lejdeaktioner gennemført med passende mellemrum kan være et godt middel i forhold til generelt at begrænse antallet af ulovlige våben i samfundet. vi gennemførte da også i foråret en stor frit lejde-aktion. når jeg nu her har gjort rede for de mange tiltag, der er taget for at dæmme op for bandekonflikten, betyder det naturligvis langtfra, at jeg anser opgaven for løst. det siger også sig selv, at regeringen ikke vil tøve, hvis der viser sig behov for nye initiativer. i den sammenhæng er det naturligvis vigtigt, at vi tilvejebringer det fornødne videngrundlag til hele tiden at målrette indsatsen så effektivt som muligt. derfor er der også med den seneste finanslovaftale afsat 3 mio. kr. til et nyt forskningsprojekt, som skal belyse grundlaget for rekruttering af børn og unge til banderne. indsatsen fremover vil spænde over en bred vifte af indsatser fordelt på en række forskellige myndighedsområder. en så massiv og bredt favnende indsats stiller naturligvis også krav til koordinering og opfølgning. det er også baggrunden for beslutningen om at nedsætte et tværministerielt udvalg, som løbende skal følge op på bandeindsatsen. samtidig bliver der nedsat en politisk følgegruppe, som skal mødes regelmæssigt og orienteres om indsatsen. som et yderligere tiltag for at fastholde overblikket og sikre opfølgningen på de mange forskellige initiativer, der er sat i gang, vil der endvidere i foråret 2010 blive fremlagt en samlet status, der følger op på indsatsen mod bande- og rockerkriminalitet. regeringen vil også fortsætte med at lytte til aktørerne ude i virkeligheden for hele tiden at sikre, at vi har de nødvendige redskaber og midler til at handle over for de konkrete problemer på gaden. derfor vil jeg også invitere de relevante aktører til en stor konference i starten af det nye år om, hvordan vi får brudt fødekæden til banderne. som jeg her har beskrevet, har regeringen taget en stribe helt konkrete initiativer på de områder, som den foreslåede nationale handlingsplan ifølge forslagsstillerne vil skulle dække. der vil blive fulgt op på de mange initiativer med en samlet status for bandeindsatsen i foråret 2010. ud over blot at beskrive det, vi allerede gør, kan jeg derfor ikke se, hvad en ny national handlingsplan skulle bidrage med af reel merværdi, og derfor ville et ressourcekrævende arbejde med en national handlingsplan efter min opfattelse også være at spole tiden tilbage og starte forfra. tiden er altså til handling nu og ikke til flere handlingsplaner. nu skal de mange aktører have ro til at løse problemerne i virkelighedens verden, og derfor kan regeringen ikke støtte beslutningsforslaget.",424033,2009,Gustav
