split;reason;text;value
0;;"(1)
27/12 90: Valg af midlertidig formand

I

1. møde

2

Hermed skal jeg meddele, at Hendes Majestæt Dronningen ved Åbent Brev af 17. december 1990 har bestemt, at Folketinget indkaldes
til møde torsdag den 27. december 1990 kl.
12.00 på Christiansborg.
Det originale Åbne Brev vedlægges.
Poul Schlüter";
344;Time;Valg af midlertidig formand:;kl. 12.00
404;title_name;":
I henhold til Kongeligt Åbent Brev af 17. december 1990 er Folketinget i dag trådt sammen
til sit første møde efter valget den 12. december
1990.
Jeg byder velkommen til alle medlemmer,
det gælder såvel dem, der har været her tidligere, som dem, der i dag for første gang indtager
deres plads her i salen. Jeg vil samtidig udtrykke håb om, at arbejdet herinde må blive til glæde for dem selv og til gavn for vort land.
Som det medlem, der længst har haft sæde i
Tinget, påhviler det mig at lede valget af en
midlertidig formand.
Hertil har Det Konservative Folkeparti, Venstre, Fremskridtspartiet, Centrum-Demokraterne, Det Radikale Venstre og Kristeligt Folkeparti indstillet H. P. Clausen (KF). Der foreligger ikke andre indstillinger. Hvis ingen begærer afstemning, vil jeg betragte indstillingen
som vedtaget. (Ophold). Den er vedtaget.
Jeg beder den midlertidigt valgte formand
om at indtage formandspladsen.

Meddelelser fra formanden:
Den midlertidige formand (H. P. Clausen):
Jeg takker for valget til midlertidig formand,
og jeg byder også alle velkommen til arbejdet
her i Tinget.
Fra statsministeren har jeg modtaget følgende skrivelse:
»Statsministeriet, den 17. december 1990.

/ Ruth Christensen«
Det åbne brev har følgende ordlyd:
»Vi Margrethe den Anden af Guds Nåde
Danmarks Dronning
gør vitterligt:
At Vi i henhold til Grundlovens § 35 har besluttet, at Folketinget indkaldes til møde torsdag den 27. december 1990 kl. 12.00 på Christiansborg.
Givet på Amalienborg, den 17. december
1990.
Under Vor Kongelige Hånd og Segl
(sign.) Margrethe R
/ Poul Schlüter«
Fra statsministeren har jeg modtaget følgende skrivelse:
»Statsministeriet, den 18. december 1990.
Efter statsministerens indstilling er det ved
kongelig resolution af 18. december 1990 besluttet
at statsminister Poul Schlüter fortsat beklæder
stillingen som statsminister,
at afskedige i nåde økonomiminister Niels Helveg Petersen, boligminister Agnete Laustsen,
energiminister Jens Bilgrav-Nielsen, kulturminister Ole Vig Jensen, miljøminister Lone Dybkjær, socialminister Aase Olesen og trafikminister Knud Østergaard fra de dem hidtil betroede ministerstillinger,
at udenrigsminister Uffe Ellemann-Jensen, finansminister Henning Dyremose, forsvarsminister Knud Enggaard, undervisnings- og
forskningsminister Bertel Haarder, justitsminister Hans Engell, indenrigsminister og minister
for nordisk samarbejde Thor Pedersen, landbrugsminister Laurits Tørnæs, kirkeminister og
kommunikationsminister Torben Rechendorff,
fiskeriminister Kent Kirk, arbejdsminister
Knud E. Kirkegaard og sundhedsminister
Ester Larsen fortsat beklæder de dem hidtil betroede ministerstillinger,

3

27/12 90: Meddelelser fra formanden";Ninn-Hansen
3126;title_name;"at udnævne skatteminister Anders Fogh Rasmussen til økonomiminister, således at han tillige fortsat beklæder stillingen som skatteminister,
at udnævne fhv. minister, medlem af Folketinget Svend Erik Hovmand til boligminister,
at udnævne industriminister Anne Birgitte
Lundholt til energiminister, således at hun tillige fortsat beklæder stillingen som industriminister,
at udnævne medlem af Folketinget Kaj Ikast til
trafikminister, medlem af Folketinget Per Stig
Møller til miljøminister, medlem af Folketinget
Else Winther Andersen til socialminister og
forstander Grethe Rostbøll til kulturminister
samt at bestemme, at den departementale ekspedition af sager vedrørende nordisk samarbejde fortsat sker i Udenrigsministeriet under ledelse af ministeren for nordisk samarbejde og
på hans ansvar.
(sign.) Poul Schlüter
/ Ruth Christensen«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Efter afholdelsen af det ved Kongeligt Åbent
Brev af 22. november 1990 udskrevne valg til
Folketinget i Danmark onsdag den 12. december 1990 fremsendes vedlagt i henhold til § 86 i
lov nr. 271 af 13. maj 1987 om valg til Folketinget følgende:
1) De kopier af valgbøgerne, der er modtaget
fra opstillingskredsenes valgbestyrelser, jf.
lovens § 74, stk. 3.
2) Beregningerne af kreds- og tillægsmandaternes fordeling, jf. lovens §§ 76-79. Beregningerne fremsendes i den form, hvori de
dags dato offentliggøres af Danmarks Statistik i Statistiske Efterretninger. Befolkning
og Valg. 1990:19.
3) Opgørelsen af, hvilke kandidater der er
valgt, jf. lovens §§ 80-82. Opgørelsen fremsendes i form af skemaer, der for hver storog amtskreds og herunder for hvert parti
henholdsvis kandidater uden for partierne
angiver de enkelte kandidaters stemmetal
(personlige stemmer og tillagte partistemmer) samt de valgte kandidater for de parti-

4

er, der har opnået mandater. På grundlag af
skemaerne er den vedlagte fortegnelse over
de valgte kandidater udarbejdet.
4) Stedfortræderlisten, jf. lovens §§ 84 og 85.
Endvidere fremsendes en redegørelse for de
bemærkninger og korrektioner, som gennemgangen af valgbøgerne har givet Indenrigsministeriet anledning til. Redegørelsen indeholder
tillige Indenrigsministeriets bemærkninger til
stemmesedlerne.
Endelig fremsendes en fortegnelse, hvor for
hvert parti stor- eller amtskredsene inden for
hver landsdel er ordnet i rækkefølge efter størrelsen af 1. urepræsenterede kvotient, og hvoraf
tillige fremgår samtlige kvotienter til bestemmelse af stedfortræderrækkefølgen i de tilfælde, der er nævnt i lovens § 92, stk. 2 og 3, jf. stk.
1.
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Vedlagt fremsendes den fra folketingsvalgbestyrelsen på Færøerne gennem rigsombudsmanden på Færøerne modtagne kopi af valgbogen for folketingsvalget på Færøerne den 12.
december 1990 med tilhørende udskrift af valgbestyrelsens protokol. Endvidere fremsendes et
eksemplar af de af valgbestyrelsen tilvejebragte
stemmesedler.
Opmærksomheden henledes på, at det af udskriften af valgbestyrelsens protokol fremgår,
at der ved stemmeoptællingen på valgaftenen
på nærmere angivne afstemningssteder er taget
i alt 55 brevstemmer i betragtning, der er afgivet
den 11. december 1990, det vil sige efter udløbet af fristen for at afgive brevstemme, hvilken
frist udløb den 10. december 1990.
Valgbestyrelsen har tilstillet de valgte kandidater Oli Breckmann, Folkeflokken, og Atli
Dam, Det Færøske Socialdemokrati, valgbreve.
Der er ikke til Rigsombudet indkommet klager over folketingsvalget på Færøerne.
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:

5

27/12 90: Meddelelser fra formanden";Den midlertidige formand
6960;title_name;"»Indenrigsministeriet, den 27. december
1990.
I henhold til § 60 i lov nr. 845 af 21. december
1988 om folketingsvalg i Grønland fremsendes
vedlagt den fra rigsombudsmanden i Grønland
pr. telefax modtagne foreløbige opgørelse på
valgaftenen den 12. december 1990 af folketingsvalget i Grønland den 12. december 1990.
Ifølge denne opgørelse må Otto Steenholdt,
Atassut, og Hans-Pavia Rosing, Siumut, anses
for valgt til Folketinget.
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Fra Michael Kock, Halls Allé 13, 1802 Frederiksberg C, der ved valget var opstillet som
kandidat for Fremskridtspartiet i Østre Storkreds, har Indenrigsministeriet modtaget vedlagte skrivelse af 17. december 1990 med anmodning om, at Folketinget foretager en fornyet fintælling af de stemmer, der er afgivet i Østre Storkreds, eventuelt alene af de stemmer, der
er afgivet på Fremskridtspartiet.
Som begrundelse for ønsket om en fornyet
fintælling henviser Michael Kock til, at forskellen i personlige stemmer mellem ham og Kirsten Madsen, der opnåede valg, kun var 51, og
at flytning af nogle få stemmer fra f.eks. partistemmer til personlige stemmer vil kunne medføre et andet udfald af valget.
Med venlig hilsen
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Fra valgbestyrelsen for opstillingskredsene i
Odense Kommune (Fyns Amtskreds, l., 2. og 3.
opstillingskreds) er modtaget vedlagte skrivelse af 14. december 1990 vedrørende brevstemmer, der ikke kan komme i betragtning som følge af mangler ved fremgangsmåden i forbindelse med brevstemmeafgivning.
Det er valgbestyrelsens vurdering, at de pågældende mangler især er en konsekvens af de
ændringer af folketingsvalglovens § 55, der før-

6

ste gang fandt anvendelse ved Europa-Parlamentsvalget den 15. juni 1989.
Ved lov nr. 245 af 19. april 1989 blev reglerne
om brevstemmemodtagere ved brevstemmeafgivning på plejehjem m.v. og i vælgerens eget
hjem ændret, således at disse hverv herefter
skulle varetages af tilforordnede vælgere og ikke som hidtil af personer ansat i kommunens
forvaltning eller, for så vidt angår højst en af
brevstemmemodtagerne, på vedkommende institution.
Det er valgbestyrelsens opfattelse, at reglerne om brevstemmemodtagere ved brevstemmeafgivning på plejehjem m.v. og i vælgerens eget
hjem bør ændres således, at det fastsættes, at
mindst en af stemmemodtagerne - på grund af
papirarbejdet i forbindelse med brevstemmeafgivning - skal være kommunal embedsmand.
Med venlig hilsen
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Fra Kirsten Hansen, Belsager 66, 2670 Greve, har Indenrigsministeriet modtaget vedlagte
skrivelse af 18. december 1990, hvori Bente
Hansen på vegne af sin mor, Oda Henriksson,
Dronning Ingrids Plejehjem, Carl Jacobsens
Vej 6 A, 2500 Valby, klager over fremgangsmåden ved moderens brevstemmeafgivning. Moderen fik ikke adgang til selv at udfylde brevstemmesedlen, idet den ene af de 2 brevstemmemodtagere, der besøgte hende på hendes
stue, spurgte, hvem hun ville stemme på, og
derefter udfyldte stemmesedlen på hendes vegne. Hun fik ikke lejighed til at konstatere, om
stemmesedlen var udfyldt i overensstemmelse
med hendes ønske, og kuverten med stemmeseddel blev ikke lukket i hendes nærværelse.
Af den i anledning af klagen indhentede vedlagte udtalelse af 20. december 1990 med bilag
fra Københavns Kommune fremgår bl.a., at det
ikke har været muligt at komme i forbindelse
med de tilforordnede vælgere, der har virket
som brevstemmemodtagere på det pågældende
plejehjem. Kommunens udtalelse indeholder
derfor ikke bemærkninger til den konkrete klage.

7

27/12 90: Meddelelser fra formanden";Den midlertidige formand
10882;title_name;"I anledning af klagen har kommunen i stedet
for givet en generel redegørelse for tilrettelæggelsen af brevstemmeafgivningen på kommunens plejehjem m.v. og i vælgerens eget hjem,
herunder medsendt instruks for såvel centerledere som brevstemmemodtagere. Af sidstnævnte instruks side 3 fremgår bl.a. - i overensstemmelse med såvel § 61, stk. 3, i folketingsvalgloven som § 13, stk. 2, i Indenrigsministeriets bekendtgørelse nr. 303 af 17. maj 1989 om
brevstemmeafgivning i vælgerens hjem - at
stemmemodtagerne skal sikre sig, at den enkelte vælger har lejlighed til at afgive stemme,
uden at andre kan se, hvorledes der er stemt.
Med venlig hilsen
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Fra Ivan Jensen, Æbeløvej 5, 5466 Asperup,
er modtaget vedlagte skrivelse af 17. december
1990 med bilag. Ivan Jensen klager over, at
stemmelokaler og stemmerum ikke er indrettet
således, at handicappede, herunder kørestolsbrugere, har mulighed for på valgdagen at afgive stemme i stemmerummet i.stemmelokalet på
lige fod med andre vælgere.
Indenrigsministeriet skal i anledning af klagen oplyse følgende:
Afstemning på valgdagen ved folketingsvalg
sker efter reglerne i kapitel 7 i folketingsvalgloven (lov nr. 271 af 13. maj 1987). Det fremgår af
lovens § 45, stk. 2, at kommunalbestyrelsen skal
sørge for lokaler til afstemningen, og at stemmerummene skal være indrettet således, at der
kan afgives stemme, uden at andre kan se, hvorledes vælgeren stemmer.
Loven indeholder ingen regler om, at stemmelokaler og stemmerum skal være særligt indrettet med henblik på vælgere med manglende
førlighed, herunder kørestolsbrugere, men det
er Indenrigsministeriet bekendt, at mange
kommunalbestyrelser anvender lokaler, som
også er tilgængelige for gangbesværede vælgere og kørestolsbrugere.
I lovens § 49 er det bl.a. fastsat, at vælgere,
der på grund af manglende førlighed, svagelighed eller lignende ikke kan bevæge sig ind i
stemmelokalet eller stemmerummet, har ad-

8

gang til at foretage stemmeafgivning umiddelbart uden for stemmelokalet.
I Indenrigsministeriets vejledning nr. 193 af
12. oktober 1990, afsnit 7.3., er det bl.a. fremhævet, at det nøje bør iagttages, at stemmeafgivningen uden for stemmelokalerne sker på
betryggende måde, således at de pågældende
vælgere ikke udsættes for nogen påvirkning
med hensyn til, hvordan de skal stemme, og således at ingen får lejlighed til at gøre sig bekendt med, hvordan der er stemt.
Det tilføjes, at Ivan Jensen i forbindelse med
folketingsvalget den 10. maj 1988 indgav en tilsvarende klage over valget til valgbestyrelsen i
Nørre Aaby Kommune med kopi til Indenrigsministeriet. Kopien af klagen tillige med Nørre
Aaby Kommunes svar herpå blev ved Indenrigsministeriets skrivelse af 20. maj 1988 oversendt til Folketinget.
Med venlig hilsen
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Fra Ole Maisted, Grængebjergvej 9, 4250
Fuglebjerg, har Indenrigsministeriet modtaget
vedlagte skrivelser af 17. december 1990 og 19.
december 1990 med bilag, hvori der klages over
udformningen af de stemmesedler, der blev benyttet i opstillingskredsene i Østre Storkreds.
Ole Maisted, der ved valget var opstillet som
kandidat for Venstre, Danmarks Liberale Parti,
i alle opstillingskredse i Østre Storkreds og nomineret i 6. kreds, Østbanekredsen, og 11.
kreds, Nørrebrokredsen, men som ikke opnåede valg, har stillet krav om, at der afholdes
omvalg i bl.a. Østre Storkreds som følge af, at
stemmesedlerne i Østre Storkreds ikke var udformet i overensstemmelse med de gældende
regler, idet der ikke til højre for partinavnet
Venstre, Danmarks Liberale Parti, var plads til
at sætte et kryds, hvilket efter Ole Maisteds opfattelse har haft væsentlig betydning for valgets
udfald.
Ole Maisted gør endvidere gældende, at det
ikke har været lovligt, at tilforordnede vælgere i
nogle tilfælde - på forespørgsel fra vælgere har givet vejledning om, at partistemmer for
Venstre, Danmarks Liberale Parti, kunne afgi-

9

27/12 90: Meddelelser fra formanden";Den midlertidige formand
15100;title_name;"ves ved at placere krydset over partinavnet,
men under den ovenstående linieadskillelse på
stemmesedlen.
Indenrigsministeriet skal i den anledning oplyse følgende:
Indenrigsministeriets bekendtgørelse nr. 742
af 1. december 1989 om stemmesedler til brug
ved folketingsvalg indeholder bl.a. følgende
bestemmelser:
»§ 5. Øverst i hvert felt anføres med fede typer partiets bogstavbetegnelse efterfulgt af et
punktum. Bogstavbetegnelsen skal anbringes
umiddelbart inden for stemmesedlens venstre
kant. Til højre for bogstavbetegnelsen anføres
partiets navn ligeledes med fede typer. Der skal
mellem partinavnet og stemmesedlens højre
kant være rigelig plads til at sætte kryds.«
På de stemmesedler, der blev benyttet i Østre
Storkreds og Søndre Storkreds, var afstanden
mellem partinavnet Venstre, Danmarks Liberale Parti, og stemmesedlens højre kant kun 3-4
mm, hvilket ikke er »rigelig plads«.
I et bilag til valgbøgerne for opstillingskredsene i Østre og Søndre Storkreds har valgbestyrelsen i Københavns Kommune nærmere redegjort for baggrunden for, at der er sket den
nævnte fejl ved trykningen af stemmesedlerne.
Et eksemplar af bilaget vedlægges.
For så vidt angår spørgsmålet om vejledning
af vælgere med hensyn til, hvorledes en partistemme rent praktisk kan afgives, bemærkes, at
folketingsvalgloven ikke indeholder regler herom. Det må imidlertid anses for selvfølgeligt, at
de personer, der forestår afstemningen, på forespørgsel giver vælgerne vejledning om den
praktiske fremgangsmåde ved stemmeafgivningen.
Om resultatet af stemmeafgivningen i Østre
Storkreds kan i øvrigt oplyses, at Venstre, Danmarks Liberale Parti, opnåede i alt 11.151 stemmer, heraf 6.420 partistemmer og 4.731 personlige stemmer.
I Søndre Storkreds opnåede Venstre, Danmarks Liberale Parti i alt 6.920 stemmer, heraf
4.479 partistemmer og 2.441 personlige stemmer.
På den givne foranledning skal man henlede
opmærksomheden på, at det af sidste afsnit i bilaget til valgbøgerne for opstillingskredsene i
Søndre og Østre Storkreds fremgår, at valgbestyrelsen har indleveret samtlige ugyldige almindelige stemmesedler (ekskl. de blanke

10

stemmesedler) til Indenrigsministeriet med anmodning om, at ministeren foranlediger en
gennemgang af disse.
Dette har Indenrigsministeriet ikke fundet
anledning til. De ugyldige stemmesedler beror i
uåbnede pakker i Indenrigsministeriet og vil
blive tilbagesendt til valgbestyrelsen i Københavns Kommune med henblik på tilintetgørelse, når Folketinget har godkendt valget.
Med venlig hilsen
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Fra Jesper Keldke, Sjællandsgade 22, 2. sal,
nr. 7, 2200 København N, har Indenrigsministeriet modtaget vedlagte skrivelse af 13. december 1990, hvori han klager over, at stemmesedlernes udformning i Københavns Kommune ikke gjorde det muligt at sætte kryds ud for
partinavnet Venstre, Danmarks Liberale Parti.
Der henvises herved til Indenrigsministeriets
bemærkninger til den samtidig oversendte klage fra Ole Maisted, Grængebjergvej 9, 4250
Fuglebjerg, vedrørende udformningen af stemmesedlerne i Østre Storkreds.
Med venlig hilsen
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Fra valgbestyrelsen i Vejle Amtskreds, 6.
kreds, Horsens, har Indenrigsministeriet modtaget vedlagte skrivelse af 5. december 1990
med bilag, hvormed valgbestyrelsen i medfør af
folketingsvalglovens § 88 fremsender kopi af
valgbestyrelsens brevveksling med Det Humanistiske Parti i anledning af, at kandidatanmeldelsen for en kandidat for Det Humanistiske
Parti blev afvist, idet den ikke var modtaget af
valgbestyrelsen inden udløbet af fristen for
kandidatanmeldelser.
Indenrigsministeriet er bekendt med, at valgbestyrelsen for opstillingskredsene i Århus
Kommune (Århus Amtskreds, l., 2., 3. og 4.
kreds) og valgbestyrelsen for Ringkøbing

11

27/12 90: Meddelelser fra formanden";Den midlertidige formand
19157;title_name;"Amtskreds, 2. kreds, Holstebro, af samme årsag
har haft en tilsvarende brevveksling med Det
Humanistiske Parti.
Indenrigsministeriet er enig i de af de pågældende valgbestyrelser trufne afgørelser, idet
der ikke er hjemmel til at dispensere fra den i
folketingsvalglovens § 33, stk. 1, fastsatte frist,
hvorefter kandidatanmeldelser skal være indleveret til valgbestyrelsens formand senest kl. 12
elleve dage før valgdagen eller ved dette valg
senest kl. 12 lørdag den 1. december 1990.
Med venlig hilsen
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Fra Hans Dalgaard, Baltorpvej 130, 2750
Ballerup, har Indenrigsministeriet modtaget
vedlagte skrivelse af 13. december 1990 med bilag vedr. Ballerup Kommunes manglende opfølgning af en avisannonce om kørselsmulighed ved kommunens foranstaltning til afstemningsstederne i Ballerup Kommune.
Fra Ballerup Kommune er indhentet vedlagte udtalelse af 20. december 1990 over sagen.
Det fremgår bl.a. heraf, at Ballerup Kommune
ikke tilbyder transport af vælgere til og fra afstemningsstederne under valg og folkeafstemninger, samt at den avisannonce, som klageren
henviser til, er indrykket af Ledøje-Smørum
Kommune og ikke af Ballerup Kommune.
Med venlig hilsen
(sign.) Thor Pedersen
/ Anne Birte Pade«
Fra indenrigsministeren har jeg modtaget
følgende skrivelse:
»Indenrigsministeriet, den 27. december
1990.
Fra Frankie Hal Andersen, Hjørringvej 180,
9700 Brønderslev, har Indenrigsministeriet
modtaget vedlagte skrivelse af 13. december
1990, hvori'han gør gældende, at folketingsvalget den 12. december 1990 skal erklæres ugyldigt og ulovligt på grund af valgsvindel.
Med venlig hilsen
(sign.) Thor Pedersen
/ Anne Birte Pade«

12

Statsministeren har meddelt mig, at han i
henhold til forretningsordenens § 19, stk. 2, ønsker at give Folketinget en redegørelse.
Jeg giver derfor ordet til statsministeren.";Den midlertidige formand
21146;title_name;":
KV-regeringen har i dag for første gang lejlighed til at møde Folketinget, og jeg vil gerne
benytte denne anledning til at give en redegørelse for regeringsdannelsen og regeringens
hensigter.
Det Konservative Folkeparti og Venstre har
omhyggeligt vurderet resultatet af valget den
12. december 1990, og vi har samtidig grundigt
overvejet den parlamentariske situation, der foreligger efter valget.
Socialdemokratiet opnåede en betydelig
mandatgevinst, som jeg gerne vil lykønske partiet og dets formand med. Selv om denne fremgang i stort omfang skete på bekostning af SF,
opnåede de to partier tilsammen en gevinst på 6
mandater, men trods denne fremgang er der
imidlertid fortsat et borgerligt-liberalt flertal
her i Tinget, og de to store borgerlige partier,
Det Konservative Folkeparti og Venstre under
ét, blev ikke svækket.
Det Konservative Folkeparti og Venstre deler den opfattelse, at de problemer, der skal løses i den kommende tid, er af en sådan karakter
og vigtighed, at løsningerne bør skabes gennem
et samarbejde mellem partier, som repræsenterer et bredt flertal her i Folketinget, det vil sige
både Socialdemokratiet og de borgerlige partier. Vi ser også valgresultatet som et udtryk for,
at denne opfattelse deles af et stort flertal
blandt vælgerne. Derfor bør Folketingets partier i den kommende tid leve op til det, som vælgerne har pålagt os. De har valgt os, og de forventer resultater.
Flere partier, herunder også Socialdemokratiet, har givet udtryk for den opfattelse, at et
bredt samarbejde bedst kunne sikres gennem
dannelsen af en flertalsregering, repræsenterende begge sider her i salen. I Det Konservative Folkeparti og Venstre deler vi ikke denne
opfattelse: der bør ikke være for stor politisk
afstand mellem de partier, som skal arbejde
sammen i en regering. Er det tilfældet, bliver
dens muligheder for at fremlægge egnede løsninger for små.
Efter vor opfattelse er der så stor forskel i
holdningerne hos Socialdemokratiet på den

13

27/12 90: Redegørelse af statsministeren";Poul Schlüter
23180;title_name;"ene side og Det Konservative Folkeparti og
Venstre på den anden side, at der ikke kunne
dannes en virkelig god og handlekraftig regering på grundlag af disse partier. Hvis vort land
på den ene eller den anden måde var i en nødsituation, kunne det være anderledes, men sådan
er det jo heldigvis ikke.
Partier, som repræsenterer et flertal her i Tintet, har tilkendegivet, at de i denne situation
kunne tiltræde, at jeg skulle fortsætte som statsminister. Det Radikale Venstre meddelte mig
efter valget, at de ønskede at træde ud af regeringen, mens Centrum-Demokraterne og Kristeligt Folkeparti ikke ønskede at indtræde i regering. På den baggrund har jeg omdannet regeringen, så den nu består af ministre fra Det
Konservative Folkeparti og Venstre. Denne
nye regering ser det som sin fornemste opgave
at formidle et samarbejde, som omfatter et
bredt flertal på begge sider af midlerlinjen her i
salen, og hvis vi kan tage de udtalelser for pålydende, der er faldet under valgkampen og efter
valget, skulle der være gode muligheder for, at
det kan lykkes.
Må jeg særlig minde om, at Socialdemokratiet har talt meget stærkt for en flertalsregering,
som også skulle omfatte et eller flere borgerlige
partier. Det ville naturligvis savne mening, hvis
Socialdemokratiet nu ikke var rede til at indgå i
et fordomsfrit samarbejde med Det Konservative Folkeparti og Venstre. Denne vilje kan efter vor opfattelse egentlig udfolde sig bedre i et
samarbejde mellem Socialdemokratiet og KVregeringen.
Regeringen forventer derfor, at vi i den kommende tid kan opnå gode og positive resultater
gennem et konstruktivt samarbejde, både med
Socialdemokratiet og de andre partier, der så
stærkt har givet udtryk for ønsket om at få etableret et bredt samarbejde. Det er vigtigt, at vi
kommer hurtigt i gang.
Den mest påtrængende opgave er at få arbejdet lagt sådan til rette, at vi i de kommende år
kan opnå et opsving i produktionen og beskæftigelsen og dermed et mærkbart fald i ledigheden. Med overskud på betalingsbalancen i ryggen har vi nu mere råderum og flere muligheder
for at disponere uden at forøge gældsætningen
til udlandet. Det er en ny situation, som vi skal
udnytte offensivt.
Den første forudsætning er, at vi kan få nogle
gode og fornuftige overenskomster til foråret.

14

Derfor haster det med at få gennemført en lovgivning, som kan gøre det muligt for parterne at
afslutte kloge overenskomster uden nedgang i
realindkomsterne. Samtidig skal vi i gang med
en forstærket uddannelsesindsats på arbejdsmarkedet og en tilpasning af dagpengesystemet, og vi skal have vedtaget en finanslov, der
bygger på en fortsat stram offentlig udgiftspolitik og holder fast i, at vi har styr på de offentlige
finanser.
Derfor vil regeringen allerede i dag fremsætte en række lovforslag for Folketinget, så vi kan
komme i gang med arbejdet straks i det nye år.
Det har været regeringen magtpåliggende at
vise i handling, at appellen om et bredt samarbejde er ærligt ment, ikke blot en talemåde.
Derfor har vi i de forslag, der bliver fremsat i
dag, taget vidtgående hensyn til de synspunkter, andre partier har givet udtryk for før og under valgkampen.
For det første fremsætter vi forslag til finanslov for 1991. Heri er indarbejdet en række ændringer, vi var blevet enige med Socialdemokraterne om, inden valget blev udskrevet.
For det andet fremsætter vi forslag om en forstærket uddannelsesindsats og systemforbedringer i dagpengeordningerne. De skulle gerne
være vedtaget i god tid, inden overenskomsterne skal afsluttes, så parterne har et sikkert
grundlag for de nye overenskomster.
Det samme gælder den tredje gruppe af lovforslag, som sigter mod en skatteomlægning,
der kan sænke marginalskatterne, i første omgang med størst virkning for mellemindkomsterne. Hensigten er at bidrage til, at der kan afsluttes kloge overenskomster, uden at lønmodtagerne går ned i realindkomst. Vi foreslår, at
bundgrænsen for 6 pct.-skatten hæves til
200.000 kr. og med fuld adgang til at overføre
uudnyttede beløb til ægtefællen. Det betyder,
at 785.000 personer ikke skal betale 6 pct.-skatten fremover, det vil sige over halvdelen af dem,
der betaler den i dag.
Forhøjelsen af bundgrænsen skal gælde allerede fra 1991, og vi vil stile mod at skabe grundlag for en yderligere sænkning af skatten i 1992,
men da i form af en nedsættelse af 22 pct.-skatten, som vil komme alle skatteydere til gode.
For 1991 foreslår vi endvidere en nedsættelse
af kontingentet til arbejdsløshedskasserne med
l, l mia. kr. og en lettelse for børnefamilierne på
800 mio. kr. om året. Der afsættes også l mia.

15

27/12 90: Redegørelse af statsministeren";Statsministeren
