split;reason;text;value
0;;"Onsdag den 7. oktober 2015 (D)

1

Lovforslag nr. L 10 (Forslag til lov om net- og informationssikkerhed).

2. møde

Energi-, forsynings- og klimaministeren (Lars Christian Lilleholt):";
222;Time;"Lovforslag nr. L 11 (Forslag til lov om ændring af lov om elforsyning og lov om Energinet.dk. (Støtte til eksisterende naturgasfyrede
industrielle kraft-varme-værker m.v)) og

Dagsorden
1) Valg af stående udvalg m.v.";kl. 13.00
468;title_name;":
Mødet er åbnet.

Lovforslag nr. L 12 (Forslag til lov om ændring af lov om miljøvenligt design af energirelaterede produkter, lov om energimærkning af
energirelaterede produkter, lov om fremme af energibesparelser i
bygninger, lov om fjernkøling og lov om fremme af besparelser i
energiforbruget. (Skærpet håndhævelse af dokumentationskrav til
ecodesign og energimærkning af energirelaterede produkter, justering af forpligtelsen til at lade udarbejde energimærkning for bygninger med ejerlejligheder, lettelse af vilkårene for godkendelse som
BedreBolig-rådgiver og faktureringsoplysninger til fjernkølingskunder m.v.)).

I dag er der følgende anmeldelser:";Pia Kjærsgaard
1165;title_name;":

Udlændinge-, integrations- og boligministeren (Inger Støjberg):

Lovforslag nr. L 13 (Forslag til lov om ændring af kildeskatteloven,
momsloven og skattekontrolloven. (Ophævelse af hjemmel til kontrol af udendørs byggeaktivitet på privat grund – Retssikkerhedspakke I)),";Karsten Lauritzen
1449;Time;"Meddelelser fra formanden

Lovforslag nr. L 4 (Forslag til lov om ændring af udlændingeloven.
(Gennemførelse af den reviderede Eurodac-forordning)) og
Lovforslag nr. L 5 (Forslag til lov om ændring af lov om social service. (Målrettet rådgivning til voksne i risiko for radikalisering eller
som ønsker at forlade ekstremistiske miljøer)).
Social- og indenrigsministeren (Karen Ellemann):
Lovforslag nr. L 6 (Forslag til lov om ændring af forskellige lovbestemmelser om klageadgang og kompetence m.v. på det familieretlige område. (Ankestyrelsen som familieretlig klagemyndighed
m.v.)),
Lovforslag nr. L 7 (Forslag til lov om ændring af adoptionsloven.
(Et nyt adoptionssystem m.v.)) og
Lovforslag nr. L 8 (Forslag til lov om ændring af lov om valg til Folketinget, lov om valg af danske medlemmer til Europa-Parlamentet,
lov om kommunale og regionale valg og lov om økonomisk støtte til
politiske partier m.v. (Anmeldelse af kandidatlister, afskaffelse af
pligt til opstilling til kommunale og regionale valg, åbningstid på
valgdagen, frister for brevstemmeafgivning m.v.)).";Kl. 13:00
2564;title_name;":
Lovforslag nr. L 9 (Forslag til lov om ændring af lov om Forsvarets
Efterretningstjeneste (FE). (Styrket indsats mod aktiviteter i udlandet, der kan indebære en terrortrussel mod Danmark og danske interesser)) og

Lovforslag nr. L 14 (Forslag til lov om ændring af lov om spil, lov
om afgifter af spil og lov for Grønland om visse spil. (Justering af
gebyrskalaen for væddemål og onlinekasino, månedsafregning for
væddemål og onlinekasino m.v.)),
Lovforslag nr. L 15 (Forslag til lov om ændring af lov om spil, lov
om afgifter af spil, lov for Grønland om visse spil og forskellige andre love. (Natlukning af spillehaller med gevinstgivende spilleautomater og ophævelse af reglen om nedslag i afgiften for udlodninger
m.v.)),
Lovforslag nr. L 16 (Forslag til lov om ændring af tonnageskatteloven og sømandsbeskatningsloven. (Udvidelse af tonnageskatteordningen med en række specialskibe)),
Lovforslag nr. L 17 (Forslag til lov om ændring af lov om kommunal ejendomsskat. (Fritagelse for grundskyld for ejendomme ramt af
kystnedbrydning)) og
Lovforslag nr. L 18 (Forslag til lov om ændring af lov om inddrivelse af gæld til det offentlige. (Udskydelse af forældelse som følge af
utilstrækkelig funktionalitet i Ét Fælles Inddrivelsessystem)).
Erhvervs- og vækstministeren (Troels Lund Poulsen):
Lovforslag nr. L 19 (Forslag til udbudsloven) og

2

Onsdag den 7. oktober 2015 (FM )

Lovforslag nr. L 20 (Forslag til lov for Grønland om kapitalkrav og
tilsynsmæssige krav for kreditinstitutter og investeringsselskaber).
Transport- og bygningsministeren (Hans Christian Schmidt):
Lovforslag nr. L 21 (Forslag til lov om ændring af lov om fremgangsmåden ved ekspropriation vedrørende fast ejendom samt lov
om offentlige veje m.v. (Udvidelse af adgangen til udpegning af
kommissarier samt formænd for taksationskommissioner og overtaksationskommissioner)).";Peter Christensen
4449;title_name;":

Pernille Skipper (EL), Josephine Fock (ALT), Jonas Dahl (SF) m.fl.:
Forespørgsel nr. F 1 (Vil ministeren redegøre for, hvordan regeringen stiller sig til i forhold til den kommende specialsession under
FN's Generalforsamling (UNGASS) vedrørende narkotika i 2016?).
Kenneth Kristensen Berth (DF) og Claus Kvist Hansen (DF):
Forespørgsel nr. F 2 (Hvad kan regeringen oplyse om Danmarks
fremadrettede muligheder for at føre en selvstændig asyl-, flygtninge- og udlændingepolitik efter en eventuel ophævelse af retsforbeholdet den 3. december 2015?).

Lovforslag nr. L 22 (Forslag til lov om ændring af retsplejeloven,
lov om Domstolsstyrelsen og lov om retsafgifter. (Digitalisering af
retsprocessen i borgerlige sager, oprettelse af en domsdatabase,
m.v.)),

Maria Reumert Gjerding (EL) og Søren Egge Rasmussen (EL):

Lovforslag nr. L 23 (Forslag til lov om ændring af lov om Politiets
Efterretningstjeneste (PET) og toldloven. (Politiets Efterretningstjenestes adgang til oplysninger om flypassagerer i terrorsager m.v. og
SKATs håndtering af oplysninger om flypassagerer i forbindelse
med toldkontrol m.v.)) og

Titler på de anmeldte sager vil fremgå af www.folketingstidende.dk.
(jf. ovenfor).

Lovforslag nr. L 24 (Forslag til lov om ændring af straffeloven. (Tilslutning til fjendtlig væbnet styrke)).

Meddelelsen vil blive optrykt i Folketingstidende (jf. nedenfor).

Forespørgsel nr. F 3 (Hvad kan ministeren oplyse om Danmarks klimamål?).

Fra statsministeren har jeg modtaget meddelelse om den pr. 30. september 2015 gennemførte regeringsændring.

[»Folketingets Formand
Beskæftigelsesministeren (Jørn Neergaard Larsen):
Lovforslag nr. L 25 (Forslag til lov om ansættelsesklausuler),

Efter min indstilling er det ved kongelig resolution af 30. september
2015 besluttet

Lovforslag nr. L 26 (Forslag til lov om ændring af lov om Arbejdsmarkedets Tillægspension, lov om Lønmodtagernes Dyrtidsfond, lov
om arbejdsløshedsforsikring m.v. og forskellige andre love. (Ændring af investeringsregler som følge af Solvens II, undtagelse af investeringsdel fra lov om offentlighed i forvaltningen, fritagelse for
betaling af finansieringsbidrag m.v.)),

at afskedige i nåde forsvarsminister og minister for nordisk samarbejde Carl Holst fra den ham hidtil betroede ministerstilling, og

Lovforslag nr. L 27 (Forslag til lov om ændring af lov om arbejdsskadesikring i Grønland. (Tekniske justeringer)) og

Jeg tillader mig at anmode formanden om at underrette Folketinget
herom.

Lovforslag nr. L 28 (Forslag til lov om ændring af lov om Ligebehandlingsnævnet. (Indførelse af krav om retlig interesse, formandsafgørelser samt mulighed for, at Institut for Menneskerettigheder –
Danmarks Nationale Menneskerettighedsinstitution kan indbringe
visse sager for Ligebehandlingsnævnet m.v.)).

Sign. Lars Løkke Rasmussen
/Christian Hesthaven«].

Lisbeth Bech Poulsen (SF) m.fl.:
Beslutningsforslag nr. B 1 (Forslag til folketingsbeslutning om bedre
behandling af voldtægtsofre) og
Beslutningsforslag nr. B 4 (Forslag til folketingsbeslutning om en
bedre og mere effektiv indsats over for stalkingofre).
Pelle Dragsted (EL) m.fl.:
Beslutningsforslag nr. B 2 (Forslag til folketingsbeslutning om oprettelse af en it-portal for alle statslige puljer).
Rasmus Nordqvist (ALT) m.fl.:
Beslutningsforslag nr. B 3 (Forslag til folketingsbeslutning om folkeafstemning vedrørende dansk deltagelse i EU-samarbejdet om asyl
og indvandring).

at udnævne forhenværende minister, forhenværende medlem af Folketinget Peter Christensen, Ridder af Dannebrogordenen, til forsvarsminister og minister for nordisk samarbejde.

Venstres folketingsgruppe har meddelt mig, at den til bestyrelsen for
Institut for Flerpartisamarbejde har udpeget medlem af Folketinget
Michael Aastrup Jensen som medlem i stedet for Karsten Lauritzen,
som er udpeget som skatteminister.
Den socialdemokratiske folketingsgruppe har meddelt mig, at den
har udpeget Jan Rix Rasmussen som medlem af Skatterådet for den
resterende del af indeværende funktionsperiode i stedet for medlem
af Folketinget Thomas Jensen.
Den pågældende er herefter valgt.
Den socialdemokratiske folketingsgruppe har meddelt mig, at den til
Danmarks Nationalbanks Repræsentantskab har udpeget medlemmer
af Folketinget Henrik Sass Larsen og Morten Bødskov som medlemmer for den resterende del af indeværende funktionsperiode i stedet
for John Dyrby Paulsen, som er udtrådt af Folketinget, og medlem af
Folketinget Thomas Jensen.
Endvidere har Det Konservative Folkepartis folketingsgruppe
meddelt mig, at den har udpeget medlem af Folketinget Brian Mikkelsen som medlem af Danmarks Nationalbanks Repræsentantskab
for den resterende del af indeværende funktionsperiode i stedet for
Mike Legarth, som er udtrådt af Folketinget.

Onsdag den 7. oktober 2015 (FM )

De pågældende er herefter valgt.
Dansk Folkepartis folketingsgruppe har meddelt mig, at den til Sydslesvigudvalget har udpeget medlem af Folketinget Merete Dea Larsen som medlem af den resterende del af indeværende funktionsperiode i stedet for medlem af Folketinget Søren Espersen.
Den pågældende er herefter valgt.

Det eneste punkt på dagsordenen er:
1) Valg af stående udvalg m.v.";Søren Pind
9628;Time;;Kl. 13:06
9656;title_name;":
Til disse valg er anmeldt følgende valggrupper:
en gruppe på 90 medlemmer: Dansk Folkeparti, Venstre, Liberal
Alliance og Det Konservative Folkeparti:
en gruppe på 89 medlemmer: Socialdemokratiet, Enhedslisten,
Alternativet, Radikale Venstre, Socialistisk Folkeparti, Inuit Ataqatigiit, Siumut, Tjóðveldi og Javnaðarflokkurin.
Der foreligger indstilling fra grupperne om disse valg. Navnene
på de valgte kan findes på Folketingets hjemmeside og i Folketingstidende (jf. nedenfor).
Samtidig er der fra grupperne fremkommet forslag om valg af
formand og næstformand. Der er kun bragt én i forslag til hver af
disse poster, og navnene er optaget i Folketingstidende.

1 Bent Bøgsted (DF)
2 Hans Kristian Skibby (DF)
3 Susanne Eilersen (DF)
4 Claus Kvist Hansen (DF)
5 Peter Juel Jensen (V)
6 Kristian Pihl Lorentzen (V)
7 Anni Matthiesen (V)
8 Leif Mikkelsen (LA)
9 Brian Mikkelsen (KF)
10 Benny Engelbrecht (S)
11 Bjarne Laustsen (S)
12 Christine Antorini (S)
13 Karen J. Klint (S)
14 Pernille Skipper (EL)
15 René Gade (ALT)
16 Martin Lidegaard (RV)
17 Jonas Dahl (SF)";Pia Kjærsgaard
10735;title_name;Peter Juel Jensen (V);Formand
10770;title_name;"Karen J. Klint (S)
Valg af 29 medlemmer til Beskæftigelsesudvalget.
Valgt blev:

1 Pia Kjærsgaard (DF)
2 Helle Thorning-Schmidt (S)
3 Kristian Pihl Lorentzen (V)
4 Stine Brix (EL)
5 Mette Bock (LA)
6 Peter Skaarup (DF)
7 Søren Espersen (DF)
8 Martin Henriksen (DF)
9 Søren Gade (V)
10 Torsten Schack Pedersen (V)
11 Jakob Ellemann-Jensen (V)
12 Simon Emil Ammitzbøll (LA)
13 Søren Pape Poulsen (KF)
14 Benny Engelbrecht (S)
15 Christine Antorini (S)
16 Henrik Sass Larsen (S)
17 Karen J. Klint (S)
18 Søren Søndergaard (EL)
19 Josephine Fock (ALT)
20 Morten Østergaard (RV)
21 Jonas Dahl (SF)

1 Bent Bøgsted (DF)
2 Jens Henrik Thulesen Dahl (DF)
3 Peter Kofod Poulsen (DF)
4 Mette Hjermind Dencker (DF)
5 Marlene Harpsøe (DF)
6 Pernille Bendixen (DF)
7 Hans Andersen (V)
8 Peter Juel Jensen (V)
9 Louise Schack Elholm (V)
10 Jacob Jensen (V)
11 Anni Matthiesen (V)
12 Britt Bager (V)
13 Joachim B. Olsen (LA)
14 Laura Lindahl (LA)
15 Rasmus Jarlov (KF)
16 Ane Halsboe-Jørgensen (S)
17 Bjarne Laustsen (S)
18 Jeppe Bruus (S)
19 Leif Lahn Jensen (S)
20 Lennart Damsbo-Andersen (S)
21 Pernille Rosenkrantz-Theil (S)
22 Peter Hummelgaard Thomsen (S)
23 Henning Hyllested (EL)
24 Christian Juhl (EL)
25 Finn Sørensen (EL)
26 Josephine Fock (ALT)
27 Torsten Gejl (ALT)
28 Sofie Carsten Nielsen (RV)
29 Karsten Hønge (SF)

(Udvalget for Forretningsordenen består af Folketingets Præsidium
(nr. 1-5) tillige med 16 valgte medlemmer).";Næstformand
12207;title_name;Bent Bøgsted (DF);Formand
12238;title_name;Bjarne Laustsen (S);Næstformand
12268;title_name;Pia Kjærsgaard (DF);Formand
12301;title_name;"Helle Thorning-Schmidt (S)

Valg af 29 medlemmer til Børne- og Undervisningsudvalget.

[Valg af 16 medlemmer til Udvalget for Forretningsordenen.
Valgt blev:

Valg af 17 medlemmer til Udvalget til Valgs Prøvelse.
Valgt blev:

Valgt blev:
1 Jens Henrik Thulesen Dahl (DF)
2 Pernille Bendixen (DF)
3 Marlene Harpsøe (DF)

3

4

Onsdag den 7. oktober 2015 (FM )

4 Dorthe Ullemose (DF)
5 Alex Ahrendtsen (DF)
6 Marie Krarup (DF)
7 Anni Matthiesen (V)
8 Peter Juel Jensen (V)
9 Jan E. Jørgensen (V)
10 Louise Schack Elholm (V)
11 Michael Aastrup Jensen (V)
12 Jane Heitmann (V)
13 Laura Lindahl (LA)
14 Merete Riisager (LA)
15 Mai Mercado (KF)
16 Annette Lind (S)
17 Daniel Toft Jakobsen (S)
18 Erik Christensen (S)
19 Julie Skovsby (S)
20 Mattias Tesfaye (S)
21 Pernille Rosenkrantz-Theil (S)
22 Pernille Schnoor (S)
23 Johanne Schmidt-Nielsen (EL)
24 Jakob Sølvhøj (EL)
25 Carolina Magdalene Maier (ALT)
26 Torsten Gejl (ALT)
27 Lotte Rod (RV)
28 Marianne Jelved (RV)
29 Jacob Mark (SF)";Næstformand
13296;title_name;Pernille Rosenkrantz-Theil (S);Formand
13340;title_name;"Jens Henrik Thulesen Dahl (DF)
Valg af 29 medlemmer til Energi-, Forsynings og Klimaudvalget.
Valgt blev:
1 Mikkel Dencker (DF)
2 Jan Erik Messmann (DF)
3 Ib Poulsen (DF)
4 Pia Adelsteen (DF)
5 Jan Rytkjær Callesen (DF)
6 Claus Kvist Hansen (DF)
7 Thomas Danielsen (V)
8 Jacob Jensen (V)
9 Kristian Pihl Lorentzen (V)
10 Torsten Schack Pedersen (V)
11 Marcus Knuth (V)
12 Morten Løkkegaard (V)
13 Carsten Bach (LA)
14 Villum Christensen (LA)
15 Mette Abildgaard (KF)
16 Ane Halsboe-Jørgensen (S)
17 Bjarne Laustsen (S)
18 Erik Christensen (S)
19 Jens Joel (S)
20 Kirsten Brosbøl (S)
21 Lea Wermelin (S)
22 Karin Gaardsted (S)
23 Søren Egge Rasmussen (EL)
24 Maria Reumert Gjerding (EL)
25 Christian Poll (ALT)
26 Andreas Steenberg (RV)
27 Rasmus Helveg Petersen (RV)
28 Pia Olsen Dyhr (SF)
29 Lisbeth Bech Poulsen (SF)";Næstformand
14168;title_name;Thomas Danielsen (V);Formand
14203;title_name;"Karin Gaardsted (S)
Valg af 29 medlemmer til Erhvervs-, Vækst- og Eksportudvalget.
Valgt blev:
1 Hans Kristian Skibby (DF)
2 Dennis Flydtkjær (DF)
3 Jan Rytkjær Callesen (DF)
4 Lise Bech (DF)
5 Tilde Bork (DF)
6 Dorthe Ullemose (DF)
7 Torsten Schack Pedersen (V)
8 Preben Bang Henriksen (V)
9 Jan E. Jørgensen (V)
10 Jacob Jensen (V)
11 Erling Bonnesen (V)
12 Jane Heitmann (V)
13 Christina Egelund (LA)
14 Joachim B. Olsen (LA)
15 Brian Mikkelsen (KF)
16 Erik Christensen (S)
17 Karin Gaardsted (S)
18 Kirsten Brosbøl (S)
19 Mette Reissmann (S)
20 Morten Bødskov (S)
21 Rasmus Horn Langhoff (S)
22 Thomas Jensen (S)
23 Pelle Dragsted (EL)
24 Henning Hyllested (EL)
25 Rasmus Nordqvist (ALT)
26 Christian Poll (ALT)
27 Ida Auken (RV)
28 Lisbeth Bech Poulsen (SF)
29 Jonas Dahl (SF)";Næstformand
14994;title_name;Morten Bødskov (S);Formand
15026;title_name;"Joachim B. Olsen (LA)
Valg af 29 medlemmer til Europaudvalget.
Valgt blev:
1 Kenneth Kristensen Berth (DF)
2 Peter Kofod Poulsen (DF)
3 Claus Kvist Hansen (DF)
4 Mikkel Dencker (DF)
5 Hans Kristian Skibby (DF)
6 Marlene Harpsøe (DF)
7 Morten Løkkegaard (V)
8 Marcus Knuth (V)
9 Erling Bonnesen (V)
10 Jakob Ellemann-Jensen (V)
11 Jane Heitmann (V)
12 Thomas Danielsen (V)
13 Christina Egelund (LA)
14 Merete Riisager (LA)
15 Rasmus Jarlov (KF)
16 Jens Joel (S)
17 Karin Gaardsted (S)
18 Kaare Dybvad (S)
19 Mette Gjerskov (S)
20 Mette Reissmann (S)
21 Peter Hummelgaard Thomsen (S)

Onsdag den 7. oktober 2015 (FM )

22 Thomas Jensen (S)
23 Søren Søndergaard (EL)
24 Nikolaj Villumsen (EL)
25 Finn Sørensen (EL)
26 Rasmus Nordqvist (ALT)
27 Christian Poll (ALT)
28 Rasmus Helveg Petersen (RV)
29 Holger K. Nielsen (SF)

25 René Gade (ALT)
26 Martin Lidegaard (RV)
27 Holger K. Nielsen (SF)
28 Aaja Chemnitz Larsen (IA)
29 Aleqa Hammond (SIU)";Næstformand
15979;title_name;Mette Gjerskov (S);Formand
16011;title_name;"Kenneth Kristensen Berth (DF)

Valg af 17 medlemmer til Indfødsretsudvalget.";Næstformand
16098;title_name;Rasmus Jarlov (KF);Formand
16130;title_name;"Jan Johansen (S)

Valgt blev:
Valg af 17 medlemmer til Finansudvalget.
Valgt blev:
1 René Christensen (DF)
2 Kristian Thulesen Dahl (DF)
3 Dennis Flydtkjær (DF)
4 Jacob Jensen (V)
5 Søren Gade (V)
6 Jakob Ellemann-Jensen (V)
7 Torsten Schack Pedersen (V)
8 Ole Birk Olesen (LA)
9 Brian Mikkelsen (KF)
10 Thomas Jensen (S)
11 Benny Engelbrecht (S)
12 Bjarne Corydon (S)
13 Jesper Petersen (S)
14 Pelle Dragsted (EL)
15 Josephine Fock (ALT)
16 Martin Lidegaard (RV)
17 Jonas Dahl (SF)";Næstformand
16622;title_name;Ole Birk Olesen (LA);Formand
16656;title_name;"Benny Engelbrecht (S)

1 Christian Langballe (DF)
2 Marie Krarup (DF)
3 Martin Henriksen (DF)
4 Kenneth Kristensen Berth (DF)
5 Jan E. Jørgensen (V)
6 Preben Bang Henriksen (V)
7 Thomas Danielsen (V)
8 Leif Mikkelsen (LA)
9 Naser Khader (KF)
10 Astrid Krag (S)
11 Peter Hummelgaard Thomsen (S)
12 Karen J. Klint (S)
13 Mattias Tesfaye (S)
14 Johanne Schmidt-Nielsen (EL)
15 Ulla Sandbæk (ALT)
16 Lotte Rod (RV)
17 Jacob Mark (SF)";Næstformand
17095;title_name;Christian Langballe (DF);Formand
