doc_id,split,assignment
645,1,1
14035,2,2
17101,1,1
21605,1,1
21885,1,1
23061,1,1
30660,1,1
40441,1,1
45994,1,1
47225,1,1
50061,1,1
56619,1,1
87330,1,1
146963,1,1
160066,1,1
271408,2,2
338466,1,1
474308,1,1
530483,2,2
547768,2,1
587221,1,1
649616,1,1
677916,2,2
684109,1,1
761749,1,1
782690,1,1
795572,1,1
798148,1,1
803597,1,1
806987,1,1
809603,1,1
810352,1,1
43264,1,1
52350,2,1
63318,2,2
89888,1,1
89969,2,1
95305,1,1
97128,1,1
114807,2,1
121235,1,1
134775,2,2
137525,1,1
143002,1,1
146641,1,1
147785,1,1
153129,1,1
170072,1,1
171597,1,1
176913,1,1
180887,1,1
190126,1,1
204285,1,1
209697,2,2
210613,1,1
213667,1,1
243511,1,1
249636,1,1
262347,1,1
312426,1,1
331208,1,1
366059,2,2
369159,1,1
378693,1,1
387606,1,1
370667,1,1
384835,1,1
388602,1,1
403409,1,1
407891,1,1
427040,1,1
436902,1,1
449010,2,1
451512,2,1
459634,1,1
471717,1,1
487020,2,1
490211,1,1
504997,1,1
519917,1,1
524954,1,1
569733,1,1
575909,1,1
587768,1,1
591511,1,1
598912,1,1
621134,1,1
628325,1,1
651731,1,1
655761,1,1
660048,1,1
675118,2,1
688419,1,1
696819,2,2
706952,1,1
720388,1,1
