Samling;Nr;Titel;Dato;PDF;
19591;116;Referat af møde nr. 116 den 5. juli 1960 kl. 14:00;05-07-1960;https://www.folketingstidende.dk/samling/19591/salen/M116/19591_M116_referat.pdf;
19591;115;Referat af møde nr. 115 den 20. juni 1960 kl. 14:00;20-06-1960;https://www.folketingstidende.dk/samling/19591/salen/M115/19591_M115_referat.pdf;
19591;114;Referat af møde nr. 114 den 14. juni 1960 kl. 14:00;14-06-1960;https://www.folketingstidende.dk/samling/19591/salen/M114/19591_M114_referat.pdf;
19591;113;Referat af møde nr. 113 den 10. juni 1960 kl. 14:00;10-06-1960;https://www.folketingstidende.dk/samling/19591/salen/M113/19591_M113_referat.pdf;
19591;112;Referat af møde nr. 112 den 3. juni 1960 kl. 13:00;03-06-1960;https://www.folketingstidende.dk/samling/19591/salen/M112/19591_M112_referat.pdf;
19591;111;Referat af møde nr. 111 den 2. juni 1960 kl. 09:00;02-06-1960;https://www.folketingstidende.dk/samling/19591/salen/M111/19591_M111_referat.pdf;
19591;110;Referat af møde nr. 110 den 1. juni 1960 kl. 13:00;01-06-1960;https://www.folketingstidende.dk/samling/19591/salen/M110/19591_M110_referat.pdf;
19591;109;Referat af møde nr. 109 den 31. maj 1960 kl. 14:00;31-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M109/19591_M109_referat.pdf;
19591;108;Referat af møde nr. 108 den 25. maj 1960 kl. 09:00;25-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M108/19591_M108_referat.pdf;
19591;107;Referat af møde nr. 107 den 24. maj 1960 kl. 14:00;24-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M107/19591_M107_referat.pdf;
19591;106;Referat af møde nr. 106 den 20. maj 1960 kl. 13:00;20-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M106/19591_M106_referat.pdf;
19591;105;Referat af møde nr. 105 den 19. maj 1960 kl. 10:00;19-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M105/19591_M105_referat.pdf;
19591;104;Referat af møde nr. 104 den 18. maj 1960 kl. 13:00;18-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M104/19591_M104_referat.pdf;
19591;103;Referat af møde nr. 103 den 17. maj 1960 kl. 14:00;17-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M103/19591_M103_referat.pdf;
19591;102;Referat af møde nr. 102 den 12. maj 1960 kl. 13:00;12-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M102/19591_M102_referat.pdf;
19591;101;Referat af møde nr. 101 den 11. maj 1960 kl. 13:30;11-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M101/19591_M101_referat.pdf;
19591;100;Referat af møde nr. 100 den 11. maj 1960 kl. 10:00;11-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M100/19591_M100_referat.pdf;
19591;99;Referat af møde nr. 99 den 10. maj 1960 kl. 14:00;10-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M99/19591_M99_referat.pdf;
19591;98;Referat af møde nr. 98 den 6. maj 1960 kl. 13:00;06-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M98/19591_M98_referat.pdf;
19591;97;Referat af møde nr. 97 den 5. maj 1960 kl. 13:00;05-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M97/19591_M97_referat.pdf;
19591;96;Referat af møde nr. 96 den 4. maj 1960 kl. 13:00;04-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M96/19591_M96_referat.pdf;
19591;95;Referat af møde nr. 95 den 3. maj 1960 kl. 14:00;03-05-1960;https://www.folketingstidende.dk/samling/19591/salen/M95/19591_M95_referat.pdf;
19591;94;Referat af møde nr. 94 den 28. april 1960 kl. 13:00;28-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M94/19591_M94_referat.pdf;
19591;93;Referat af møde nr. 93 den 27. april 1960 kl. 13:00;27-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M93/19591_M93_referat.pdf;
19591;92;Referat af møde nr. 92 den 26. april 1960 kl. 14:00;26-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M92/19591_M92_referat.pdf;
19591;91;Referat af møde nr. 91 den 22. april 1960 kl. 13:00;22-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M91/19591_M91_referat.pdf;
19591;90;Referat af møde nr. 90 den 21. april 1960 kl. 13:00;21-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M90/19591_M90_referat.pdf;
19591;89;Referat af møde nr. 89 den 20. april 1960 kl. 14:00;20-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M89/19591_M89_referat.pdf;
19591;88;Referat af møde nr. 88 den 8. april 1960 kl. 13:00;08-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M88/19591_M88_referat.pdf;
19591;87;Referat af møde nr. 87 den 7. april 1960 kl. 13:00;07-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M87/19591_M87_referat.pdf;
19591;86;Referat af møde nr. 86 den 6. april 1960 kl. 13:00;06-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M86/19591_M86_referat.pdf;
19591;85;Referat af møde nr. 85 den 5. april 1960 kl. 14:00;05-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M85/19591_M85_referat.pdf;
19591;84;Referat af møde nr. 84 den 1. april 1960 kl. 13:00;01-04-1960;https://www.folketingstidende.dk/samling/19591/salen/M84/19591_M84_referat.pdf;
19591;83;Referat af møde nr. 83 den 31. marts 1960 kl. 13:00;31-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M83/19591_M83_referat.pdf;
19591;82;Referat af møde nr. 82 den 30. marts 1960 kl. 13:00;30-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M82/19591_M82_referat.pdf;
19591;81;Referat af møde nr. 81 den 29. marts 1960 kl. 14:00;29-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M81/19591_M81_referat.pdf;
19591;80;Referat af møde nr. 80 den 25. marts 1960 kl. 13:00;25-03-1960;https://www.folketingstidende.dk/samling/19591/salen/M80/19591_M80_referat.pdf;
