Navn	Ministerpost	Start	Slut	parti
Lars Løkke Rasmussen	Statsminister	07-04-09	03-10-11	Venstre
Lene Espersen	Økonomi- og erhvervsminister, vicestatsminister	07-04-09	23-02-10	Konservative
Per Stig Møller	Udenrigsminister	07-04-09	23-02-10	Konservative
Claus Hjort Frederiksen	Finansminister	07-04-09	03-10-11	Venstre
Brian Mikkelsen	Justitsminister	07-04-09	23-02-10	Konservative
Søren Gade	Forsvarsminister	07-04-09	23-02-10	Venstre
Kristian Jensen	Skatteminister	07-04-09	23-02-10	Venstre
Lars Barfoed	Transportminister	07-04-09	23-02-10	Konservative
Bertel Haarder	Undervisningsminister og minister for nordisk samarbejde	07-04-09	23-02-10	Venstre
Helge Sander	Minister for videnskab, teknologi og udvikling	07-04-09	23-02-10	Venstre
Ulla Tørnæs	Udviklingsminister	07-04-09	23-02-10	Venstre
Eva Kjer Hansen	Uminister for fødevarer, landbrug og fiskeri	07-04-09	23-02-10	Venstre
Carina Christensen	Kulturminister	07-04-09	23-02-10	Konservative
Jakob Axel Nielsen	Minister for sundhed og forebyggelse	07-04-09	23-02-10	Konservative
Birthe Rønn Hornbech	Minister for flygtninge, indvandrere og integration	07-04-09	23-02-10	Venstre
Troels Lund Poulsen	Miljøminister	07-04-09	23-02-10	Venstre
Inger Støjberg	Beskæftigelsesminister og minister for ligestilling	07-04-09	23-02-10	Venstre
Karen Ellemann	Indenrigs- og Socialminister	07-04-09	23-02-10	Venstre
Connie Hedegaard	Klima- og energiminister	07-04-09	23-02-10	Konservative
Lykke Friis	Klima- og energiminister	24-11-09	23-02-10	Venstre
Lars Barfoed	Justitsminister, Vicestatsminister	23-02-10	03-10-11	Konservative
Per Stig Møller	Kulturminister	23-02-10	08-03-11	Konservative
Brian Mikkelsen	Økonomi- og erhvervsminister	23-02-10	03-10-11	Konservative
Troels Lund Poulsen	Skatteminister	23-02-10	08-03-11	Venstre
Bertel Haarder	Indenrigs- og Sundhedsminister	23-02-10	03-10-11	Venstre
Lene Espersen	Udenrigsminister	23-02-10	03-10-11	Konservative
Hans Christian Schmidt	Transportminister	23-02-10	03-10-11	Venstre
Birthe Rønn Hornbech	Minister for flygtninge, indvandrere og integration, Kirkeminister	23-02-10	08-03-11	Venstre
Inger Støjberg	Beskæftigelsesminister	23-02-10	03-10-11	Venstre
Karen Ellemann	Miljøminister, Minister for nordisk samarbejde	23-02-10	03-10-11	Venstre
Lykke Friis	Klima- og energiminister, Minister for ligestilling	23-02-10	03-10-11	Venstre
Gitte Lillelund Bech	Forsvarsminister	23-02-10	03-10-11	Venstre
Tina Nedergaard	Undervisningsminister	23-02-10	08-03-11	Venstre
Søren Pind	Udviklingsminister	23-02-10	08-03-11	Venstre
Henrik Høegh	Minister for fødevarer, landbrug og fiskeri	23-02-10	03-10-11	Venstre
Benedikte Kiær	Socialminister	23-02-10	03-10-11	Konservative
Charlotte Sahl-Madsen	Minister for videnskab, teknologi og udvikling	23-02-10	03-10-11	Konservative
Per Stig Møller	Kulturminister, Kirkeminister	08-03-11	03-10-11	Konservative
Troels Lund Poulsen	Undervisningsminister	08-03-11	03-10-11	Venstre
Søren Pind	Minister for udviklingsbistand, Minister for flygtninge, indvanddrere og integration	08-03-11	03-10-11	Venstre
Peter Christensen	Skatteminister	08-03-11	03-10-11	Venstre
Helle Thorning-Schmidt	Statsminister	03-10-11	03-02-14	Socialdemokratiet
