row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id
Anders Samuelsen,0.4285788340187874,0.10151100301413657,Anders Samuelsen,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,33869,2010-05-11T14:05:00Z,2010,Ny Alliance,2007-2011,343,2010_5
Anita Knakkergaard,0.1475252149372704,0.26233972125125826,Anita Knakkergaard,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,34030,2010-05-11T17:13:00Z,2010,Dansk Folkeparti,2007-2011,168,2010_5
Anne Baastrup,0.031949758571550024,0.08407127845832829,Anne Baastrup,20091_M94_referat,20091,94,"Referat af møde 94 den 20. maj, 2010 kl. 10.00",20-05-2010,35772,2010-05-20T14:18:00Z,2010,Socialistisk Folkeparti,2007-2011,121,2010_5
Anne Grete Holmsgaard,0.20270949683936948,0.13313280043315195,Anne Grete Holmsgaard,20091_M93_referat,20091,93,"Referat af møde 93 den 19. maj, 2010 kl. 13.00",19-05-2010,35550,2010-05-19T19:17:00Z,2010,Socialistisk Folkeparti,2007-2011,103,2010_5
Anne-Marie Meldgaard,-0.5060282550619395,0.37410469068804003,Anne-Marie Meldgaard,20091_M88_referat,20091,88,"Referat af møde 88 den 6. maj, 2010 kl. 10.00",06-05-2010,32599,2010-05-06T10:48:00Z,2010,Socialdemokratiet,2007-2011,122,2010_5
Astrid Krag,-0.12441608112541255,0.12225792424349963,Astrid Krag,20091_M97_referat,20091,97,"Referat af møde 97 den 26. maj, 2010 kl. 13.00",26-05-2010,37279,2010-05-26T18:15:00Z,2010,Socialistisk Folkeparti,2007-2011,191,2010_5
Benedikte Kiær,-0.4426937097257076,0.12073790482809413,Benedikte Kiær,20091_M87_referat,20091,87,"Referat af møde 87 den 5. maj, 2010 kl. 13.00",05-05-2010,32501,2010-05-05T15:54:00Z,2010,Det Konservative Folkeparti,2007-2011,372,2010_5
Benny Engelbrecht,-0.047376987696125195,0.04642524451279805,Benny Engelbrecht,20091_M98_referat,20091,98,"Referat af møde 98 den 27. maj, 2010 kl. 10.00",27-05-2010,37454,2010-05-27T14:40:00Z,2010,Socialdemokratiet,2007-2011,58,2010_5
Bent Bøgsted,0.26062470986596514,0.12632651154293575,Bent Bøgsted,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,33819,2010-05-11T13:25:00Z,2010,Dansk Folkeparti,2007-2011,823,2010_5
Bente Dahl,0.09762185275119703,0.09663525152418086,Bente Dahl,20091_M98_referat,20091,98,"Referat af møde 98 den 27. maj, 2010 kl. 10.00",27-05-2010,37413,2010-05-27T13:26:00Z,2010,Det Radikale Venstre,2007-2011,148,2010_5
Birgitte Josefsen,0,0.21081851067789195,Birgitte Josefsen,20091_M89_referat,20091,89,"Referat af møde 89 den 7. maj, 2010 kl. 10.00",07-05-2010,33546,2010-05-07T16:53:00Z,2010,Venstre,2007-2011,75,2010_5
Bjarne Laustsen,0.059913727684922306,0.04836921502187623,Bjarne Laustsen,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,34070,2010-05-11T17:44:00Z,2010,Socialdemokratiet,2007-2011,262,2010_5
Carina Christensen,-0.0033954456338103024,0.10875130064980304,Carina Christensen,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,34112,2010-05-11T18:18:00Z,2010,Det Konservative Folkeparti,2007-2011,368,2010_5
Carsten Hansen,0,0.6324555320336759,Carsten Hansen,20091_M97_referat,20091,97,"Referat af møde 97 den 26. maj, 2010 kl. 13.00",26-05-2010,37055,2010-05-26T15:19:00Z,2010,Socialdemokratiet,2007-2011,62,2010_5
Christine Antorini,0.11327413817751296,0.07343684015846223,Christine Antorini,20091_M96_referat,20091,96,"Referat af møde 96 den 25. maj, 2010 kl. 12.00",25-05-2010,36744,2010-05-25T16:52:00Z,2010,Socialdemokratiet,2007-2011,140,2010_5
Claus Hjort Frederiksen,-0.059017809168780924,0.061051813864678756,Claus Hjort Frederiksen,20091_M91_referat,20091,91,"Referat af møde 91 den 12. maj, 2010 kl. 13.00",12-05-2010,34264,2010-05-12T13:11:00Z,2010,Venstre,2007-2011,183,2010_5
Eigil Andersen,0.4918760079347533,0.1830797285379826,Eigil Andersen,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,33836,2010-05-11T13:38:00Z,2010,Socialistisk Folkeparti,2007-2011,733,2010_5
Ellen Trane Nørby,-0.8782916805304859,0.17901930583903522,Ellen Trane Nørby,20091_M88_referat,20091,88,"Referat af møde 88 den 6. maj, 2010 kl. 10.00",06-05-2010,32573,2010-05-06T10:27:00Z,2010,Venstre,2007-2011,1390,2010_5
Erling Bonnesen,0.263387988429732,0.0964162520988957,Erling Bonnesen,20091_M86_referat,20091,86,"Referat af møde 86 den 4. maj, 2010 kl. 13.00",04-05-2010,31971,2010-05-04T19:12:00Z,2010,Venstre,2007-2011,150,2010_5
Eyvind Vesselbo,0.30458716020713783,0.1550684462778262,Eyvind Vesselbo,20091_M95_referat,20091,95,"Referat af møde 95 den 21. maj, 2010 kl. 10.00",21-05-2010,36486,2010-05-21T15:17:00Z,2010,Venstre,2007-2011,599,2010_5
Flemming Bonne,0,0.24618298195866548,Flemming Bonne,20091_M98_referat,20091,98,"Referat af møde 98 den 27. maj, 2010 kl. 10.00",27-05-2010,37304,2010-05-27T10:24:00Z,2010,Socialistisk Folkeparti,2007-2011,337,2010_5
Flemming Damgaard Larsen,-0.8791320467237265,0.4115341787786775,Flemming Damgaard Larsen,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,34163,2010-05-11T19:26:00Z,2010,Venstre,2007-2011,83,2010_5
Flemming Møller Mortensen,0,0.19611613513818404,Flemming Møller Mortensen,20091_M86_referat,20091,86,"Referat af møde 86 den 4. maj, 2010 kl. 13.00",04-05-2010,32286,2010-05-04T23:32:00Z,2010,Socialdemokratiet,2007-2011,203,2010_5
Frank Aaen,-0.1720340251485521,0.06586334702234473,Frank Aaen,20091_M94_referat,20091,94,"Referat af møde 94 den 20. maj, 2010 kl. 10.00",20-05-2010,35966,2010-05-20T17:20:00Z,2010,Enhedslisten,2007-2011,73,2010_5
Gitte Lillelund Bech,-0.3641798414650368,0.18290464822891922,Gitte Lillelund Bech,20091_M87_referat,20091,87,"Referat af møde 87 den 5. maj, 2010 kl. 13.00",05-05-2010,32538,2010-05-05T16:17:00Z,2010,Venstre,2007-2011,470,2010_5
Hanne Agersnap,0.36631468604601575,0.12893106990354264,Hanne Agersnap,20091_M99_referat,20091,99,"Referat af møde 99 den 28. maj, 2010 kl. 9.00",28-05-2010,37746,2010-05-28T10:50:00Z,2010,Socialistisk Folkeparti,2007-2011,143,2010_5
Hans Kristian Skibby,-0.20581505174847087,0.050236625671974296,Hans Kristian Skibby,20091_M89_referat,20091,89,"Referat af møde 89 den 7. maj, 2010 kl. 10.00",07-05-2010,33196,2010-05-07T11:44:00Z,2010,Dansk Folkeparti,2007-2011,218,2010_5
Helge Adam Møller,-0.2837104899712286,0.08156418698062205,Helge Adam Møller,20091_M98_referat,20091,98,"Referat af møde 98 den 27. maj, 2010 kl. 10.00",27-05-2010,37551,2010-05-27T16:23:00Z,2010,Det Konservative Folkeparti,2007-2011,116,2010_5
Helle Sjelle,-0.6185865208437088,0.113471463946578,Helle Sjelle,20091_M99_referat,20091,99,"Referat af møde 99 den 28. maj, 2010 kl. 9.00",28-05-2010,37826,2010-05-28T11:41:00Z,2010,Det Konservative Folkeparti,2007-2011,240,2010_5
Henriette Kjær,0.05928749033268682,0.22379906617152096,Henriette Kjær,20091_M88_referat,20091,88,"Referat af møde 88 den 6. maj, 2010 kl. 10.00",06-05-2010,32790,2010-05-06T14:26:00Z,2010,Det Konservative Folkeparti,2007-2011,191,2010_5
Henrik Brodersen,0,0.5345224838248488,Henrik Brodersen,20091_M97_referat,20091,97,"Referat af møde 97 den 26. maj, 2010 kl. 13.00",26-05-2010,36866,2010-05-26T13:08:00Z,2010,Dansk Folkeparti,2007-2011,96,2010_5
Henrik Dam Kristensen,-0.3144350697312216,0.26428229884920074,Henrik Dam Kristensen,20091_M94_referat,20091,94,"Referat af møde 94 den 20. maj, 2010 kl. 10.00",20-05-2010,35685,2010-05-20T11:28:00Z,2010,Socialdemokratiet,2007-2011,883,2010_5
Henrik Høegh,-6.286376723168139,1.6973431458972665,Henrik Høegh,20091_M98_referat,20091,98,"Referat af møde 98 den 27. maj, 2010 kl. 10.00",27-05-2010,37434,2010-05-27T14:06:00Z,2010,Venstre,2007-2011,282,2010_5
Ib Poulsen,0,0.6324555320336759,Ib Poulsen,20091_M93_referat,20091,93,"Referat af møde 93 den 19. maj, 2010 kl. 13.00",19-05-2010,35168,2010-05-19T13:07:00Z,2010,Dansk Folkeparti,2007-2011,79,2010_5
Ida Auken,0.3018232797796459,0.40496962439705203,Ida Auken,20091_M87_referat,20091,87,"Referat af møde 87 den 5. maj, 2010 kl. 13.00",05-05-2010,32380,2010-05-05T13:37:00Z,2010,Socialistisk Folkeparti,2007-2011,442,2010_5
Inger Støjberg,-0.3126705976320484,0.09560893672778029,Inger Støjberg,20091_M97_referat,20091,97,"Referat af møde 97 den 26. maj, 2010 kl. 13.00",26-05-2010,37081,2010-05-26T15:30:00Z,2010,Venstre,2007-2011,222,2010_5
Jacob Jensen,0.007125186763774764,0.35509983415516405,Jacob Jensen,20091_M89_referat,20091,89,"Referat af møde 89 den 7. maj, 2010 kl. 10.00",07-05-2010,33263,2010-05-07T12:34:00Z,2010,Venstre,2007-2011,104,2010_5
Jakob Axel Nielsen,0.168364199856677,0.07181733074168255,Jakob Axel Nielsen,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,34036,2010-05-11T17:18:00Z,2010,Det Konservative Folkeparti,2007-2011,293,2010_5
Jens Kirk,-0.9225579714771664,0.40798479917451014,Jens Kirk,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,33900,2010-05-11T14:52:00Z,2010,Venstre,2007-2011,115,2010_5
Jens Peter Vernersen,0.4374024146485152,0.31284384521267466,Jens Peter Vernersen,20091_M91_referat,20091,91,"Referat af møde 91 den 12. maj, 2010 kl. 13.00",12-05-2010,34464,2010-05-12T15:06:00Z,2010,Socialdemokratiet,2007-2011,221,2010_5
Jens Vibjerg,-0.2239054696763021,0.15069900000084535,Jens Vibjerg,20091_M96_referat,20091,96,"Referat af møde 96 den 25. maj, 2010 kl. 12.00",25-05-2010,36771,2010-05-25T17:08:00Z,2010,Venstre,2007-2011,419,2010_5
Jeppe Kofod,-0.415612627923983,0.07592011835054088,Jeppe Kofod,20091_M99_referat,20091,99,"Referat af møde 99 den 28. maj, 2010 kl. 9.00",28-05-2010,37816,2010-05-28T11:35:00Z,2010,Socialdemokratiet,2007-2011,155,2010_5
Jesper Langballe,0.3121858126299564,0.16758596748455235,Jesper Langballe,20091_M96_referat,20091,96,"Referat af møde 96 den 25. maj, 2010 kl. 12.00",25-05-2010,36826,2010-05-25T18:15:00Z,2010,Dansk Folkeparti,2007-2011,141,2010_5
Jesper Petersen,0.33636631706253994,0.056773823983904174,Jesper Petersen,20091_M88_referat,20091,88,"Referat af møde 88 den 6. maj, 2010 kl. 10.00",06-05-2010,32798,2010-05-06T14:40:00Z,2010,Socialistisk Folkeparti,2007-2011,444,2010_5
Johanne Schmidt-Nielsen,-0.6028136259210881,0.1619649193485129,Johanne Schmidt-Nielsen,20091_M97_referat,20091,97,"Referat af møde 97 den 26. maj, 2010 kl. 13.00",26-05-2010,37223,2010-05-26T17:20:00Z,2010,Enhedslisten,2007-2011,208,2010_5
John Dyrby Paulsen,-0.6336533588045955,0.24752194455159154,John Dyrby Paulsen,20091_M96_referat,20091,96,"Referat af møde 96 den 25. maj, 2010 kl. 12.00",25-05-2010,36572,2010-05-25T12:47:00Z,2010,Socialdemokratiet,2007-2011,170,2010_5
Jonas Dahl,-0.02827671411802517,0.22021623122912706,Jonas Dahl,20091_M86_referat,20091,86,"Referat af møde 86 den 4. maj, 2010 kl. 13.00",04-05-2010,32251,2010-05-04T22:37:00Z,2010,Socialistisk Folkeparti,2007-2011,124,2010_5
Julie Rademacher,-0.8684763890798337,0.18471197448435078,Julie Rademacher,20091_M88_referat,20091,88,"Referat af møde 88 den 6. maj, 2010 kl. 10.00",06-05-2010,32641,2010-05-06T11:16:00Z,2010,Socialdemokratiet,2007-2011,187,2010_5
Julie Skovsby,0.20881817240863254,0.09328357944212616,Julie Skovsby,20091_M89_referat,20091,89,"Referat af møde 89 den 7. maj, 2010 kl. 10.00",07-05-2010,33139,2010-05-07T11:02:00Z,2010,Socialdemokratiet,2007-2011,166,2010_5
Jørgen Poulsen,-0.3380166104576405,0.13871268225247776,Jørgen Poulsen,20091_M99_referat,20091,99,"Referat af møde 99 den 28. maj, 2010 kl. 9.00",28-05-2010,37743,2010-05-28T10:50:00Z,2010,Ny Alliance,2007-2011,154,2010_5
Jørn Dohrmann,0.07413491764467973,0.1769555922221642,Jørn Dohrmann,20091_M98_referat,20091,98,"Referat af møde 98 den 27. maj, 2010 kl. 10.00",27-05-2010,37522,2010-05-27T15:46:00Z,2010,Dansk Folkeparti,2007-2011,92,2010_5
Kamal Qureshi,-0.6694015061236025,0.22862946747216661,Kamal Qureshi,20091_M98_referat,20091,98,"Referat af møde 98 den 27. maj, 2010 kl. 10.00",27-05-2010,37576,2010-05-27T17:06:00Z,2010,Socialistisk Folkeparti,2007-2011,923,2010_5
Karen Hækkerup,0.57157956462422,0.26467632296256566,Karen Hækkerup,20091_M98_referat,20091,98,"Referat af møde 98 den 27. maj, 2010 kl. 10.00",27-05-2010,37334,2010-05-27T10:51:00Z,2010,Socialdemokratiet,2007-2011,276,2010_5
Karen Jespersen,-1.1044411857924334,0.6251235719073032,Karen Jespersen,20091_M96_referat,20091,96,"Referat af møde 96 den 25. maj, 2010 kl. 12.00",25-05-2010,36540,2010-05-25T12:05:00Z,2010,Venstre,2007-2011,92,2010_5
Karina Lorentzen Dehnhardt,-1.415360844650125,0.3927295100526741,Karina Lorentzen Dehnhardt,20091_M86_referat,20091,86,"Referat af møde 86 den 4. maj, 2010 kl. 13.00",04-05-2010,31859,2010-05-04T16:45:00Z,2010,Socialistisk Folkeparti,2007-2011,114,2010_5
Karsten Hønge,0.025258350456364292,0.14761899843980353,Karsten Hønge,20091_M97_referat,20091,97,"Referat af møde 97 den 26. maj, 2010 kl. 13.00",26-05-2010,37108,2010-05-26T15:47:00Z,2010,Socialistisk Folkeparti,2007-2011,52,2010_5
Karsten Lauritzen,0.2980561261647871,0.07454264176613283,Karsten Lauritzen,20091_M99_referat,20091,99,"Referat af møde 99 den 28. maj, 2010 kl. 9.00",28-05-2010,37837,2010-05-28T11:54:00Z,2010,Venstre,2007-2011,131,2010_5
Karsten Nonbo,-1.3447177378001514,1.1107916331867307,Karsten Nonbo,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,33927,2010-05-11T15:35:00Z,2010,Venstre,2007-2011,213,2010_5
Kim Andersen,0.28145685061161063,0.35724690196914927,Kim Andersen,20091_M98_referat,20091,98,"Referat af møde 98 den 27. maj, 2010 kl. 10.00",27-05-2010,37441,2010-05-27T14:24:00Z,2010,Venstre,2007-2011,262,2010_5
Kim Christiansen,0.09685148471745351,0.07909091280625781,Kim Christiansen,20091_M92_referat,20091,92,"Referat af møde 92 den 18. maj, 2010 kl. 12.00",18-05-2010,35084,2010-05-18T17:51:00Z,2010,Dansk Folkeparti,2007-2011,588,2010_5
