From,To,overlaps.OV,Month
Fremskridtspartiet,Socialistisk Folkeparti,0.606890676796046,1990-10-01
Fremskridtspartiet,Radikale Venstre,0.5762130063772632,1990-10-01
Fremskridtspartiet,Det Konservative Folkeparti,0.4251358727216486,1990-10-01
Fremskridtspartiet,Venstre,0.7046753171942443,1990-10-01
Fremskridtspartiet,Socialdemokratiet,0.5429869010025142,1990-10-01
Fremskridtspartiet,Centrum,0.46012400930532577,1990-10-01
Fremskridtspartiet,Kristeligt Folkeparti,0.5153971133505975,1990-10-01
Socialistisk Folkeparti,Fremskridtspartiet,0.606890676796046,1990-10-01
Socialistisk Folkeparti,Radikale Venstre,0.6455391850599109,1990-10-01
Socialistisk Folkeparti,Det Konservative Folkeparti,0.5513169633127887,1990-10-01
Socialistisk Folkeparti,Venstre,0.7423351548375547,1990-10-01
Socialistisk Folkeparti,Socialdemokratiet,0.7446071769283196,1990-10-01
Socialistisk Folkeparti,Centrum,0.5377594120027775,1990-10-01
Socialistisk Folkeparti,Kristeligt Folkeparti,0.7096160226473616,1990-10-01
Radikale Venstre,Fremskridtspartiet,0.5762130063772632,1990-10-01
Radikale Venstre,Socialistisk Folkeparti,0.6455391850599109,1990-10-01
Radikale Venstre,Det Konservative Folkeparti,0.5560014417402319,1990-10-01
Radikale Venstre,Venstre,0.6251014875381332,1990-10-01
Radikale Venstre,Socialdemokratiet,0.7272114709084742,1990-10-01
Radikale Venstre,Centrum,0.6264923388479838,1990-10-01
Radikale Venstre,Kristeligt Folkeparti,0.5468084361745743,1990-10-01
Det Konservative Folkeparti,Fremskridtspartiet,0.4251358727216486,1990-10-01
Det Konservative Folkeparti,Socialistisk Folkeparti,0.5513169633127887,1990-10-01
Det Konservative Folkeparti,Radikale Venstre,0.5560014417402319,1990-10-01
Det Konservative Folkeparti,Venstre,0.5116897080397387,1990-10-01
Det Konservative Folkeparti,Socialdemokratiet,0.6439264872375078,1990-10-01
Det Konservative Folkeparti,Centrum,0.5323246609078578,1990-10-01
Det Konservative Folkeparti,Kristeligt Folkeparti,0.45069703782577925,1990-10-01
Venstre,Fremskridtspartiet,0.7046753171942443,1990-10-01
Venstre,Socialistisk Folkeparti,0.7423351548375547,1990-10-01
Venstre,Radikale Venstre,0.6251014875381332,1990-10-01
Venstre,Det Konservative Folkeparti,0.5116897080397387,1990-10-01
Venstre,Socialdemokratiet,0.6814903766624284,1990-10-01
Venstre,Centrum,0.5221225263455659,1990-10-01
Venstre,Kristeligt Folkeparti,0.5535700229041778,1990-10-01
Socialdemokratiet,Fremskridtspartiet,0.5429869010025142,1990-10-01
