"","id","text","doc_id","Year","Name","who"
"1","19901_M7_referat","jeg er altid fascineret af hr. glønborgs evne til at få tingene ned på jorden, sådan at vi alle sammen kan forstå dem. derfor er jeg da også fascineret af hr. glønborgs flystop for folketingsmedlemmer. når jeg nævner det, er det, fordi det i virkeligheden er et godt eksempel på, hvor vidtrækkende konsekvenser tingene vil få, hvis vi går så drastisk til værks, som hr. glønborg nævnte. det er nu ikke for at diskutere dette ene forslag, men blot for at sige, at her kommer vi så i konflikt, for der er jo ingen folketingsmedlemmer, der sidder 4 km oppe i luften for deres fornøjelses skyld. næh, folketingsmedlemmer futter rundt i luftrummet over danmark, fordi vi føler, vi har en pligt over for demokratiet til at komme ud og diskutere med vælgerne og ud og besøge hver en kreds af borgere i dette land. derude får vi så en prioritetsdiskussion, hr. glønborg, om det, som det på den ene side godt kan være at hr. glønborg miljømæssigt har ret i, og om, at vi demokratisk får et ganske voldsomt problem, hvis folketingsmedlemmer bare burer sig inde her. det er ikke for at kritisere hr. glønborgs synspunkt - sådan skal det ikke opfattes - men det er for ined udgangspunkt i dette netop at vise, hvor vidtrækkende denne diskussion i virkeligheden kan blive for nogle meget fundamentale principper i vort samfund. så vil jeg gerne sige ministeren tak for de positive kommentarer til det, jeg sagde. jeg vil bare for at forebygge misforståelse sige, at jeg ikke mener hverken noget nedladende eller noget 769 49 23 10 90: forespørgsel vedr. ipcc s rapport om klimaforandringer 770 andet ved at sige, at jeg mener, vi skal bruge vo- miljøministeren lone dybkjær : res miljømæssige ressourcer i højere grad i uddet er den type af eksempler, vi er nødt til at landet end her. jeg mener faktisk, at man må ta- regne igennem, og det er derfor, at jeg ikke syge eksemplets magt - ministeren sagde, vi skul- nes, det er så enkelt her og nu at lave en plan. le gå i spidsen, og det har vi i meget høj grad enhver kan lave en plan, men det, der er vigtigt gjort - som udgangspunkt. hvis vi ikke havde at få med i en sådan plan, hvis man skal lave gjort noget i dette land, skulle jeg være den før- dramatiske ændringer - og det er det, fru marste til at sige, at vi skulle. ministeren må ikke grete auken vil - er alle de sociale og kulturelle opfatte det, som om det ikke er noget, vi skal konsekvenser. så vil jeg påstå, at det ikke kan gøre selv. jeg mener bare, at det niveau, vi er lade sig gøre på et halvt år. nået til hos os, gør, at de marginale ændringer, hermed vender jeg mig til hr. jes lunde, som vi kan foretage, er forholdsvis alt for dyre i for- jeg synes havde den gode idé, at vi prøver at finhold til den effekt, det vil få ved at gøre det an- de nogle eksempler. jeg tror nemlig, at det, det dre steder: det var sådan, ministeren skulle op- drejer sig om her, er, at vi om et konkret eksemfatte det. pel spørger: hvad betyder det? så skal jeg da love for, at fru margrete auken hvad betyder det f.eks., når et folketingsflerhar levet op til sin krónik i dag, for fru margrete tal vedtager, at vi fortsat vil have nogle landsbyauken ville gerne have samtale, og selv om vi er . er? jeg mener, at det betyder noget på enermeget uenige, er der da ét punkt, hvor fru giområdet. jeg er ikke i stand til at sige, hvor margrete auken altså gerne vil samtale. det er meget det betyder med hensyn til c02-effekten. første gang, jeg i lange tider har hørt fru mar- jeg ville umiddelbart tro, at det betød noget grete auken sige, at hun gerne vil diskutere merudledning af c02 - men jeg er ikke sikker atomkraft. derfor vil jeg da foreslå, at fru fordi det betyder længere transportveje. margrete auken og jeg eller sf og cd i fællesdet har også en lang række andre konseskab stiller en forespørgsel om atomkraften, for kvenser, som er modgående. det gør, at det ikså kunne vores to partier dog tvinge den diskus- ke er så nemt at være så forfærdelig firkantet. sion frem. det vil jeg hilse med glæde. jeg er jeg er jo tilhænger af kubikmeterafgifterne, og sikker på, at erfaringerne fra sverige godt kun- jeg synes også, at man skal prøve at finde en ne bruges i en debat i folketinget, så jeg synes, form. vi kender alle vanskelighederne ved det. at vi skulle gøre det, fru margrete auken, men elselskaberne er imod, og jeg ved ikke, hvem der ikke er imod. det gælder også telefonafgifdet kan vi jo overveje. terne. det eneste, jeg i hvert fald ikke er klar over, miljøministeren lone dybkjær : er, hvilke sociale, kulturelle og samfundsmæsdet skal blive nogle relativt få afsluttende besige konsekvenser det har. men der er i hvert mærkninger. jeg synes, fru hanne severinsen, fald en ting, der er sikkert, at når det drejer sig hr. glønborg og hr. duetoft er inde på nogle om vandledningsafgiften og vandudledningerspændende eksempler, som vi er nødt til at disne, som man har forskellige steder, er kapitalinkutere: hvilken pris er vi villige til at betale? vesteringerne så store, at selv om folk sparer på jeg tror i og for sig, at det er den diskussion, vandet, giver det ikke nedslag. der er en anden som jeg efterlyste hos fru margrete auken, eller ting, jeg også er sikker på: så bliver folk meget rettere, det er de synspunkter, jeg synes vi er sure. nødt til at have med. med andre ord: vil vi acdet skyldes, at vi ingen pris har på vand i øjeceptere, at c02-parameteren er den eneste styblikket og slet ikke på snavset vand. det er en rende parameter, hvorefter vi indretter alt an- del af problemet. vi har kun den afgift, vi lægdet, eller vil vi have andre værdinormer ind i ger på. det vil sige, at der er en enorm forskel billedet? det er sådan set det, der er vigtigt at få imellem afgiften og så selve grundbeløbet på diskuteret, og også, hvor meget vi skal have ind. vand. det betyder, hvis man lægger det om, at det er også det, der gør, at det er en utrolig . . . folk så tror, at de ved at spare på vandet får en",530483,1990,"Peter Duetoft","Gustav"
"2","19901_M20_referat","mit partis ordfører, fru marianne jelved, kan desværre ikke være til stede. jeg skal derfor på vegne af det radikale venstre holde en lille ordførertale. først vil jeg gerne takke ministeren for redegørelsen. dernæst vil jeg sige, at nordisk råds arbejde igennem de senere år er blevet meget diskuteret i lyset af dels den internationale udvikling, dels den partipolitiske udvikling i nordisk råd. det har været med til at præge nordisk råds debatter og beslutninger de seneste år, og det har ført til, at organisationskomiteen blev nedsat for at komme med forslag til effektivisering og perspektivisering af arbejdet. de senere år har i særdeleshed været præget af diskussioner om ef og om efta og om nordens rolle i et nyt europa. i det radikale venstre har vi fulgt disse diskussioner med stor interesse og har selv præget dem, bl.a. gennem organisationskomiteens arbejde. i det radika- 2294 le venstre er vi ovetbevist om, at det nordiske samarbejdes betydnihg vil øges i fremtiden med den hastige internationalisering. de nordiske lande skal ikke bare tilpasse sig den europæiske udvikling, for de nordiske lande - og dermed nordisk råd - har faktisk noget at tilbyde det øvrige europa. hvad er de nordiske landes styrke, og hvad er deres svaghed? vores svaghed er, at vi ikke tilsammen har vist deft politiske vilje til gennemgribende fjernelse af handelshindringer og andre barrierer for et åbent norden. vor styrke er, at vi til trods for denne svaghed har udviklet et tæt samarbejde på en mængde praktiske og politiske områder. jeg henviser her til samarbejdsministerens indlæg, der gør rede for det kulturelle samarbejde, samarbejdet om miljø og det økonomiske samarbejde. jeg vil gerne benytte lejligheden til at takke ministeren for initiativet over for de baltiske lande. i det radikale venstre er vi meget tilfredse med, at der oprettes informationskontorer i de tre baltiske lande, og at der er afsat midler til stipendier og til samarbejdsprojekter. de nordiske lande har en meget stærk position i de baltiske lande, og det vil efter vores opfattelse være en fordel for de baltiske lande og for så vidt også en fordel for os, at vi får mere samkvem, vi får mere samfærdsel, vi kommer hinanden nærmere på en lang række områder. det vil være på sin plads, at vi i de nordiske lande gør os klart, hvad det er, vi især kan bidrage med i den internationale udvikling. den sociale dimension, den sociale sikkerhed i hverdagen er en vigtig side af samfundslivet i de nordiske lande, og på miljøområdet har vi stor viden og en del erfaringer. det grundlæggende nordiske syn på minoriteters ret er præget af respekt og solidaritet. de nordiske demokratibegreber er præget af stærk folkelig forankring og af tradition for folkelige bevægelser og samarbejde om mange samfundsforhold. det er et bredere demokratibegreb, end vi ser i andre lande. og endelig er nordisk råd i virkeligheden et stærkt internationalt parlamentarisk samarbejde. nordisk råd og det nordiske samarbejde, de nordiske fælles erfaringer og traditioner kan bruges i et nyt europa. nordisk råd kan meget, hvis den politiske vilje er til stede. det vil vi i det radikale venstre arbejde for at den er. hver for sig kan vi meget, men i fællesskab kan vi altså mere. 2295 21 11 90: 1. beh. af f. t. beslutn. vedr. nordisk råds virksomhed -90",146963,1990,"Hans Larsen-Ledet","Gustav"
"3","19901_M9_referat","som det allerede er sagt, er der mange elementer i dette lovforslag, som vi nu behandler. det er noget af, hvad skal vi kalde det, en sammenkogt ret, men hovedformålet er at sikre, at gensidige forsikringsforeninger kan lade sig omdanne til aktieselskaber. det skyldes bl.a. det, flere ordførere har nævnt, at de gensidige selskaber bliver fuldt indkomstskattepligtige af overskuddet fra 1. januar næste år. forslaget vil altså tillade gensidige forsikringsforeninger at lade sig omdanne. heri ligger, og det vil jeg gerne understrege, ikke en opfordring til, at alle gensidige forsikringsforeninger skal lade sig omdanne til aktieselskaber. venstre går også ind for, at vi gennemfører de samme lempelsesregler for brugsforeninger, sparekasser osv. og også for dem, der omdannes, som vi har for aktieselskaber. venstre kan også støtte, at vi får et bundfradrag på i mio. kr. for de gensidige forsikringsselskaber. vi har ikke de samme bekymringer, som sf s ordfører har nævnt her fra talerstolen for lidt siden. venstre går også ind for at give sygeforsikringsvirksomhed - og her drejer det sig om danmark, det er den eneste, vi har - skattefrihed. med hensyn til provenuvirkningen, som også har været omtalt af flere ordførere, er det nok svært at foretage en vurdering på nuværende tidspunkt, så det vil jeg ikke sige meget mere om. venstre går også ind for, at investeringsfonden for østlandene fritages for beskatning, ligesom vi allerede har for industrialiserings- 1082 fonden for udviklingslandene. vi håber fra venstres side, at vi kan få en hurtig udvalgsbehandling, således at alle disse forskellige elementer kan få virkning ret hurtigt.",803597,1990,"Jens Skrumsager Skau","Gustav"
"4","19901_M17_referat","justitsministeriet har tidligere i forbindelse med besvarelsen af flere ,retsudvalgsspørgsmål oplyst, at den foreslåede ændring af retsplejeloven ikke ville indebære, at andre myndigheder i videre omfang end det, der allerede fulgte af gældende lovgivning, skulle videregive oplysninger til politiet til brug for efterforskningen. tværtimod blev det understreget i lovforslaget, at politiet skal benytte de allerede eksisterende regler, når politiet ønsker oplysninger til efterforskningen. det er nu fastsat i § 115 b, stk. 2, 2. pkt., at oplysninger i forbindelse med det kriminalitetsforebyggende arbejde ikke må videregives med henblik på politiets efterforskning af straffesager. herved understreges, at reglerne om videregivelse af oplysninger alene finder anvendelse i forbindelse med den del af politiets faktiske virksomhed, der retter sig mod kriminalitetsforebyggende samarbejde. justitsministeriet kan endelig oplyse, at ssparbejdet ikke indgår som et middel til politiets efterforskning af straffesager, og at de sociale myndigheder ikke i forbindelse med ssp-arbejdet skal videregive oplysninger til politiet til brug for efterforskningen eller i øvrigt deltage i politiets arbejde. spm. nr. til udenrigsministeren 23 10 90 af:",87330,1990,"Hans Engell","Gustav"
"5","19911_M30_referat","lad mig begynde med det positive. forslaget bygger efter fremskridtspartiets opfattelse på nogle rigtige og saglige kriterier. vi synes, at når man giver boligstøtte, skal man tage udgangspunkt i, at boligen har en rimelig størrelse i forhold til antallet af familiemedlemmer. det lægger forslaget op til, og det synes vi er rigtigt. men jeg er nødt til at sige, at der også er ting ved forslaget, som vi synes mindre godt om. hvis forslaget kun havde omfattet § 2, der siger, at boligstøtten til alle, som søger efter den l januar 1993, skal beregnes efter disse nye og lavere arealkrav, havde vi syntes, det var rimeligt. man havde givet folk en rimelig periode til at indstille sig på, at sådan forholdt det sig. 3636 men hvis vi ser på § 1, som siger, at nedskæringen af støtten til de overskydende kvadratmeter skal træde i kraft allerede fra den 1. januar 1992, er vi ikke enige. vi synes, det er urimeligt, at pensionister, som er fyldt 75 eller 80 år og måske har boet i samme lejlighed år, skal tvinges til at flytte eller få et kraftigt fald i deres disponible indkomst på denne måde. det er en forholdsvis kort tidshorisont, der er tale om, hvis man lod den gruppe blive boende med den nuværende støtte i den tid, de har tilbage her på jorden, og så lovgav man heller ikke med tilbagevirkende kraft, som man i realiteten gør med forslaget her. i modsætning til fru lissa mathiasen mener jeg ikke, at der er nogen social balance i at tvinge den gruppe ældre mennesker over i en 65 m2 stor ældrebolig. man skal altså gøre sig klart, at mange af dem ikke engang er hverken fysisk eller psykisk i stand til at klare en flytning, og derfor synes vi, at det er menneskeligt forkert at behandle den gruppe ældre så drastisk. og må jeg så sige til fru lissa mathiasen, at jeg kunne jo også stå og gøre mig lystig over de taler, fru lissa mathiasen holdt heroppefra, da fremskridtspartiet havde indgået finanslovforlig , hvor man havde lavet nedskæringer for pensionisterne på 45 kr. om måneden. der var ikke grænser for, hvad socialdemokratiet kaldte det, man talte om umenneskelige, asociale nedskæringer, men her går socialdemokratiet med på 2.000 kr. pr. år. set i relation til det lille skridt, vi tog , er der jo unægtelig en forskel. det er jo en kendsgerning, at en pensionist kan miste op til 2.000 kr. pr. år allerede fra den 1. januar 1992, og det er også en kendsgerning, at pensionisternes boligstøtte reduceres med 650 mio. kr. over 4 år. fremskridtspartiet vil stille et ændringsforslag, som går ud på, at forslaget kun skal være gældende for nye ansøgninger efter den 1. januar 1993, når det gælder pensionister, og hvis det ændringsforslag kan blive vedtaget, så vi kan få fjernet den urimelighed, kan vi støtte forslaget, som vi i øvrigt synes er fornuftigt. kort bemærkning .",50061,1991,"Kirsten Jacobsen","Gustav"
"6","19911_M28_referat","hvis hr. gade vil opnå megen erfaring, kan det bl.a. ske ved at høre efter, hvad folk siger. og jeg svarede udtrykkeligt på spørgsmålet om, hvad der efter min mening var tiltalende i det, der forelå. det er forlængelsen af den udvikling, der begyndte, da vi kom med i valutaslangen og senere kom med i ems en, at målet for fremtiden skal være, at valutakurserne slet ikke kan ændres. det har jeg udtrykkeligt svaret på. da jeg var i hr. gades alder, løftede jeg sikkert også flaget så højt, at det kneb med at få fødderne til at nå jorden en gang imellem, men det er en af de ting, man vænner sig af med, når erfaringen melder sig.",47225,1991,"Erhard Jakobsen","Gustav"
"7","19911_M7_referat","er vi også positive over for: vi kan altid drøfte her sidst på dagen er vi så kommet frem til nogle afgrænsninger. det gælder det første regeringens flagskib på beskæftigelsessiden. vi punkt om at forhøje førsteårsafskrivningen. vi husker alle sammen den 10. september, den er principielt positive over for dette forslag, store dag, hvor man skulle have en stor konfe- men jeg synes, det er naturligt, at vi under udrence, og det, der så er kommet ud af den kon- valgsarbejdet drøfter, hvor meget det skal ference, er de to lovforslag, vi har til forhand- dække. der kommer sikkert deputationer med nogle informationer, så vi måske kan få afklaling i dag. der er mange delforslag indeholdt i lovfor- ret nogle af disse spørgsmål. men i princippet slag nr. , og jeg kan sige til ministeren, at er vi positive. jeg synes også, det letter oprettelsen af nye vi kan støtte dem alle. finansieringen af forslagene, som er en nedsættelse af varelagerned- virksomheder og udvidelsen af bestående, at skrivningssatsen fra 30 pet. til 15 pet., vil vi lige man får fradragsret for udgifter til undersøgelvurdere og se nærmere på. så er der alle forsla- se af nye markeder. det er vi positive over for. gene til fremine af vækst og beskæftigelse, som jeg bemærkede, at én ordfører mente, at det der blev talt meget om på konferencen den 10. her kunne blive til et tagselvbord. vi vil naturseptember, nemlig straksafskrivninger på høj- ligvis være optaget af, om pengene er klogest teknologiske investeringsgoder osv., og om anvendt her eller andre steder. vi har ikke ubeforhøjelse af satsen for førsteårsafskrivninger grænsede midler, så det er hele tiden spørgsfra 30 pet. til 40 pet. dér er noget, jeg ikke helt målet, hvordan vi får mest beskæftigelse. derforstår. man har jo den lille bestemmelse, som for vil vi også gerne under udvalgsarbejdet haogså står i lovforslagets bemærkninger, på side ve vurderet, om det er den helt tigtige model. 5, om straksafskrivninger på 5.000 kr.: kunne også lovforslagets andre dele kan vi gå ind man ikke - det er ikke noget, vi beder om - for. forslaget om etableringskonti synes vi er men kunne man ikke forhøje den? ville det ik- godt og rigtigt. det, vi er interesseret i at få at ke give lidt forenklinger i disse tider? det er vide i den forbindelse, er, hvor mange der ópikke noget krav fra cd, men det er noget, som retter en etableringskonto uden nogen sinde at vi vil bringe ind i udvalgsbehandlingen. etablere en virksomhed. jeg ved ikke, om minifradragsret for udgifter i forbindelse med steren allerede her kan oplyse noget om det. undersøgelser af nye markeder, altså advokat- for man kan jo komme til at stå med et vanog revisorudgifter osv. i forbindelse med eta- skeligt og ubehageligt efterbeskatningsproblering osv., synes vi er en god idé, ligesom vi blem, eller måske kaster man sig ud i noget, naturligvis som alle de øvrige ordførere kan som man ellers ikke ville have gjort, hvis man støtte fradrag for skovdrift og udgifter til plant- ikke havde haft den etableringskonto. principning af juletræer m.v. pet er rigtigt, men måske har det også nogle om etableringskonti vil jeg sige, at det ikke uheldige virkninger. for vi kan da være enige er noget stort og faretruende, ministeren begi- om, at det ikke er godt for den, der måske har ver sig ud i, og derfor kan vi også støtte den del sparet ganske mange penge op, og som står til af lovforslaget. en betydelig efterbeskatning, fordi man ikke alt i alt vil jeg sige: vi har lidt krøller at sæt- får etableret virksomheden. te på lovforslaget, når vi skal til at gå det igenså er der finansieringen, som skal ske ved en nem, men ellers kan vi tilsige vores støtte til nedtrapning af adgangen til at foretage vareladet og også til det efterfølgende om afgift ved gernedskrivning. varelagernedskrivningen tjeoverdragelse af aktier m.v. ner som en slags konjunkturudligning, og jeg kan huske, at svenskerne i forbindelse med dekofod-svendsen krf : res skattereform indførte, tror jeg, en konjunkjeg opfatter dette lovforslag som den første turudligningsfond. jeg vil gerne høre, om, miudmøntning af det, der blev drøftet på den sto- nisteren i forbindelse med den finansieringsre konference den 10. september, og jeg går ud kilde, der her lægges op til, ville være åben 753 22 10 91: 1. beh. af f. t. 1. vedr. forskellige skattelove. vækstfremmeinitiativer",14035,1991,"Bente Juncker","Gustav"
"8","19921_M11_referat","vil ministeren - såfremt anmodningen om dansk deltagelse i den høring om sikkerheden på de nedlukkede svenske atomreaktorer, herunder barsebäck, som den svenske miljøminister har givet tilsagn om vil blive afholdt 4. december 1992, bliver imødekommet - efterfølgende få udarbejdet en rapport herom til folketingets miljøudvalg og kommunaludvalg?« skriftlig begrundelse der er skabt usikkerhed om det sikre i at genåbne de 5 reaktorer herunder barsebäck , der har været lukket ned på grund af fejl i nødkølesystemerne. den svenske naturfredningsforening, tidligere finansminister kjell-olof feldt og lilli gyldenkilde, tidligere nr-medlem, har i den offentlige debat i sverige krævet, at der bliver afholdt en offentlig høring om sikkerheden på atomkraftværkerne. dette er nu imødekommet af den svenske miljøminister, olof johansson: høringen afholdes den 4. december 1992. med danmarks tætte beliggenhed 20 km fra barsebäck er det helt naturligt, at danske myndigheder orienterer sig om sikkerheden ved at igangsætte disse reaktorer igen. samtidig bør danske myndigheder kræve, at afviklingsplanen for atomkraft inden år 2010 indebærer, at barsebäck bliver lukket først. barsebäck er ca. 20 år gammelt: det er en høj alder for et atomkraftværk, og problemerne begynder nu også at vise sig.",160066,1992,"Lilli Gyldenkilde","Gustav"
"9","19931_M31_referat","nu er jeg jo desværre ikke medlem af regeringen, så det får jeg nok ikke lejlighed til at stemme om. jeg vil godt sige, at socialdemokratiet jo har brugt hovedstadsområdet som et godt argument for at få miljøagenturet, og det er lykkedes. lad ikke det blive fordunklet af noget som helst andet!",338466,1993,"Martin Glerup","Gustav"
"10","19921_M83_referat","det er fuldstændig korrekt, at oplysningerne tom behnke fp : i berlingske tidende stammer fra ministeren, i virkeligheden er der ikke noget til hinder som i går offentliggjorde resultatet af den del- for, at cd holder deres gruppemøder her i saundersøgelse, der var lavet. len og fra folketingets talerstol. det skal vi i men jeg har også forstået, som hr. peter hvert fald ikke blande os i. duetoft var inde på det, at det er ministerens det, der ligger i det her, er, at vi gennem den agt at fortsætte denne undersøgelse, for det seneste tid har hørt adskillige rygter om, at der drejer sig kun om to uger, og det kan være en arrangeres busrejser og lignende som en orgatilfældighed. det er muligt, at det ikke er det, niseret transport til danmark. men det er der ingen af os der kan sige noget så får vi en bekræftelse fra en undersøgelse, om. derfor er det rimeligt og seriøst at fortsæt- der har omfattet to uger - og det er rigtigt, at te undersøgelsen. det kun er to uger - og af de personer, man i men jeg synes til gengæld, det er urimeligt deri periode har fået til landet, har 94 pet. væaf hr. helge adam møller at tale om, at der er ret i et andet sikkert land, inden de kommer uld i munden hos utrolig mange regeringsord- hertil. det er dog et vink med en vognstang, så førere. så mange er vi nu heller ikke, men vi er det kan mærkes i flere uger efter. da nogle stykker. men vi sagde klart, at vi geruanset om det her nu bliver bekræftet eller ne ville være med til at prøve at løse dette pro- ej af de fortsatte undersøgelser, som indenrigsblem, men at vi er enig med ministeren i, at det - ministeriet har sat i værk, må det dog være reer faktisk ikke sådan at løse, hvis man ikke - lativt let .at have en holdning til den situation, hvad hr. helge adam møller ganske vist godt som her er lagt for dagen. hvis undersøgelsen vil - vil bygge en mur ved den danske grænse, bliver bekræftet, hvad vil man så gøre ved det? og hvis man ikke totalt vil afskære spontan- vi hører her, at cd vil det ene, det vil det anasylansøgere fra at komme til vores grænse, det, og jeg stillede det konkrete spørgsmål: selv om vi bør kunne tage imod nogle af dem. vil man i så fald være med til de nødvendige vi har været åbne over for, at hvis den fortsatte ændringer af loven om midlertidig opholdstilundersøgelse viser det samme billede, så er der ladelse? givetvis ting, der skal gøres noget ved, og det det kan man godt forholde sig til på nuvæhar vi erklæret vores villighed til at deltage i, rende tidspunkt. men vi synes altså ikke, at tingene kan løses endelig til hr. peter duetofts bemærkninger helt på samme måde med et *fingerknips, som om fremskridtspartiet: de viser bare, hvor hr. helge adam møller mener. lavt et niveau man er på, og at man ikke har nogen saglige argumenter. kort bemærkning .",271408,1993,"Dorte Bennedsen","Gustav"
