"","id","text","doc_id","Year","Name","who"
"1","19901_M17_referat","i konklusionerne fra det europæiske råds møde i rom - det var jo den 27. og 28. oktober i år - blev den 1. januar 1994 fastsat som en slags måldato for overgangen til anden fase af ømu en. men det forudsætter sandelig, at en lang række betingelser bliver opfyldt forinden, og så skulle der i begyndelsen af anden fase oprettes en ny fællesskabsinstitution. men hvad den skal beskæftige sig med i den såkaldte anden fase, vil først blive afklaret på den kommende regeringskonference. hvad angår regeringens holdning, kan jeg sige, at den stadig er udtrykt i det danske efmemorandum. heri siges: for at høste de fulde økonomiske fordele af ømu en finder den danske regering det mest hensigtsmæssigt med en kort anden fase med hurtig overgang til den endelige fase.« med disse romkonklusioner ser det ud til, at de forberedende faser, første og anden fase, godt kan komme til at vare 6-7 år. hvor man vælger tidsmæssigt at lægge grænsen mellem første og anden fase, mener vi ikke i sig selv er afgørende. det afgørende må være, hvilket indhold anden fase får, og dette fastlægges som nævnt på den kommende konference.",81436,1990,"Poul Schlüter","Morten"
"2","19901_M20_referat","jeg er meget vel klar over, at regeringens hel- 2209 139 21 11 90: spørgsmål til ministrene hedsplan selvfølgelig ikke er løsningen på alle problemer - derfor fortjener den vel også knap nok betegnelsen helhedsplan - men alligevel synes jeg, det er underligt, at når man nu vil lave omlægninger i skattepolitikken med så store milliardbeløb, som der er tale om, er det kun en meget lille del af det, man foretager, der berører miljøet, på trods af de advarsler, vi internationalt har fået om, at miljøproblemerne er voksende, og at vi er nødt til at reagere på dem utrolig snart, hvis ikke det skal ende i en økologisk katastrofe. derfor vil jeg godt til de betænkeligheder, som økonomiministeren opregnede kunne være begrundelser for, at man ikke kunne gå frem i et hurtigt tempo, spørge, om ministeren ikke synes, det er et problem at betragte fjernelsen af 6 pct.-skatten som et uafviseligt hasteproblem, mens derimod miljøproblemerne er noget, der kan vente.",130715,1990,"Jes Lunde","Morten"
"3","19902_M41_referat","den seneste udvikling i sydafrika giver anledning til betydelig optimisme, og jeg vil gerne begynde med at nævne de væsentligste punkter: præsident de klerks erklæring fra 1. februar om, at den resterende del af apartheidlovgivningen vil blive afskaffet allerede i indeværen- 3862 de parlamentssamling, er allerede blevet udmøntet i konkrete lovgivningsinitiativer på væsentlige områder. og når de sidste lovforslag er fremlagt, vil der være taget et afgørende skridt hen imod et ikkeracedelt samfund. den sydafrikanske regering og anc indgik den 12. februar i år en aftale om den nærmere forståelse af centrale dele af den aftale fra august sidste år, hvor anc gik ind på at suspendere brugen af væbnet kamp. med den nye aftale accepterer den sydafrikanske regering bl.a., at fredelige demonstrationer er normale politiske udtryksformer. hermed imødekommer den sydafrikanske regering et vedvarende krav fra anc om ret til forsamlings- og ytringsfrihed også for de sorte bevægelser. det er en aftale, som tillige danner grundlag for den genoptagne frigivelse af politiske fanger og repatriering af anc-eksilerede. hermed er i realiteten 80 pet. af anc-medlemmerne i eksil sikret automatisk ret til at vende tilbage, og så vidt jeg er orienteret, vil de resterende frivilligt opholde sig i udlandet, indtil anc definitivt har skrinlagt brugen af væbnet kamp. vi ser nu, hvordan løsladelsen af politiske fanger sker kontinuerligt i små grupper. det er på denne baggrund den almindelige forventning, som også anc synes at dele, at der snart kan indledes egentlige forhandlinger i sydafrika om en ny demokratisk forfatning. der kan ikke være tvivl om, at der med denne seneste udvikling er givet yderligere næring til overvejelserne om lempelse af forskellige landes sanktioner over for sydafrika. blandt danmark nærtstående lande er der enighed om at understøtte og fremskynde dialogen og forhandlingsprocessen i sydafrika igennem en gradvis ophævelse af sanktionerne. det gælder ef-landene, som allerede har ophævet ef-forbudet mod nyinvesteringer og nu er i færd med at forberede ophævelsen af forbudet mod import af guldmønter og jern og stål fra sydafrika, og det gælder også de nordiske lande. i udtalelsen fra det nordiske udenrigsministermøde i sverige den 22.-23. marts bliver der lagt op til en trinvis ophævelse af de nordiske landes sanktioner over for sydafrika. der er enighed om at starte med at afskaffe de fællesnordiske retningslinier for administration af visumpligten, der jo hidtil har sat begrænsninger med hensyn til kontakten med sydafrika på det kulturelle, det sportslige og det teknisk-videnskabelige område. 3863 2 4 91:1. beh. af f. 1.1. vedr. handel med den sydafrikanske republik og namibia",623979,1991,"Uffe Ellemann-Jensen","Morten"
"4","19902_M38_referat","kan ministeren oplyse, om videbæk kommunes byrådsbeslutning af 13. november 1990, der gør forskel på byboere og landboere med hensyn til renovationsafhentning og -afgifter, er i overensstemmelse med den kommunale lighedsgrundsætning?« begrundelse et flertal i videbæk kommunes byråd har i november 1990 truffet beslutning om en renovationsordning, der giver en urimelig forskelsbehandling mellem byboere og landboere i kommunen. ordningen er trådt i kraft den 1. januar 1991 og indebærer, at borgere i landområdet skal købe en 240 liters container af kommunen til de- 3562 res husholdningsaffald og betale en pris af 1.390 kr. om året. byboere i kommunen skal betale 900 kr. om året for at få tømt en affaldssæk en gang om ugen. beboere i landområder får tømt hver 14. dag til en højere pris. der henvises til et citat fra renovationsselskabet esø 90 i s, som er en sammenslutning af 5 kommuner foruden videbæk kommune, § 7, økonomi, stk. 2: esø s gebyrer og takster for benyttelse af renovationsordningerne er ens uanset affaldsproducentens og affaldsbehandlingsanlæggets beliggenhed i renovationsområdet.« det er principielt urimeligt, at en kommune gennemfører en væsentlig dårligere serviceordning på renovationsområdet for en gruppe af kommunens borgere og samtidig kræver en højere betaling for denne, når ordningen ikke er frivillig, men tvungen, og ikke må udføres af anden renovation end esø. spørgeren finder, at byrådet har tilsidesat det vigtige forvaltningsmæssige lighedsprincip, og spørgeren opfordrer ministeren til at henstille til videbæk byråd at omgøre sin beslutning. foreløbigt svar 13 3 9 l :",592293,1991,"Niels Højland","Morten"
"5","19902_M32_referat","jeg kan da godt følge forslagsstillerne så langt - altså følge dem med hensyn til bekymringen, når det gælder boligselskabernes engagementer, som kan påføre lejerne tab. er der grund til bekymring, er der forhold, som kan bringe boligselskaberne ud i nogle tvivlsomme engagementer, så er det da noget, vi skal kigge på: så langt kan jeg følge forslagsstillerne. men vi har bestemt ikke noget imod, at vi har en vis eksport på dette område. den viden og ekspertise, vi har opbygget på boligområdet, kan vi roligt dele med andre, og er der nogle muligheder for at eksportere noget af dette, ser vi det gerne. jeg må afvise det foreliggende lovforslag, og jeg har noteret mig boligministerens ord om, at boligministeriet kigger på forholdene omkring misbrug af ordningerne. derfor har jeg tillid til, at de huller, der eventuelt måtte være, bliver stoppet. men som lovforslaget ligger her, kan kristeligt folkeparti ikke støtte det.",504914,1991,"Henning Lysholm Christensen","Morten"
"6","19911_M66_referat","sf er enig i, at det er et stort problem, at vi har en så voldsom statsgæld, der giver nogle fordelingspolitiske virkninger, som er ubehagelige. det betyder for at sige det groft, at fremtidens skatteydere skal betale de skatter, som ikke bliver betalt i dag, og hvis fremskridtspartiet var villigt til at anlægge den synsvinkel på sagen, kunne det da være, vi kunne mødes om det. 8093 19 3 92: forespørgsel om afviklingen af statens gæld jeg mener nemlig, at hovedårsagen til, at vi har en stor statsgæld og løbende problemer med underskuddet på statsfinanserne, er, at vi ikke er villige til at opkræve skatterne ordentligt. derer i dag alt for mange fidusmuligheder for at undgå beskatning, og så længe det er sådan, vil der være mange, der smutter igennem nettet. de lader være med at betale skat, og i stedet får de en forfærdelig masse penge til rådighed, som de kan bruge til at købe statsobligationer for, og det er så penge, som vi andre i fremtiden skal afdrage og forrente. jeg er enig i, at der er politisk problem, og vi kan snakke sammen, hvis fremskridtspartiet vil være med til vores løsning af sagen. det betyder selvfølgelig også, at det fremtidige skattetryk bliver større, end det ellers ville have været, som økonomiministeren rigtigt var inde på, men det er altså ikke ligegyldigt, hvordan man tackler det. hvis man vil forsøge at tackle statsgælden på den måde, som jeg har indtryk af at fremskridtspartiet gerne vil, nemlig ved at stille forslag om dramatiske nedskæringer af alle offentlige udgifter, uanset hvad de bruges til, sådan som vi senest så det ved ændringsforslagene til finansloven, vil det betyde, at arbejdsløsheden vil eksplodere helt ukontrolleret. vi har i forvejen 300.000 arbejdsløse, og hvis fremskridtspartiets politik bliver gennemført, vil den halve million arbejdsløse være nået, inden der er gået særlig mange måneder: det kan vi selvfølgelig ikke være med til. omvendt må jeg sige, at regeringens måde at løse problemerne på, som det måske mest tydeligt kom til udtryk hos hr. peter brixtofte, at hvis vi bare fik økonomisk vækst, skulle det hele nok løses, tror vi heller ikke på. vi mener ikke, at det er muligt at satse på en så høj materiel vækst i fremtiden. de økologiske problemer, der er i verden, gør, at vi er nødt til at besinde os og erkende, at vi i den rige vestlige verden ikke kan tillade os et større. træk på ressourcerne og en grovere forurening end den, vi allerede står for. tværtimod er vi nødt til at neddrosle på en masse punkter, og det betyder, at de ideer, vi har om at udvikle os, skal vi bruge på at blive mere økologisk velfungerende og få en bæredygtig udvikling, så vi ikke forringer livskvaliteten for fremtidige generationer. det er det, vi skal bruge vores energi på, og ikke på at få en vild materiel vækst. 8094 derfor er der for os at se kun én vej ud af den store statsgæld, og det er at sørge for, at de mennesker, der har godt råd, også kommer til at betale deres skat, at de ikke kan slippe igennem alle hullerne, og at vi får en beskatning af samfundsskabte værdistigninger. det står der ikke noget om i fremskridtspartiets forslag til dagsorden: der står bare, at regeringen skal lave en plan. vi ved, hvilke intentioner fremskridtspartiet har, for det kunne vi se på dets ændringsforslag til finansloven, og da vi ingen tillid har til den politik, regeringen ville foreslå, hvis den endelig skulle komme med en plan for dette område, kan vi altså ikke støtte fremskridtspartiets dagsorden. hvis fremskridtspartiet derimod er villigt til at ændre dagsordenen, så der i slutningen af den kommer til at stå, at der skal laves en realistisk plan for afvikling af statsgælden, bl.a. gennem lukning af muligheder for skattespekulation, er vi til at snakke med. kort bemærkning .",106517,1992,"Jes Lunde","Morten"
"7","19921_M8_referat","vil ministeren udarbejde et notat, som viser kommunernes gebyrpolitik for samme ydelser, f.eks. daginstitutionsbetaling, el, vand, renovation og evt. andet, herunder beregninger på, hvor stor en belastning dette er for en kontanthjælpsmodtager, en lavtlønnet og en virksomhed med over 10 ansatte?« begrundelse kommunerne har fået hjemmel til at stramme op om restanceinddragelse, hvilket er rimeligt. dog finder spørgeren det helt urimeligt, at en bistandsmodtager på en regning på 200 kr. skal belastes med et gebyr på 200 kr. da der er tale om vidt forskellig gebyrpolitik i kommunerne, er det rimeligt at få et notat, der viser, hvor urimelige gebyrer der faktisk pålægges især de socialt svage, som ofte er dem, der har udestående på grund af deres klemte økonomiske situation. svar 20 10 92 :",156496,1992,"Lilli Gyldenkilde","Morten"
"8","19911_M40_referat","hermed tillader jeg mig at fremsætte: forslag til lov om det danske klasselotteri a s. lovforslag nr. . ved lovforslaget foreslås det kgl. københavnske klasselotteri omdannet til et aktieselskab, der ved en bevilling får tilladelse til at afholde klasselotteri. lovforslaget skal ses i lyset af regeringens bestræbelser for modernisering og effektivisering af den offentlige sektor. det kgl. københavnske klasselotteri er i dag en institution under skatteministeriet. det er intentionerne, at aktieselskabet skal have mulighed for at tilrettelægge spillet på baggrund af en kommerciel vurdering. det bliver således ved omdannelsen til et aktieselskab muligt at bevare klasselotteriet som det klassiske spil, det er, og med de traditioner, der er forbundet hermed, samtidig med at lotteriet udvikles og moderniseres. der er ved lovforslagets udatbejdelse lagt vægt på, at det fastansatte personales, herunder kollektørernes, rettigheder og vilkår ikke forringes i forbindelse med overgangen til det nye selskab. 5141 16 1 92: skriftlig fremsættelse",69269,1992,"Anders Fogh Rasmussen","Morten"
"9","19911_M62_referat","hvorledes vil ministeren sikre, at danske arbejdsmiljøkrav fastholdes over for udenlandske producenter og leverandører, der leverer eksempelvis asbestholdige produkter og maleprodukter uden kodenumre og brugsanvisning, sådan som det kræves af danske producenter?« arbejdsministeren kirkegaard : det kan oplyses, at såvel danske som udenlandske producenter og leverandører af kemiske produkter skal overholde de krav om mærkning, etikettering, brugsanvisning m.v., der er fastsat i henholdsvis stofdirektivet, præparatdirektivet og sikkerhedsdatabladdirektivet. for asbestholdige produkter findes de relevante bestemmelser om mærkning i stofdirektivet og i det såkaldte 76-direktiv om markedsføring og anvendelse af visse farlige stoffer og præparater. hvad angår markedsføring og anvendelse er 76-direktiyet et minimumslignende direktiv. dette medfører, at kravene til asbestholdige produkter fortsat kan reguleres af strengere danske bestemmelser. for så vidt angår produkter til erhvervsmæssigt malerarbejde, skal disse forsynes med kodenummer i overensstemmelse med arbejds- 7519 11 3 92: spørgsmål til ministrene",98877,1992,"Tommy Dinesen","Morten"
"10","19911_M59_referat","jeg skal sige til fru pernille frahm, som bruger de sædvanlige floskler - der efterhånden ligger til socialistisk folkeparti - om specielle menneskesyn, at vi i fremskridtspartiet ikke har et mere specielt menneskesyn end de medlemmer af regeringspartierne, som i disse minutter blot sidder og bøjer nakken og føler sig som hr. flovmand. det er nøjagtig de samme synspunkter. forskellen er bare, at fremskridtspartiet tager konsekvensen, stemmer imod denne lovgivning, som vi synes er fuldstændig tåbelig, gør nøjagtigt det samme i folketingssalen, som vi gør rundt omkring til medierne og i forsamlingshusene, hvor medlemmer af regeringspartierne slår sig op på at være de store humanitære åndsfæller her i folketingssalen, men hvor tingene er anderledes ude i det virkelige liv. dér har vi ren - og så er jeg fristet til at sige noget, man ikke må sige fra folketingets talerstol, men fru pernille frahm ved godt, hvad jeg mener - og så synes jeg ikke, man blot kan sige, at vi har et specielt menneskesyn. jeg vil tillade mig at sige, at de folketingsmedlemmer, som i dag stemmer for denne særlovgivning, burde udstyres med narrehatte. så kunne befolkningen med sine egne øjne se, hvem det er, der har gjort det. jeg synes, det er så flovt for folketinget, det, der foregår her i øjeblikket.",93872,1992,"Pia Kjærsgaard","Morten"
