split;reason;text;value
0;;"Onsdag den 21. november 2012 (D)

23. møde";
81;Time;"Dagsorden
1) Spørgsmål til statsministeren til umiddelbar besvarelse (spørgetime).
2) Besvarelse af oversendte spørgsmål til ministrene (spørgetid).
(Se nedenfor).
3) 1. behandling af lovforslag nr. L 70:
Forslag til lov om udbyttedeling ved anvendelse af genetiske resurser.
Af miljøministeren (Ida Auken).
(Fremsættelse 15.11.2012).
4) 1. behandling af lovforslag nr. L 71:
Forslag til lov om ændring af lov om Kort- og Matrikelstyrelsen. (Fri
anvendelse af visse data samt varetagelse af søopmåling).
Af miljøministeren (Ida Auken).
(Fremsættelse 15.11.2012).

1) Til justitsministeren af:
Jan E. Jørgensen (V):
Kan ministeren bekræfte, at det ridende politi har været sat ind i forbindelse med fodboldkampe, rydning af Ungdomshuset, demonstrationer i Sandholmlejren og COP15, og vil ministeren i den forbindelse redegøre for, hvorfor ministeren gav urigtige oplysninger, da ministeren i et samråd i Retsudvalget den 8. november 2012 sagde, at
politiets rytterisektion i København ikke har været sat ind i forbindelse med håndtering af gadeuroligheder og lignende optøjer?
(Spm. nr. S 482).
2) Til justitsministeren af:
Jan E. Jørgensen (V):
Agter ministeren at genoverveje beslutningen om at nedlægge det ridende politi på baggrund af de nye oplysninger om det ridende politis aktiviteter?
(Spm. nr. S 483).
3) Til justitsministeren af:";kl. 13.00
1441;name_party;":
Hvad er ministerens holdning til et landsdækkende og permanent
dna-register, som ville gøre, at pædofile voldtægtsforbrydere kunne
fanges på et tidligt tidspunkt?
(Spm. nr. S 490).

1

4) Til justitsministeren af:";Peter Skaarup
1675;name_party;":
Kan ministeren forklare sin holdning til de meget korte og symbolske straffe for pædofili, der øger risikoen for, at pædofile kører rundt
i landet og kidnapper piger, som de voldtager, når de i stedet kunne
sidde fængslet eller være medicinsk kastreret, og i den sammenhæng
forklare spørgeren, hvorfor ministeren modarbejder disse foranstaltninger?
(Spm. nr. S 491).
5) Til beskæftigelsesministeren af:
Joachim B. Olsen (LA):
Anerkender ministeren, at østarbejdere og andre udenlandske arbejdstagere bidrager positivt til væksten og velstanden i Danmark?
(Spm. nr. S 437 (omtrykt)).
6) Til beskæftigelsesministeren af:";Peter Skaarup
2311;name_party;":
Hvordan vil ministeren forsvare den åbenlyse forskelsbehandling
mellem ledige, der opbruger retten til dagpenge før den 1. januar
2013, og ledige, der opbruger retten til dagpenge efter den 1. januar
2013?
(Spm. nr. S 479).
7) Til beskæftigelsesministeren af:";Ulla Tørnæs
2588;name_party;":
Hvordan vil ministeren forsvare den åbenlyse forskelsbehandling,
der kommer til at finde sted for kontanthjælpsmodtagere, der er omfattet af modregning af formue og ægtefælles indkomst, og kontanthjælpsmodtagere, der er omfattet af »uddannelsesløft for ledige«, jf.
finanslovforslaget for 2013?
(Spm. nr. S 480).
8) Til kulturministeren af:";Ulla Tørnæs
2950;name_party;":
Hvad har ministeren af visioner for fremtidens folkeoplysning?
(Spm. nr. S 485).
9) Til kulturministeren af:";Anni Matthiesen
3082;name_party;":
Hvad er ministerens kommentar til den seneste udvikling i Egedalsvængesagen, mener ministeren, at det er udtryk for kulturel udvikling, når beboerbestyrelsen i Egedalsvænge vedtager at afskaffe julen i et bestemt boligområde, fastholder ministeren, at danske traditioner, herunder julen, er til forhandling, og hvilke grupper og personer mener ministeren, at danskerne skal forhandle med?
(Spm. nr. S 489).

2

Onsdag den 21. november 2012 (US )";Martin Henriksen
3541;Time;Meddelelser fra formanden;Kl. 13:00
3580;title_name;"Mødet er åbnet.
I dag er der følgende anmeldelse:
Erhvervs- og vækstministeren (Annette Vilhelmsen):
Lovforslag nr. L 87 (Forslag til lov om ændring af lov om finansiel
virksomhed, lov om værdipapirhandel m.v., lov om betalingstjenester og elektroniske penge og forskellige andre love. (Videregivelse
af oplysninger til anklagemyndighed og politi, oprettelse af Det Systemiske Risikoråd, sammenlægning af Det Finansielle Virksomhedsråd og Fondsrådet, shortselling, ny tilgang til håndhævelse af
solvenskrav og etablering af tilsyn med referencerenter m.v.).
Titlen på den anmeldte sag vil fremgå af www.folketingstidende.dk
(jf. ovenfor).
Fra statsministeren har jeg modtaget meddelelse om, at ressortansvaret for Nordsøfonden, herunder Nordsøenheden, med den til området
hørende lovgivning overføres fra klima-, energi- og bygningsministeren til erhvervs- og vækstministeren.
Meddelelsen vil fremgå af www.folketingstidende.dk.

Det første punkt på dagsordenen er:
1) Spørgsmål til statsministeren til umiddelbar besvarelse (spørgetime).";Formanden
