split;reason;text;value
0;;"Tirsdag den 28. april 2020 (D)

1

Energipolitisk redegørelse 2020.
(Redegørelse nr. R 13).

99. møde

Eksemplarer vil blive omdelt, og redegørelsen vil fremgå af
www.folketingstidende.dk.
Der er ikke aftalt en dato for forhandling af redegørelsen.";
286;Time;;kl. 13.00
297;Time;"Dagsorden
1) Spørgsmål om fremme af forespørgsel nr. F 56:
Forespørgsel til justitsministeren om misinformation på de soci‐
ale medier.
Af Morten Messerschmidt (DF) og Peter Skaarup (DF).
(Anmeldelse 24.04.2020. Omtrykt).
2) Spørgsmål om fremme af forespørgsel nr. F 57:
Forespørgsel til statsministeren om håndtering af coronapande‐
mien.
Af Kristian Thulesen Dahl (DF), Jakob Ellemann-Jensen (V) og
Søren Pape Poulsen (KF).
(Anmeldelse 24.04.2020).
3) Eventuelt: 2. behandling af lovforslag nr. L 172:
Forslag til lov om ændring af lov om fremme af vedvarende energi
og lov om naturgasforsyning. (Bemyndigelse til midlertidig fravigel‐
se af frister og andre betingelser som følge af covid-19).
Af klima-, energi- og forsyningsministeren (Dan Jørgensen).
(Fremsættelse 21.04.2020. 1. behandling 23.04.2020. Betænkning
27.04.2020).";Kl. 13:00
1142;Time;Meddelelser fra formanden;Kl. 13:00
1205;title_name;":
Mødet er åbnet.
I dag er der følgende anmeldelse:

Samtykke til behandling";Karen Ellemann
1317;title_name;":
Det punkt, som er opført som nr. 3 på dagsordenen, kan kun med
Tingets samtykke behandles i dette møde. Hvis ingen gør indsigelse,
betragter jeg samtykket som givet.
Det er givet.

Det første punkt på dagsordenen er:
1) Spørgsmål om fremme af forespørgsel nr. F 56:
Forespørgsel til justitsministeren om misinformation på de soci‐
ale medier.
Af Morten Messerschmidt (DF) og Peter Skaarup (DF).
(Anmeldelse 24.04.2020. Omtrykt).
Sammen med dette punkt foretages:
2) Spørgsmål om fremme af forespørgsel nr. F 57:
Forespørgsel til statsministeren om håndtering af coronapande‐
mien.
Af Kristian Thulesen Dahl (DF), Jakob Ellemann-Jensen (V) og
Søren Pape Poulsen (KF).
(Anmeldelse 24.04.2020).";Karen Ellemann
2020;Time;;Kl. 13:01
2057;title_name;":
Hvis ingen gør indsigelse mod fremme af disse forespørgsler, betrag‐
ter jeg Tingets samtykke som givet.
Det er givet.";Karen Ellemann
2214;title_name;":
Lovforslag nr. L 181 (Forslag til lov om ændring af lov om en
rejsegarantifond).
Titlen på den anmeldte sag vil fremgå af www.folketingstidende.dk
(jf. ovenfor).
Klima-, energi- og forsyningsministeren (Dan Jørgensen) har med‐
delt mig, at han ønsker i henhold til forretningsordenens § 19, stk. 4,
at give Folketinget en skriftlig

Det sidste punkt på dagsordenen er:
3) 2. behandling af lovforslag nr. L 172:
Forslag til lov om ændring af lov om fremme af vedvarende
energi og lov om naturgasforsyning. (Bemyndigelse til midler‐

2

Tirsdag den 28. april 2020 (FM )

tidig fravigelse af frister og andre betingelser som følge af co‐
vid-19).
Af klima-, energi- og forsyningsministeren (Dan Jørgensen).
(Fremsættelse 21.04.2020. 1. behandling 23.04.2020. Betænkning
27.04.2020).";Simon Kollerup
3006;Time;Forhandling;Kl. 13:01
3055;title_name;":
Før vi går i gang med forhandlingen, skal jeg gøre opmærksom på,
at vi i Præsidiet har besluttet at ændre måden, hvorpå forhandlingen
gennemføres. Ændringen indebærer, at alle taler – det gælder både
minister- og ordførertaler og de korte bemærkninger – bliver afviklet
fra medlemmernes pladser. Af hensyn til udarbejdelsen af referatet
er det meget vigtigt, at man ikke begynder at tale, før den røde ring
på mikrofonen lyser. Man vil som normalt kunne se den resterende
taletid nederst til højre i afstemningspanelet på pladsen.
Så vender vi tilbage til andenbehandlingen af lovforslag nr. L 172.
Der er ikke stillet ændringsforslag.
Ønsker nogen at udtale sig?
Da det ikke er tilfældet, er forhandlingen sluttet.
Jeg foreslår, at lovforslaget går direkte til tredje behandling uden
fornyet udvalgsbehandling. Hvis ingen gør indsigelse mod dette,
betragter jeg det som vedtaget.
Det er vedtaget.";Karen Ellemann
3965;Time;Meddelelser fra formanden;Kl. 13:03
4028;title_name;":
Så er der ikke mere at foretage i dette møde.
Det næste møde afholdes i dag kl. 13.20, hvor vi begynder med
tredjebehandlingen af L 172.
Mødet er hævet. (Kl. 13:03).";Karen Ellemann
