row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id
Anne-Marie Meldgaard,0.12950730265614932,0.50448658707586,Anne-Marie Meldgaard,20091_M88_referat,20091,88,"Referat af møde 88 den 6. maj, 2010 kl. 10.00",06-05-2010,32599,2010-05-06T10:48:00Z,2010,Socialdemokratiet,2007-2011,122,2010_5
Benny Engelbrecht,-0.15060903632010678,0.053176145067270794,Benny Engelbrecht,20091_M95_referat,20091,95,"Referat af møde 95 den 21. maj, 2010 kl. 10.00",21-05-2010,36482,2010-05-21T15:14:00Z,2010,Socialdemokratiet,2007-2011,115,2010_5
Birgitte Josefsen,-0.18061230196930872,0.06524251408176338,Birgitte Josefsen,20091_M89_referat,20091,89,"Referat af møde 89 den 7. maj, 2010 kl. 10.00",07-05-2010,33254,2010-05-07T12:31:00Z,2010,Venstre,2007-2011,114,2010_5
Bjarne Laustsen,0.26491618617687696,0.04268102031839837,Bjarne Laustsen,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,34022,2010-05-11T17:05:00Z,2010,Socialdemokratiet,2007-2011,141,2010_5
Carsten Hansen,0,0.6324555320336759,Carsten Hansen,20091_M97_referat,20091,97,"Referat af møde 97 den 26. maj, 2010 kl. 13.00",26-05-2010,37055,2010-05-26T15:19:00Z,2010,Socialdemokratiet,2007-2011,62,2010_5
Christine Antorini,0.14504185272985962,0.08789060606813322,Christine Antorini,20091_M96_referat,20091,96,"Referat af møde 96 den 25. maj, 2010 kl. 12.00",25-05-2010,36784,2010-05-25T17:25:00Z,2010,Socialdemokratiet,2007-2011,195,2010_5
Claus Hjort Frederiksen,0.6837587528924469,0.12819688437066956,Claus Hjort Frederiksen,20091_M91_referat,20091,91,"Referat af møde 91 den 12. maj, 2010 kl. 13.00",12-05-2010,34429,2010-05-12T14:46:00Z,2010,Venstre,2007-2011,140,2010_5
Ellen Trane Nørby,0.39075372370406325,0.17364076785201688,Ellen Trane Nørby,20091_M94_referat,20091,94,"Referat af møde 94 den 20. maj, 2010 kl. 10.00",20-05-2010,35599,2010-05-20T10:14:00Z,2010,Venstre,2007-2011,240,2010_5
Erling Bonnesen,-0.44533511572105733,0.06955724604229684,Erling Bonnesen,20091_M94_referat,20091,94,"Referat af møde 94 den 20. maj, 2010 kl. 10.00",20-05-2010,36117,2010-05-20T20:26:00Z,2010,Venstre,2007-2011,349,2010_5
Eyvind Vesselbo,0.24882644074481877,0.16001982733466302,Eyvind Vesselbo,20091_M95_referat,20091,95,"Referat af møde 95 den 21. maj, 2010 kl. 10.00",21-05-2010,36494,2010-05-21T15:24:00Z,2010,Venstre,2007-2011,149,2010_5
Flemming Damgaard Larsen,-0.6128191372384241,0.25258295252688273,Flemming Damgaard Larsen,20091_M89_referat,20091,89,"Referat af møde 89 den 7. maj, 2010 kl. 10.00",07-05-2010,33475,2010-05-07T15:57:00Z,2010,Venstre,2007-2011,231,2010_5
Flemming Møller Mortensen,-0.07558647915676565,0.043955752652979456,Flemming Møller Mortensen,20091_M89_referat,20091,89,"Referat af møde 89 den 7. maj, 2010 kl. 10.00",07-05-2010,33728,2010-05-07T19:11:00Z,2010,Socialdemokratiet,2007-2011,164,2010_5
Gitte Lillelund Bech,0.8517480279084404,0.23948286809576652,Gitte Lillelund Bech,20091_M91_referat,20091,91,"Referat af møde 91 den 12. maj, 2010 kl. 13.00",12-05-2010,34317,2010-05-12T13:52:00Z,2010,Venstre,2007-2011,370,2010_5
Henrik Dam Kristensen,0,0.408248290463863,Henrik Dam Kristensen,20091_M94_referat,20091,94,"Referat af møde 94 den 20. maj, 2010 kl. 10.00",20-05-2010,35762,2010-05-20T13:54:00Z,2010,Socialdemokratiet,2007-2011,195,2010_5
Henrik Høegh,-2.83778288977691,0.7068481847280838,Henrik Høegh,20091_M90_referat,20091,90,"Referat af møde 90 den 11. maj, 2010 kl. 12.00",11-05-2010,33926,2010-05-11T15:30:00Z,2010,Venstre,2007-2011,609,2010_5
Inger Støjberg,-1.8997133385052907,0.33394834837732107,Inger Støjberg,20091_M91_referat,20091,91,"Referat af møde 91 den 12. maj, 2010 kl. 13.00",12-05-2010,34571,2010-05-12T16:19:00Z,2010,Venstre,2007-2011,150,2010_5
Jacob Jensen,0,0.5345224838248488,Jacob Jensen,20091_M89_referat,20091,89,"Referat af møde 89 den 7. maj, 2010 kl. 10.00",07-05-2010,33299,2010-05-07T13:44:00Z,2010,Venstre,2007-2011,242,2010_5
