row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id,Month,coalition
Anders Kronborg,-0.18303213717386965,0.24312080251008192,Anders Kronborg,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,1025,2019-10-03T20:29:00Z,2019,Socialdemokratiet,2019-,139,2019-10,2019-10-01T00:00:00Z,Yes
Anne Honoré Østergaard,-0.033496446236182,0.29107762670216414,Anne Honoré Østergaard,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,923,2019-10-03T19:36:00Z,2019,Venstre,2019-,93,2019-10,2019-10-01T00:00:00Z,No
Anne Paulin,0.42194833846968827,0.4023794207102671,Anne Paulin,20191_M13_referat,20191,13,"Referat af møde 13 den 31. oktober, 2019 kl. 10.00",31-10-2019,5158,2019-10-31T10:04:00Z,2019,Socialdemokratiet,2019-,277,2019-10,2019-10-01T00:00:00Z,Yes
Annette Lind,-1.1677477985605682,0.3592415986579319,Annette Lind,20191_M11_referat,20191,11,"Referat af møde 11 den 24. oktober, 2019 kl. 10.50",24-10-2019,4886,2019-10-24T13:53:00Z,2019,Socialdemokratiet,2019-,946,2019-10,2019-10-01T00:00:00Z,Yes
Anni Matthiesen,-0.3949188468476809,0.19681714054161947,Anni Matthiesen,20191_M12_referat,20191,12,"Referat af møde 12 den 25. oktober, 2019 kl. 10.00",25-10-2019,5072,2019-10-25T10:08:00Z,2019,Venstre,2019-,409,2019-10,2019-10-01T00:00:00Z,No
Benny Engelbrecht,-0.38090817888559414,0.4994636974427124,Benny Engelbrecht,20191_M6_referat,20191,6,"Referat af møde 6 den 10. oktober, 2019 kl. 10.00",10-10-2019,2438,2019-10-10T10:34:00Z,2019,Socialdemokratiet,2019-,665,2019-10,2019-10-01T00:00:00Z,Yes
Bertel Haarder,0,0.816496580927726,Bertel Haarder,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,1333,2019-10-03T23:17:00Z,2019,Venstre,2019-,56,2019-10,2019-10-01T00:00:00Z,No
Birgitte Vind,-1.0967842914807806,0.6243767110486239,Birgitte Vind,20191_M12_referat,20191,12,"Referat af møde 12 den 25. oktober, 2019 kl. 10.00",25-10-2019,5062,2019-10-25T10:01:00Z,2019,Socialdemokratiet,2019-,703,2019-10,2019-10-01T00:00:00Z,Yes
Birthe Rønn Hornbech,0,0.816496580927726,Birthe Rønn Hornbech,20191_M9_referat,20191,9,"Referat af møde 9 den 23. oktober, 2019 kl. 10.00",23-10-2019,3914,2019-10-23T10:44:00Z,2019,Venstre,2019-,133,2019-10,2019-10-01T00:00:00Z,No
Bjarne Laustsen,0.6920507540207755,0.665571715230489,Bjarne Laustsen,20191_M4_referat,20191,4,"Referat af møde 4 den 8. oktober, 2019 kl. 13.00",08-10-2019,1623,2019-10-08T16:47:00Z,2019,Socialdemokratiet,2019-,146,2019-10,2019-10-01T00:00:00Z,Yes
