row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id
Alex Ahrendtsen,0,0.3779644730092272,Alex Ahrendtsen,20131_M40_referat,20131,40,"Referat af møde 40 den 16. januar, 2014 kl. 10.00",16-01-2014,150516,2014-01-16T10:29:00Z,2014,Dansk Folkeparti,2011-2015,191,2014_1
Anders Samuelsen,-0.39886467246686447,0.14551395469879785,Anders Samuelsen,20131_M38_referat,20131,38,"Referat af møde 38 den 14. januar, 2014 kl. 13.00",14-01-2014,150266,2014-01-14T13:45:00Z,2014,Liberal Alliance,2011-2015,79,2014_1
Andreas Steenberg,0.47886925530881325,0.24977897276508024,Andreas Steenberg,20131_M41_referat,20131,41,"Referat af møde 41 den 17. januar, 2014 kl. 10.00",17-01-2014,150746,2014-01-17T11:36:00Z,2014,Radikale Venstre,2011-2015,882,2014_1
Ane Halsboe-Jørgensen,0,0.6324555320336759,Ane Halsboe-Jørgensen,20131_M45_referat,20131,45,"Referat af møde 45 den 28. januar, 2014 kl. 13.00",28-01-2014,151801,2014-01-28T16:35:00Z,2014,Radikale Venstre,2011-2015,241,2014_1
Anne Baastrup,0,0.5,Anne Baastrup,20131_M39_referat,20131,39,"Referat af møde 39 den 15. januar, 2014 kl. 13.00",15-01-2014,150458,2014-01-15T14:35:00Z,2014,Socialistisk Folkeparti,2011-2015,556,2014_1
Anni Matthiesen,-0.28474835187395675,0.19621400469817812,Anni Matthiesen,20131_M40_referat,20131,40,"Referat af møde 40 den 16. januar, 2014 kl. 10.00",16-01-2014,150512,2014-01-16T10:24:00Z,2014,Venstre,2011-2015,320,2014_1
Benny Engelbrecht,0.4205425768088229,0.3202525530098566,Benny Engelbrecht,20131_M44_referat,20131,44,"Referat af møde 44 den 23. januar, 2014 kl. 10.00",23-01-2014,151305,2014-01-23T10:44:00Z,2014,Socialdemokratiet,2011-2015,133,2014_1
Bent Bøgsted,-0.12962090858385097,0.14960484658000883,Bent Bøgsted,20131_M38_referat,20131,38,"Referat af møde 38 den 14. januar, 2014 kl. 13.00",14-01-2014,150304,2014-01-14T14:16:00Z,2014,Dansk Folkeparti,2011-2015,701,2014_1
Bertel Haarder,0.7366239673367414,0.2067334900751315,Bertel Haarder,20131_M40_referat,20131,40,"Referat af møde 40 den 16. januar, 2014 kl. 10.00",16-01-2014,150637,2014-01-16T13:23:00Z,2014,Venstre,2011-2015,78,2014_1
Bjarne Laustsen,0,0.6324555320336759,Bjarne Laustsen,20131_M39_referat,20131,39,"Referat af møde 39 den 15. januar, 2014 kl. 13.00",15-01-2014,150483,2014-01-15T15:06:00Z,2014,Socialdemokratiet,2011-2015,836,2014_1
Brian Mikkelsen,0.043318742507855806,0.37476236920682165,Brian Mikkelsen,20131_M44_referat,20131,44,"Referat af møde 44 den 23. januar, 2014 kl. 10.00",23-01-2014,151311,2014-01-23T10:48:00Z,2014,Det Konservative Folkeparti,2011-2015,129,2014_1
Camilla Hersom,-0.08882774337108892,0.13184867597645905,Camilla Hersom,20131_M42_referat,20131,42,"Referat af møde 42 den 21. januar, 2014 kl. 13.00",21-01-2014,150828,2014-01-21T13:01:00Z,2014,Radikale Venstre,2011-2015,184,2014_1
Charlotte Dyremose,-0.021407878048306073,0.2642859552570335,Charlotte Dyremose,20131_M42_referat,20131,42,"Referat af møde 42 den 21. januar, 2014 kl. 13.00",21-01-2014,150833,2014-01-21T13:05:00Z,2014,Det Konservative Folkeparti,2011-2015,283,2014_1
