row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id,coalition
Annette Lind,0.33926372261961435,2.006034206509689,Annette Lind,20181_M44_referat,20181,44,"Referat af møde 44 den 11. januar, 2019 kl. 10.00",11-01-2019,331838,2019-01-11T10:02:00Z,2019,Socialdemokratiet,2015-2019,532,2019_1,No
Anni Matthiesen,-1.0341664660806968,0.3181595849405058,Anni Matthiesen,20181_M49_referat,20181,49,"Referat af møde 49 den 22. januar, 2019 kl. 13.00",22-01-2019,333113,2019-01-22T14:14:00Z,2019,Venstre,2015-2019,375,2019_1,Yes
Astrid Krag,0.269134312314399,0.1252470050189574,Astrid Krag,20181_M47_referat,20181,47,"Referat af møde 47 den 17. januar, 2019 kl. 10.00",17-01-2019,332684,2019-01-17T10:09:00Z,2019,Socialdemokratiet,2015-2019,452,2019_1,No
Benny Engelbrecht,0.036658118990494926,0.8513499195062912,Benny Engelbrecht,20181_M43_referat,20181,43,"Referat af møde 43 den 10. januar, 2019 kl. 10.00",10-01-2019,331807,2019-01-10T17:10:00Z,2019,Socialdemokratiet,2015-2019,285,2019_1,No
Bjarne Laustsen,0.5354103107365866,0.3189833389851647,Bjarne Laustsen,20181_M41_referat,20181,41,"Referat af møde 41 den 8. januar, 2019 kl. 13.00",08-01-2019,331335,2019-01-08T13:01:00Z,2019,Socialdemokratiet,2015-2019,894,2019_1,No
Christina Egelund,0.40533572169157867,0.7259011478176688,Christina Egelund,20181_M49_referat,20181,49,"Referat af møde 49 den 22. januar, 2019 kl. 13.00",22-01-2019,333065,2019-01-22T13:24:00Z,2019,Socialdemokratiet,2015-2019,357,2019_1,No
Claus Hjort Frederiksen,0.3541810598515697,0.5985777342406312,Claus Hjort Frederiksen,20181_M41_referat,20181,41,"Referat af møde 41 den 8. januar, 2019 kl. 13.00",08-01-2019,331353,2019-01-08T13:24:00Z,2019,Venstre,2015-2019,349,2019_1,Yes
Ellen Trane Nørby,-1.8659162224762509,0.2446204411497899,Ellen Trane Nørby,20181_M42_referat,20181,42,"Referat af møde 42 den 9. januar, 2019 kl. 13.00",09-01-2019,331504,2019-01-09T14:02:00Z,2019,Venstre,2015-2019,392,2019_1,Yes
Erik Christensen,-2.386322910032436,2.176603618787816,Erik Christensen,20181_M45_referat,20181,45,"Referat af møde 45 den 15. januar, 2019 kl. 13.00",15-01-2019,332347,2019-01-15T16:46:00Z,2019,Socialdemokratiet,2015-2019,467,2019_1,No
Erling Bonnesen,-0.3314660312595386,0.28344670747545136,Erling Bonnesen,20181_M41_referat,20181,41,"Referat af møde 41 den 8. januar, 2019 kl. 13.00",08-01-2019,331359,2019-01-08T13:35:00Z,2019,Venstre,2015-2019,113,2019_1,Yes
Flemming Møller Mortensen,0.08702134763587549,0.24098341221529976,Flemming Møller Mortensen,20181_M43_referat,20181,43,"Referat af møde 43 den 10. januar, 2019 kl. 10.00",10-01-2019,331519,2019-01-10T10:01:00Z,2019,Socialdemokratiet,2015-2019,805,2019_1,No
Hans Andersen,0.1385861702169291,0.46371400012246083,Hans Andersen,20181_M45_referat,20181,45,"Referat af møde 45 den 15. januar, 2019 kl. 13.00",15-01-2019,332451,2019-01-15T18:22:00Z,2019,Venstre,2015-2019,299,2019_1,Yes
Hans Christian Schmidt,-0.29684401475660827,1.0065176940035216,Hans Christian Schmidt,20181_M48_referat,20181,48,"Referat af møde 48 den 18. januar, 2019 kl. 10.00",18-01-2019,333001,2019-01-18T10:11:00Z,2019,Venstre,2015-2019,278,2019_1,Yes
