Kristen Amby;Det Konservative Folkeparti;1957
Alsing Andersen;Socialdemokratiet;1957
Anders Andersen;Venstre;1957
K B Andersen;Socialdemokratiet;1957
Niels Andersen;Retsforbundet;1957
Nina Andersen;Socialdemokratiet;1957
Ragnhild Andersen;Danmarks Kommunistiske Parti;1957
Søren Peter Andersen;Venstre;1957
Kaj Andresen;Socialdemokratiet;1957
Hilmar Baunsgaard;Det Radikale Venstre;1957
Jens Bladt;Socialdemokratiet;1957
Julius Bomholt;Socialdemokratiet;1957
Vagn Bro;Venstre;1957
Holger Brodthagen;Socialdemokratiet;1957
Hanne Budtz;Det Konservative Folkeparti;1957
Marius Buhl;Venstre;1957
Kaj Bundvad;Socialdemokratiet;1957
Alfred Bøgh;Venstre;1957
Karl Bøgholm;Det Konservative Folkeparti;1957
Hans Baagø;Det Konservative Folkeparti;1957
Henry Christensen;Venstre;1957
Jens Chr Christensen;Venstre;1957
Niels Chr Christensen;Venstre;1957
Chr Christiansen;Socialdemokratiet;1957
Lars Clausen;Det Konservative Folkeparti;1957
Poul Claussen;Det Konservative Folkeparti;1957
Bertel Dahlgaard;Det Radikale Venstre;1957
Kresten Damsgaard;Venstre;1957
Ditlev P Ditlevsen;Socialdemokratiet;1957
Edvin Dose;Socialdemokratiet;1957
Wilh Dupont;Socialdemokratiet;1957
O Einer-Jensen;Socialdemokratiet;1957
Erik Eriksen;Venstre;1957
Holger Eriksen;Socialdemokratiet;1957
Niels Eriksen;Venstre;1957
Svend Aage Fanger;Det Konservative Folkeparti;1957
Per Federspiel;Venstre;1957
Jens E Foged;Venstre;1957
Aage Fogh;Det Radikale Venstre;1957
Emil Francke;Socialdemokratiet;1957
Simon From;Venstre;1957
Villy Fuglsang;Danmarks Kommunistiske Parti;1957
Henry Gideon;Venstre;1957
Kirsten Gloerfelt-Tarp;Det Radikale Venstre;1957
Peter Gorrsen;Socialdemokratiet;1957
Niels Gottschalck-Hansen;Det Konservative Folkeparti;1957
Victor Gram;Socialdemokratiet;1957
Aage Gøting;Retsforbundet;1957
Andreas Hansen;Socialdemokratiet;1957
Edvin Boye Hansen;Socialdemokratiet;1957
Ejnar Hansen;Venstre;1957
H C Hansen;Socialdemokratiet;1957
Henry Hansen;Venstre;1957
Ove Henry Hansen;Socialdemokratiet;1957
Poul Hansen (Grenaa);Socialdemokratiet;1957
Poul Hansen (København);Socialdemokratiet;1957
Poul Hansen (Svendborg);Socialdemokratiet;1957
Ralph Lysholt Hansen;Socialdemokratiet;1957
Rasmus Hansen;Socialdemokratiet;1957
Poul Hartling;Venstre;1957
Frederik Heick;Venstre;1957
Marius J Heilesen;Venstre;1957
Villy Heising;Socialdemokratiet;1957
Niels Hjortnæs;Socialdemokratiet;1957
Gustav Holmberg;Venstre;1957
Svend Horn;Socialdemokratiet;1957
Søren Chr Hougaard;Socialdemokratiet;1957
Flemming Hvidberg;Det Konservative Folkeparti;1957
Hans Hækkerup;Socialdemokratiet;1957
Per Hækkerup;Socialdemokratiet;1957
Erhard Jakobsen;Socialdemokratiet;1957
Frode Jakobsen;Socialdemokratiet;1957
Alfred Jensen;Danmarks Kommunistiske Parti;1957
Asger Jensen;Det Konservative Folkeparti;1957
Carl P Jensen;Socialdemokratiet;1957
Henry L W Jensen;Venstre;1957
Lars P Jensen;Socialdemokratiet;1957
Søren Jensen;Venstre;1957
Søren Lund Jensen;Socialdemokratiet;1957
J Chr Jensen-Broby;Venstre;1957
Holger Justesen;Venstre;1957
Kristian Juul;Venstre;1957
Alfred Jørgensen;Retsforbundet;1957
I Skov Jørgensen;Venstre;1957
Jørgen Jørgensen (Lejre);Det Radikale Venstre;1957
Jørgen Jørgensen (Ullerup);Det Konservative Folkeparti;1957
Peter Jørgensen;Socialdemokratiet;1957
Viggo Kampmann;Socialdemokratiet;1957
Jacob Kirkegaard;Det Radikale Venstre;1957
Hans R Knudsen;Socialdemokratiet;1957
Poul Thisted Knudsen;Venstre;1957
Aage Knudsen;Socialdemokratiet;1957
Bodil Koch;Socialdemokratiet;1957
Conrad Kofoed;Venstre;1957
Ib Kolbjørn;Socialdemokratiet;1957
Ole Bjørn Kraft;Det Konservative Folkeparti;1957
Jens Otto Krag;Socialdemokratiet;1957
Axel Kristensen;Venstre;1957
Ejner Kristensen;Venstre;1957
Peter Kristensen;Socialdemokratiet;1957
Thorkil Kristensen;Venstre;1957
Jørgen Krogh;Venstre;1957
Oscar Kryger;Venstre;1957
C F Ladefoged;Venstre;1957
Hermod Lannung;Det Radikale Venstre;1957
Aksel Larsen;Danmarks Kommunistiske Parti;1957
Helge Larsen;Det Radikale Venstre;1957
Holger Larsen;Socialdemokratiet;1957
Johs E Larsen;Socialdemokratiet;1957
Marinus Larsen;Socialdemokratiet;1957
Morten Larsen;Det Radikale Venstre;1957
Peter Larsen;Venstre;1957
Wiggo Larsen;Socialdemokratiet;1957
Anker Høyer Lau;Venstre;1957
Egon Lauritzen;Det Konservative Folkeparti;1957
Waldemar Laursen;Socialdemokratiet;1957
Kai Lindberg;Socialdemokratiet;1957
K M Lorentzen;Venstre;1957
Marie A von Lowzow;Det Konservative Folkeparti;1957
A Lynge;Uden for partierne;1957
Frederik Lynge;Uden for partierne;1957
Helge Madsen;Retsforbundet;1957
Jacob Peder Martin;Venstre;1957
Th Mikkelsen;Socialdemokratiet;1957
Aksel Møller;Det Konservative Folkeparti;1957
Poul Møller;Det Konservative Folkeparti;1957
Niels Mørk;Socialdemokratiet;1957
Harald Nielsen;Venstre;1957
Knud Axel Nielsen;Socialdemokratiet;1957
Laurits Lynnerup Nielsen;Danmarks Kommunistiske Parti;1957
Peter Nielsen;Socialdemokratiet;1957
Poul Nilsson;Socialdemokratiet;1957
Erik Ninn-Hansen;Det Konservative Folkeparti;1957
Arnold Christian Normann;Det Radikale Venstre;1957
Viola Nørløv;Socialdemokratiet;1957
Søren Olesen;Retsforbundet;1957
Lars M Olsen;Socialdemokratiet;1957
Axel Ivan Pedersen;Socialdemokratiet;1957
Gustav Pedersen;Socialdemokratiet;1957
Helga Pedersen;Venstre;1957
Jacob Pedersen;Det Konservative Folkeparti;1957
Jens Magnus Pedersen;Retsforbundet;1957
Oluf Pedersen;Retsforbundet;1957
Sofie Pedersen;Socialdemokratiet;1957
Carl Petersen;Socialdemokratiet;1957
Petra Petersen;Danmarks Kommunistiske Parti;1957
Thorstein Petersen;Fólkaflokkurin;1957
Aage Petersen;Det Konservative Folkeparti;1957
Johan M Fr Poulsen;Sambandsflokkurin;1957
R Chr Paabøl;Venstre;1957
Carsten Raft;Det Konservative Folkeparti;1957
Hans Rasmussen;Socialdemokratiet;1957
P Rasmussen;Socialdemokratiet;1957
Niels Peter Ravn;Socialdemokratiet;1957
Axel Reedtz-Thott;Det Konservative Folkeparti;1957
Emil Retoft;Socialdemokratiet;1957
