split;reason;text;value
0;;"Torsdag den 4. marts 2021 (D)

75. møde";
75;Time;"Dagsorden
1) Spørgsmål om fremme af forespørgsel nr. F 45:
Forespørgsel til udenrigsministeren om udviklingen på Vest‐
bredden.
Af Karsten Hønge (SF), Martin Lidegaard (RV) og Christian Juhl
(EL).
(Anmeldelse 02.03.2021).
2) Spørgsmål om fremme af forespørgsel nr. F 46:
Forespørgsel til kulturministeren om kultur- og kunstliv, når
samfundet åbner efter coronakrisen.
Af Uffe Elbæk (UFG) og Kim Valentin (V).
(Anmeldelse 02.03.2021).
3) 1. behandling af lovforslag nr. L 174:
Forslag til lov om supplerende bestemmelser til forordningen om
ENISA (Den Europæiske Unions Agentur for Cybersikkerhed), om
cybersikkerhedscertificering af informations- og kommunikations‐
teknologi og om ophævelse af forordning (EU) nr. 526/313 (forord‐
ningen om cybersikkerhed) (lov om cybersikkerhedscertificering).
Af erhvervsministeren (Simon Kollerup).
(Fremsættelse 24.02.2021).
4) 1. behandling af lovforslag nr. L 138:
Forslag til lov om ændring af lov om mark- og vejfred. (Viderefor‐
midling af optagne katte).
Af ministeren for fødevarer, landbrug og fiskeri (Rasmus Prehn).
(Fremsættelse 14.01.2021).
5) 1. behandling af lovforslag nr. L 177:
Forslag til lov om ændring af lov om Danmarks Innovationsfond,
lov om Danmarks Forsknings- og Innovationspolitiske Råd og Dan‐
marks Frie Forskningsfond og lov om Danmarks Grundforsknings‐
fond. (Justering af Danmarks Innovationsfonds formål og opgaver,
henlæggelse af særlige virkemidler til fonden og justering af besty‐
relsens kompetencer m.v.).
Af uddannelses- og forskningsministeren (Ane Halsboe-Jørgensen).
(Fremsættelse 24.02.2021).
6) 1. behandling af beslutningsforslag nr. B 115:
Forslag til folketingsbeslutning om afskaffelse af kandidatreglen og
lige adgang til uddannelse.
Af Jens Henrik Thulesen Dahl (DF) m.fl.
(Fremsættelse 12.01.2021).

1

7) Forespørgsel nr. F 30:
Forespørgsel til børne- og undervisningsministeren om opbak‐
ning til lærernes ytringsfrihed.
Af Mai Mercado (KF), Ellen Trane Nørby (V), Alex Ahrendtsen
(DF), Jacob Mark (SF), Mette Thiesen (NB) og Henrik Dahl (LA).
(Anmeldelse 16.12.2020. Fremme 18.12.2020).
8) 1. behandling af lovforslag nr. L 158:
Forslag til lov om ændring af lov om ændring af færdselsloven og
lov om godkendelse og syn af køretøjer. (Ophævelse af revisionsbe‐
stemmelse).
Af transportministeren (Benny Engelbrecht).
(Fremsættelse 10.02.2021).";kl. 10.00
2425;Time;Meddelelser fra formanden;Kl. 10:00
2487;title_name;":
Mødet er åbnet.
I dag er der følgende anmeldelser:
Udlændinge- og integrationsministeren (Mattias Tesfaye):
Lovforslag nr. L 185 (Forslag til lov om ændring af udlændingelo‐
ven og lov om Danmarks tiltrædelse af Schengenkonventionen.
(Gennemførelse af forordning om oprettelse af et europæisk system
vedrørende rejseinformation og rejsetilladelse (ETIAS), forordninger
om oprettelse af et ind- og udrejsesystem (EES) samt forordninger
om oprettelse, drift og brug af Schengeninformationssystemet (SIS)
på områderne for henholdsvis ind- og udrejsekontrol samt politisam‐
arbejde og strafferetligt samarbejde og om brug af SIS i forbindelse
med tilbagesendelse af tredjelandsstatsborgere med ulovligt ophold
m.v.)).
Peter Seier Christensen (NB) m.fl.:
Beslutningsforslag B nr. 193 (Forslag til folketingsbeslutning om
forøgelse af forsvarsbudgettet til 2 pct. af bnp).";Pia Kjærsgaard
3379;name_party;":
Beslutningsforslag nr. B 194 (Forslag til folketingsbeslutning om
genindførelse af blasfemiparagraffen).
Peter Skaarup (DF) m.fl.:
Beslutningsforslag nr. B 195 (Forslag til folketingsbeslutning om at
suspendere udbetalingen af børne- og ungeydelse til EU-borgere fra

2

Torsdag den 4. marts 2021 (F 45)

medlemsstater, der ikke tager imod egne borgere dømt for kriminali‐
tet) og
Beslutningsforslag nr. 199 (Forslag til folketingsbeslutning om kon‐
sekvent udvisning af udlændinge, der har begået banderelateret kri‐
minalitet).

526/313 (forordningen om cybersikkerhed) (lov om cybersikker‐
hedscertificering).
Af erhvervsministeren (Simon Kollerup).
(Fremsættelse 24.02.2021).";Sikandar Siddique
4071;Time;;Kl. 10:03
4091;name_party;":

Forhandling

Beslutningsforslag nr. B 196 (Forslag til folketingsbeslutning om
nedsat momssats og forhøjet skattefradrag for reparationer og vedli‐
gehold).";Torsten Gejl
4286;title_name;":
Forhandlingen er åbnet. Hr. Orla Hav, Socialdemokratiet. Værsgo.

Lars Boje Mathiesen (NB) m.fl.

(Ordfører)";Pia Kjærsgaard
4409;name_party;":
Tak for det. Det bliver jo ofte sagt, at teknologien udvikler sig med
eksplosiv fart, og det er vel også baggrunden for det lovforslag, vi
står med i dag. Selv om det er et lille lovforslag, er det jo vigtigt
at have sikkerhed for, at vi kan regne med, at det, der kommer i
anvendelse, når vi bruger informations- og kommunikationsteknolo‐
gien og de tjenester og processer, der hører dertil, er det, vi forventer
kan tages i anvendelse, og at det, når vi i stigende grad benytter
os af computerteknologien, så gør det muligt at håndtere komplekse
processer.
Så længe udøverne at disse processer og produkter har reelle
hensigter, er alting jo fint. Desværre er det jo ikke altid tilfældet.
Nye muligheder skaber nye smuthuller for kriminalitet. Derfor er det
velkomment, at regeringen fremlægger dette lovforslag, der er med
til at gøre livet lettere for folk med reelle hensigter, og som åbner
muligheder for at få styr på dem, der ikke har det.
Danske virksomheder betjener sig i høj grad af teknologi, der
rækker ud i rummet omkring kloden. Data lagres i skyen eller bruges
i lande over store afstande. Det stiller krav til de reelle hensigter
og til det udstyr, man producerer eller gør brug af. For at gøre det
nemmere for danske producenter af udstyr, der kan bruges i den
såkaldte cyberverden, indføres der med lovforslaget en certificerin‐
gsmulighed for virksomhederne. Det indebærer, at kunderne til disse
produkter har en sikkerhed, i form af at myndigheder har vurderet og
sagt god for produkterne.
Dette princip kendes i mange andre sammenhænge, bl.a. i for‐
bindelse med sikkerhedsudstyr eller udstyr, som bruges, hvor der
er særlige risici. Og her er det Sikkerhedsstyrelsen, der i vidt om‐
fang står for kontrol, vurdering og opfølgning på produktion og
produkter. Når produkterne så at sige har fået det blå stempel, er
det borgernes sikkerhed for, at de er i orden. Det giver naturligvis
producenterne en konkurrencefordel, som kun opnås, ved at man
underlægger sig en række krav om at leve op til en række kriterier,
for at sikre, at udstyret virkelig er i orden.
En certificering godtgør, at produktet er udført i overensstemmel‐
se med en eller flere standarder, der fastsætter et bestemt sikkerheds‐
niveau. Med lovforslaget henlægges opgaven til Sikkerhedsstyrel‐
sen, der er den myndighed, der har erfaring fra andre områder inden
for certificering eller anvendelse i forhold til de reelle hensigter, og‐
så i praksis. Heldigvis er dette den danske version af en opfølgning
på det europæiske samarbejde, fordi det er hensigtsmæssigt, at lande
arbejder tæt sammen for at forfølge gode resultater, og lige præcis
cyberprodukter kender jo ingen grænser.
Socialdemokratiet støtter lovforslaget. Og jeg har lovet at sige, at
det gør Det Radikale Venstre også.

Beslutningsforslag nr. B 197 (Forslag til folketingsbeslutning om
mulighed for tabsfradrag i tidligere års overskud).
Morten Messerschmidt (DF) m.fl.:
Beslutningsforslag nr. B 198 (Forslag til folketingsbeslutning om at
indføre evaluering af kommunale og statslige integrationsprojekter).
Titler på de anmeldte sager vil fremgå af www.folketingstidende.dk
(jf. ovenfor).

Det første punkt på dagsordenen er:
1) Spørgsmål om fremme af forespørgsel nr. F 45:
Forespørgsel til udenrigsministeren om udviklingen på Vest‐
bredden.
Af Karsten Hønge (SF), Martin Lidegaard (RV) og Christian Juhl
(EL).
(Anmeldelse 02.03.2021).
Sammen med dette punkt foretages:
2) Spørgsmål om fremme af forespørgsel nr. F 46:
Forespørgsel til kulturministeren om kultur- og kunstliv, når
samfundet åbner efter coronakrisen.
Af Uffe Elbæk (UFG) og Kim Valentin (V).
(Anmeldelse 02.03.2021).";Orla Hav
8068;Time;;Kl. 10:02
8104;title_name;":
Hvis ingen gør indsigelse mod fremme af disse forespørgsler, betrag‐
ter jeg Tingets samtykke som givet.
Det er givet.

Det næste punkt på dagsordenen er:
3) 1. behandling af lovforslag nr. L 174:
Forslag til lov om supplerende bestemmelser til forordningen
om ENISA (Den Europæiske Unions Agentur for Cybersikker‐
hed), om cybersikkerhedscertificering af informations- og kom‐
munikationsteknologi og om ophævelse af forordning (EU) nr.";Pia Kjærsgaard
8554;Time;;Kl. 10:04
8565;Time;;Kl. 10:07
8601;title_name;":
Tak for det. Der er ikke nogen korte bemærkninger. Hr. Christoffer
Aagaard Melson, Venstre. Værsgo.

Torsdag den 4. marts 2021 (L 174)";Pia Kjærsgaard
8749;Time;(Ordfører);Kl. 10:07
8792;name_party;":
Tak for det, formand. Vi synes, at hensigten med L 174 er rigtig god.
Der er tale om en EU-implementering, som kræver, at medlemsstater
udpeger en national myndighed for certificering af cybersikkerhed,
og vi synes også, at det er rigtig fornuftigt, at der her i Danmark
peges på Sikkerhedsstyrelsen som den danske nationale myndighed.
Det skaber jo grundlag for at kunne sikkerhedscertificere infor‐
mations- og kommunikationsprodukter og -tjenester og -processer,
hvilket skal være med til at nedbryde handelsbarrierer i EU og sikre
den nødvendige tiltro til de teknologiprodukter, vi anvender i EU.
Det er et yderst positivt tiltag synes vi, og som vi i Venstre hilser
meget velkommen, fordi det kan være med til at skabe et bedre indre
marked for de her produkter.
I dag er der alt for store forskelle på de ordninger og standarder,
som de forskellige EU-medlemsstater bruger til at certificere tekno‐
logiske produkter. Det forhindrer et sammenhængende digitalt indre
marked og skaber både administrative og økonomiske udfordringer
for virksomheder, der ønsker at lancere et digitalt og sikkert produkt.
Forslaget vil derfor øge sikkerheden for den enkelte forbruger, lette
gennemsigtigheden for produkter og mindske risikoen for cyberang‐
reb. Det vil øge trygheden og fremme tilliden til digitalisering, og
derfor støtter vi forslaget.
Som med så meget andet ligger djævlen jo selvfølgelig i detaljen,
og noget af det, vi vil spørge ind til i udvalgsbehandlingen, er jo i
forhold til administrationen af det her og hvor administrativt bøvlet,
det bliver at blive certificeret, så vi sikrer os, at de små virksomheder
også får mulighed for at være med på det her, og så de ikke får
sværere ved at konkurrere end de større virksomheder, fordi det
bliver for tungt. Det er noget af det, vi gerne vil drøfte.
Så skal vi selvfølgelig også sikre, at Sikkerhedsstyrelsen har de
rigtige kompetencer og ressourcer til at løfte opgaven, og det vil vi
også gerne være med til at skabe de rigtige forudsætninger for.
Vi ser frem til den kommende udvalgsbehandling, hvor Venstre
vil bakke op om forslaget. Tak for ordet.";Christoffer Aagaard Melson
10918;Time;;Kl. 10:09
